# ts: 1780645948.2026622
基金代码,基金简称,基金类型,日期,单位净值,累计净值,日增长率,近1周,近1月,近3月,近6月,近1年,近2年,近3年,今年来,成立来,手续费
010115,易方达远见成长混合A,混合型,2026-06-04,3.9908,3.9908,-1.12,4.66,24.69,65.77,116.51,305.69,349.16,283.25,91.66,299.08,0.15%
011412,易方达远见成长混合C,混合型,2026-06-04,3.9073,3.9073,-1.12,4.65,24.63,65.59,116.05,304.02,345.53,278.61,91.32,290.73,0.00%
519770,交银优择回报灵活配置混合A,混合型,2026-06-04,6.0875,6.1625,0.84,-0.08,29.1,58.86,92.83,302.27,337.32,332.35,77.18,553.0,0.08%
001075,宝盈转型动力混合A,混合型,2026-06-04,4.4073,4.4073,2.49,2.37,24.28,59.36,94.3,301.98,343.75,383.15,73.41,340.73,0.15%
519771,交银优择回报灵活配置混合C,混合型,2026-06-04,6.0696,6.1446,0.84,-0.09,29.07,58.78,92.64,301.48,335.72,329.86,77.03,551.25,0.00%
015389,宝盈转型动力混合C,混合型,2026-06-04,4.3187,4.3187,2.48,2.36,24.21,59.16,93.81,299.99,339.34,376.15,73.05,396.29,0.00%
005903,宏利绩优混合A,混合型,2026-06-04,5.0932,5.3342,0.99,5.58,27.75,73.99,120.27,299.84,322.04,246.52,98.29,504.55,0.15%
015576,宏利绩优混合C,混合型,2026-06-04,5.0137,5.2547,0.99,5.57,27.71,73.82,119.84,298.26,318.75,242.44,97.97,246.19,0.00%
008555,华商龙头优势混合,混合型,2026-06-04,3.0338,3.0338,1.92,4.6,32.55,60.33,113.33,294.51,244.09,233.42,92.16,203.38,0.15%
001184,易方达新常态灵活配置混合,混合型,2026-06-04,2.103,2.103,0.81,2.59,23.27,65.72,96.91,291.62,276.21,274.2,80.83,110.3,0.15%
000390,华商优势行业混合A,混合型,2026-06-04,3.576,6.191,1.39,5.42,28.82,70.37,111.05,282.06,294.56,285.1,91.23,2656.39,0.15%
001194,景顺长城稳健回报混合A,混合型,2026-06-04,7.23,7.295,0.49,0.72,24.59,62.87,76.95,277.94,416.06,405.59,60.7,656.76,0.10%
001407,景顺长城稳健回报混合C,混合型,2026-06-04,6.996,7.059,0.47,0.71,24.55,62.77,76.76,277.14,414.03,401.51,60.57,618.31,0.00%
009062,财通智慧成长混合A,混合型,2026-06-04,3.6898,3.6898,1.83,3.52,30.28,57.19,83.15,276.05,231.49,191.68,68.11,268.98,0.15%
009855,中加新兴成长混合A,混合型,2026-06-04,3.5464,3.5464,0.69,3.48,23.16,55.81,92.06,274.29,262.47,194.04,77.43,254.64,0.12%
001513,易方达信息产业混合A,混合型,2026-06-04,9.135,9.255,1.03,2.43,26.47,61.4,81.88,273.5,329.34,259.27,68.79,833.38,0.15%
009063,财通智慧成长混合C,混合型,2026-06-04,3.5123,3.5123,1.82,3.5,30.18,56.88,82.44,273.05,226.24,184.77,67.55,251.23,0.00%
009856,中加新兴成长混合C,混合型,2026-06-04,3.4627,3.4627,0.69,3.48,23.12,55.64,91.66,272.77,259.54,190.49,77.1,246.27,0.00%
008988,大成科技创新混合A,混合型,2026-06-04,5.5561,5.5561,1.18,1.71,32.8,69.87,102.47,272.34,379.47,350.18,84.57,455.61,0.15%
019018,易方达信息产业混合C,混合型,2026-06-04,9.013,9.133,1.03,2.43,26.43,61.21,81.4,271.59,325.09,nan,68.46,333.69,0.00%
008989,大成科技创新混合C,混合型,2026-06-04,5.4229,5.4229,1.18,1.71,32.76,69.72,102.09,270.92,375.69,344.83,84.28,442.29,0.00%
168401,红土精选混合(LOF)A,混合型,2026-06-04,7.3373,7.3373,2.4,4.97,23.5,55.9,111.86,270.74,341.0,228.78,90.15,633.73,0.15%
257070,国联安优选行业混合,混合型,2026-06-04,7.0554,7.3564,4.02,3.5,31.01,70.1,93.34,269.41,252.17,157.83,73.63,769.32,0.15%
023451,中欧信息科技混合发起A,混合型,2026-06-04,3.5162,3.5162,-0.51,1.29,31.41,65.48,83.88,261.15,nan,nan,73.51,251.62,0.15%
023452,中欧信息科技混合发起C,混合型,2026-06-04,3.4865,3.4865,-0.51,1.28,31.33,65.23,83.37,259.1,nan,nan,73.11,248.65,0.00%
000531,东吴阿尔法灵活配置混合A,混合型,2026-06-04,3.5863,3.5863,0.59,2.16,26.89,59.77,67.22,256.85,282.38,155.42,60.15,258.63,0.15%
015096,东财数字经济混合发起式A,混合型,2026-06-04,3.2555,3.2555,1.12,7.7,30.35,69.27,81.23,255.48,248.18,196.98,68.92,225.55,0.15%
014581,东吴阿尔法灵活配置混合C,混合型,2026-06-04,3.5511,3.5511,0.59,2.15,26.84,59.62,66.89,255.43,279.35,152.37,59.87,62.4,0.00%
017102,大摩数字经济混合A,混合型,2026-06-04,4.574,4.574,0.42,3.2,28.03,65.23,104.19,252.93,360.02,334.42,78.9,357.4,0.15%
015097,东财数字经济混合发起式C,混合型,2026-06-04,3.1478,3.1478,1.12,7.68,30.25,68.93,80.51,252.66,242.79,190.04,68.35,214.78,0.00%
580006,东吴新经济混合A,混合型,2026-06-04,2.3942,2.7842,0.59,1.99,26.38,58.98,66.56,251.11,282.89,146.98,59.57,231.78,0.15%
017103,大摩数字经济混合C,混合型,2026-06-04,4.4859,4.4859,0.41,3.19,27.96,64.98,103.57,250.84,354.54,326.7,78.44,348.59,0.00%
013369,汇添富自主核心科技一年持有混合A,混合型,2026-06-04,3.0859,3.0859,1.67,4.39,27.31,61.56,82.34,250.19,313.11,217.74,67.77,208.59,0.15%
012617,东吴新经济混合C,混合型,2026-06-04,2.3494,2.3494,0.58,1.98,26.33,58.82,66.24,249.67,279.85,144.02,59.29,44.29,0.00%
013370,汇添富自主核心科技一年持有混合C,混合型,2026-06-04,3.0335,3.0335,1.68,4.38,27.27,61.4,81.97,248.76,309.82,213.93,67.48,203.35,0.00%
010237,安信创新先锋混合发起A,混合型,2026-06-04,2.0046,2.0046,1.47,2.87,26.92,63.41,83.25,248.02,304.64,203.77,66.27,100.46,0.15%
010238,安信创新先锋混合发起C,混合型,2026-06-04,1.9503,1.9503,1.47,2.86,26.86,63.21,82.8,246.6,300.8,199.4,65.93,95.03,0.00%
007113,永赢高端制造混合A,混合型,2026-06-04,3.0275,3.0275,2.32,4.03,26.32,50.58,73.27,245.25,279.67,200.26,54.16,202.72,0.15%
007114,永赢高端制造混合C,混合型,2026-06-04,2.9876,2.9876,2.32,4.03,26.3,50.5,73.09,244.59,278.18,198.43,54.03,198.73,0.00%
013721,信澳景气优选混合A,混合型,2026-06-04,2.9572,2.9572,3.19,4.17,23.73,59.56,86.42,242.98,339.21,264.59,64.75,195.72,0.15%
009242,中加核心智造混合A,混合型,2026-06-04,3.7411,3.8011,0.38,3.43,17.0,47.22,85.16,242.43,212.8,179.81,71.03,292.5,0.15%
009243,中加核心智造混合C,混合型,2026-06-04,3.6501,3.7101,0.38,3.42,16.96,47.07,84.79,241.07,210.44,176.56,70.74,283.15,0.00%
013722,信澳景气优选混合C,混合型,2026-06-04,2.854,2.854,3.18,4.15,23.63,59.24,85.69,240.29,332.29,255.95,64.19,185.4,0.00%
011815,恒越优势精选混合A,混合型,2026-06-04,2.1428,2.1428,0.49,-1.66,13.84,45.69,55.59,240.13,299.18,198.11,45.16,114.28,0.15%
018287,信澳优势产业混合A,混合型,2026-06-04,4.0352,4.0352,2.85,3.84,22.03,57.54,83.59,240.01,356.78,303.56,62.55,303.52,0.15%
016372,信澳匠心严选一年持有混合A,混合型,2026-06-04,2.6106,2.6106,2.94,3.77,23.22,58.13,84.44,239.22,207.78,167.95,62.78,161.06,0.15%
000354,长盛城镇化主题混合A,混合型,2026-06-04,5.0901,5.7381,-0.73,2.62,22.64,54.15,85.2,238.41,374.42,209.81,67.33,675.2,0.15%
460007,华泰柏瑞行业领先混合,混合型,2026-06-04,7.003,7.003,2.55,5.39,21.96,66.46,106.94,238.31,197.62,172.49,83.42,600.3,0.15%
018288,信澳优势产业混合C,混合型,2026-06-04,3.9622,3.9622,2.84,3.83,21.96,57.31,83.04,237.96,351.28,296.3,62.13,296.22,0.00%
016373,信澳匠心严选一年持有混合C,混合型,2026-06-04,2.5526,2.5526,2.94,3.76,23.15,57.89,83.89,237.15,204.13,163.15,62.36,155.26,0.00%
018933,长盛城镇化主题混合C,混合型,2026-06-04,5.0037,5.0037,-0.73,2.61,22.57,53.92,84.65,236.41,368.73,nan,66.91,233.71,0.00%
002125,广发新兴成长混合A,混合型,2026-06-04,3.0513,3.0513,-0.02,6.43,25.28,67.91,100.41,235.6,208.12,163.5,78.65,205.13,0.15%
005550,汇安成长优选混合A,混合型,2026-06-04,3.8299,3.8299,2.48,2.12,19.42,40.29,66.98,234.55,355.56,197.81,54.66,282.99,0.15%
018291,广发新兴成长混合C,混合型,2026-06-04,2.991,2.991,-0.02,6.42,25.22,67.7,99.92,234.04,205.08,158.29,78.27,145.97,0.00%
002272,新华科技创新主题灵活配置混合,混合型,2026-06-04,3.1123,3.1123,2.77,4.73,25.93,74.24,117.34,233.04,273.58,125.46,93.94,211.23,0.15%
