# ts: 1780645794.4138129
基金代码,基金简称,基金类型,日期,单位净值,累计净值,日增长率,近1周,近1月,近3月,近6月,近1年,近2年,近3年,今年来,成立来,手续费
016050,华商高端装备制造股票C,股票型,2026-06-04,5.8756,5.8756,-0.35,-0.5,7.52,35.66,70.7,190.05,223.05,177.47,55.02,146.0,0.00%
000688,景顺长城研究精选股票A,股票型,2026-06-04,4.367,4.617,0.51,-0.05,23.71,61.5,74.96,188.44,243.32,235.64,58.51,422.89,0.15%
013242,华银优势行业股票,股票型,2026-06-04,2.3362,2.3362,3.22,2.06,24.0,55.48,88.42,187.0,287.11,229.23,73.49,133.62,0.15%
018998,景顺长城研究精选股票C,股票型,2026-06-04,4.295,4.295,0.49,-0.07,23.63,61.22,74.45,186.72,239.26,nan,58.14,253.79,0.00%
001040,新华策略精选股票A,股票型,2026-06-04,3.7954,4.2334,4.54,-3.05,16.25,34.92,85.17,181.35,261.64,160.76,69.55,374.45,0.15%
009891,融通产业趋势臻选股票A,股票型,2026-06-04,3.5482,3.5482,0.74,2.72,20.14,56.61,73.91,175.95,280.22,216.58,60.61,254.82,0.15%
018495,融通产业趋势臻选股票C,股票型,2026-06-04,3.4416,3.4416,0.74,2.7,20.06,56.36,73.41,174.34,271.18,207.09,60.21,226.93,0.00%
005310,广发电子信息传媒股票A,股票型,2026-06-04,5.4673,5.4673,3.01,3.7,24.25,46.6,74.19,173.31,193.75,117.01,58.41,446.73,0.15%
010236,广发电子信息传媒股票C,股票型,2026-06-04,5.351,5.351,3.01,3.69,24.2,46.45,73.85,172.23,191.43,114.42,58.15,220.28,0.00%
014416,泰康研究精选股票发起A,股票型,2026-06-04,2.1325,2.1325,0.73,1.58,23.27,46.52,67.77,167.4,234.56,150.76,55.75,113.25,0.15%
014417,泰康研究精选股票发起C,股票型,2026-06-04,2.0861,2.0861,0.72,1.57,23.2,46.35,67.36,166.08,231.28,147.08,55.42,108.61,0.00%
020775,国寿安保产业升级股票发起式A,股票型,2026-06-04,2.5085,2.5085,5.18,0.97,17.48,38.81,103.99,163.75,148.88,nan,87.15,150.85,0.12%
020774,国寿安保产业升级股票发起式C,股票型,2026-06-04,2.4823,2.4823,5.17,0.96,17.43,38.63,103.48,162.46,146.46,nan,86.75,148.23,0.00%
000828,宏利转型机遇股票A,股票型,2026-06-04,6.269,6.489,0.46,-0.02,11.63,34.24,42.28,159.16,176.78,158.62,35.81,653.31,0.12%
012800,宏利转型机遇股票C,股票型,2026-06-04,6.178,6.178,0.46,-0.02,11.58,34.13,42.06,158.39,175.07,156.24,35.63,72.38,0.00%
001313,摩根智慧互联股票A,股票型,2026-06-04,2.1094,2.1094,1.24,1.67,15.95,44.76,56.08,155.78,219.41,123.52,46.04,110.94,0.15%
