板块代码,板块名称,交易日期,融资余额,融资买入额,融资偿还额,融资净买入,融券余额,融券卖出量,融券偿还量,融券净卖出,板块类型
172,浙江板块,2026-01-27 00:00:00,232302740959,22637318779,23581879254,-944560475,869008476.59,3304143,4622574,-15153883.7683,财富通地域
536,基金重仓,2026-01-27 00:00:00,230675013970,25548709390,23870994629,1677714761,928382326.58,695723,1028648,-8899680.3872,财富通概念
1134,算力概念,2026-01-27 00:00:00,227944260397,27053616396,25823479058,1230137338,651113498.37,1795274,1870304,3602801.355,财富通概念
802,无人驾驶,2026-01-27 00:00:00,216032241882,18662428201,18620855158,41573043,717720131.58,1965309,2263680,16599148.6969,财富通概念
523,新材料,2026-01-27 00:00:00,214345873304,24697617457,25532227355,-834609898,767929213.35,3849763,3140778,-6844605.0189,财富通概念
490,军工,2026-01-27 00:00:00,213435434983,23807412555,25216211812,-1408799257,845904462.86,2918491,3250363,-8357505.7135,财富通概念
1112,破净股,2026-01-27 00:00:00,211642244243,10773344441,10408161427,365183014,691113847.85,8271479,9458298,-2877679.4193,财富通概念
525,参股银行,2026-01-27 00:00:00,208225349517,11662394917,11767446529,-105051612,724745379.46,3897535,4127351,6376770.3549,财富通概念
644,特斯拉,2026-01-27 00:00:00,203884043390,18373400239,18442788694,-69388455,653652527.92,1554441,1526954,-8462505.1499,财富通概念
963,商业航天,2026-01-27 00:00:00,200983192782,27927132220,29117974817,-1190842597,818906400.16,1727716,2824893,-30595343.4317,财富通概念
1036,半导体,2026-01-27 00:00:00,196426518782,27846521439,27917064409,-70542970,804977266.11,1397913,1250826,10979260.4703,财富通行业
968,固态电池,2026-01-27 00:00:00,190516064091,15713239596,15743200821,-29961225,578196973.85,1316393,1944502,8366604.1825,财富通概念
922,数据中心,2026-01-27 00:00:00,186190735743,20055319719,20055583959,-264240,650070051.63,2332395,3236547,-4223000.5552,财富通概念
1104,信创,2026-01-27 00:00:00,178269444129,16154095387,16205411409,-51316022,546815701.59,1290476,1999195,-14432848.9745,财富通概念
528,转债标的,2026-01-27 00:00:00,177990549323,16454097597,16371147044,82950553,696663938.23,3101077,2837067,-1181754.7166,财富通概念
689,阿里概念,2026-01-27 00:00:00,177891488640,15911032717,16509912821,-598880104,627391226.15,2116038,2514637,-4260646.1658,财富通概念
506,创投,2026-01-27 00:00:00,175695127481,14953415536,15115608263,-162192727,557726066.96,2703400,3741078,-22548211.9042,财富通概念
1188,DeepSeek概念,2026-01-27 00:00:00,172525542413,15350146330,16060367474,-710221144,562074282.97,2004598,3224489,-30958033.8962,财富通概念
1184,人形机器人,2026-01-27 00:00:00,172353880669,13828465831,14922008878,-1093543047,548179566.57,1497189,1025106,3079330.4369,财富通概念
610,央视50_,2026-01-27 00:00:00,170364529554,9503445437,9173449643,329995794,797123126.84,2162900,1556408,17485825.065,财富通概念
920,车联网(车路云),2026-01-27 00:00:00,169391447438,14120770895,14121499571,-728676,600104607.44,1419088,1755155,7101546.6269,财富通概念
833,小米概念,2026-01-27 00:00:00,162687557408,16467669523,16895782766,-428113243,479354498.79,1859481,1672317,6325762.1521,财富通概念
1166,低空经济,2026-01-27 00:00:00,161721497971,16111044431,17001135822,-890091391,603338732.08,1473986,2121658,-7948785.1,财富通概念
1629,AI应用,2026-01-27 00:00:00,157643891924,16389768220,16714149440,-324381220,575899726.51,2263213,2460768,-17178364.5234,财富通概念
711,券商概念,2026-01-27 00:00:00,156563482144,5742559851,5807708690,-65148839,239269579.79,1030500,2177150,-14088536.31,财富通概念
700,充电桩,2026-01-27 00:00:00,154537127930,14661510389,15979090904,-1317580515,485216301.69,1455460,2509325,-7383215.1256,财富通概念
835,独角兽,2026-01-27 00:00:00,153814481400,10888911476,10588832459,300079017,493301860.47,1094500,1512600,-4728996.05,财富通概念
595,风能,2026-01-27 00:00:00,153471386775,15917241777,16299292998,-382051221,584326768.92,2556797,3888771,-12093853.3526,财富通概念
696,国产软件,2026-01-27 00:00:00,151951645190,11788930504,12626540946,-837610442,420094731.37,1271344,1781969,-20859670.2839,财富通概念
1138,液冷概念,2026-01-27 00:00:00,143613729003,15289329514,15295575026,-6245512,420835310.87,1194328,2016080,-6280278.404,财富通概念
1139,中特估,2026-01-27 00:00:00,141740282120,12761049137,12998157867,-237108730,628729968.02,5709295,6270000,-19921514.0176,财富通概念
695,小金属概念,2026-01-27 00:00:00,139149402453,23685328613,23330572701,354755912,832312567.9,5045520,4103500,29428929.81,财富通概念
722,虚拟现实,2026-01-27 00:00:00,138988383613,13216032667,13545191292,-329158625,498927120.62,1582822,1972163,-17572230.1142,财富通概念
832,工业互联,2026-01-27 00:00:00,136792649890,11866571952,12155036718,-288464766,599684284.69,2214806,2059545,10516944.8776,财富通概念
864,氢能源,2026-01-27 00:00:00,136364701741,14100597715,14847011569,-746413854,485334115.29,3024831,3532875,53642.1388,财富通概念
493,新能源,2026-01-27 00:00:00,134314359415,15430747744,15572679363,-141931619,560123728.72,3895928,2862935,12079616.9866,财富通概念
567,股权激励,2026-01-27 00:00:00,134073976554,13199822298,13222629240,-22806942,578694798.62,808037,1174022,-1949955.0014,财富通概念
845,百度概念,2026-01-27 00:00:00,133921702352,14240549341,14333794786,-93245445,474551899.83,2544510,3100375,-10331185.711,财富通概念
494,节能环保,2026-01-27 00:00:00,131707137606,13719466538,14601649158,-882182620,384683300.36,1835200,2447177,-2534145.5614,财富通概念
808,军民融合,2026-01-27 00:00:00,129979595565,14076137793,15043659320,-967521527,562672797.93,1575640,2195668,-16930325.9488,财富通概念
641,智能穿戴,2026-01-27 00:00:00,129499238840,14398684398,14201767265,196917133,459834399.27,1240113,756970,9011534.7066,财富通概念
505,中字头,2026-01-27 00:00:00,129112807966,11784089438,12338507889,-554418451,504909592.55,4219867,4525040,-19237749.7184,财富通概念
665,电商概念,2026-01-27 00:00:00,126136948841,8535636444,8695194464,-159558020,602304555.14,2037939,2104654,-6669885.6367,财富通概念
668,医疗器械概念,2026-01-27 00:00:00,125317118278,10755347516,10758538633,-3191117,557182534.88,1495170,1809476,-6878724.6571,财富通概念
448,通信设备,2026-01-27 00:00:00,124048425686,16789497744,16160968387,628529357,446812956.53,706250,776108,10780556.319,财富通行业
514,参股券商,2026-01-27 00:00:00,123623043996,8015012847,8156181670,-141168823,439870210.99,2542000,3550974,-8983402.4892,财富通概念
1128,CPO概念,2026-01-27 00:00:00,119101400093,16856802896,15758971794,1097831102,416328677.37,872550,722428,6342701.9846,财富通概念
666,苹果概念,2026-01-27 00:00:00,118836660815,13278963978,12994829012,284134966,349291395.6,1027651,673559,3161149.4499,财富通概念
1111,AIGC概念,2026-01-27 00:00:00,118282468534,14127530756,14291635619,-164104863,372899042.23,2563600,3075671,-19647083.5766,财富通概念
1137,存储芯片,2026-01-27 00:00:00,116941607946,18491632840,19090759348,-599126508,511889844.26,1511629,624634,15333122.0818,财富通概念
473,证券,2026-01-27 00:00:00,116603882348,4061220961,3826434436,234786525,193775418.44,950000,1975350,-11740840.79,财富通行业
164,山东板块,2026-01-27 00:00:00,116586082604,12059704925,12576255600,-516550675,463450056.23,2077038,1699603,-528235.2096,财富通地域
840,OLED,2026-01-27 00:00:00,114649493333,12238091944,12209437636,28654308,474213052.86,1707915,1378378,11212552.7125,财富通概念
1136,光通信模块,2026-01-27 00:00:00,111887084961,15202341357,14729721081,472620276,380243309.38,520415,569069,8197169.4757,财富通概念
628,智慧城市,2026-01-27 00:00:00,111821515997,9383949361,9361178888,22770473,328293005.86,1141888,1261446,-2414307.2824,财富通概念
704,无人机,2026-01-27 00:00:00,110221372263,12194168583,12457686166,-263517583,510278022.73,979665,1387880,-5324826.1447,财富通概念
860,边缘计算,2026-01-27 00:00:00,109066057001,9719861880,9354997795,364864085,367252002.12,925461,1577367,-5050357.0702,财富通概念
577,核能核电,2026-01-27 00:00:00,108872941597,11874491680,12626688132,-752196452,455119535.55,2404983,3603550,-15704388.3658,财富通概念
1178,AI眼镜,2026-01-27 00:00:00,107656617152,12509485855,12350843273,158642582,386144120.65,993779,534027,7551034.1894,财富通概念
1009,元宇宙概念,2026-01-27 00:00:00,104834470234,11328708525,11281436256,47272269,336868502.08,1495800,2065350,-20407150.47,财富通概念
655,网络安全,2026-01-27 00:00:00,104236186322,10658279663,9931829899,726449764,309986671.98,1441000,2414420,-18120479.714,财富通概念
459,电子元件,2026-01-27 00:00:00,103696514743,10077220599,10415866432,-338645833,320676860.15,443105,450348,6982113.1277,财富通行业
1000,宁组合,2026-01-27 00:00:00,103220123198,5788241359,5977744589,-189503230,366322739.6,720805,306081,25179424.8198,财富通概念
