序号,代码,名称,最新价,涨跌幅,换手率,流入资金,流出资金,净流入,成交额,占总成交比,净流入占比,成交额亿,净流入亿,流入亿,流出亿,指数标签
2115,688825,长鑫科技,54.99,1.89,12.39,15144999999.999998,14844000000.0,302000000.0,29989000000.0,4.77,1.01,299.89,3.02,151.45,148.44,
3850,300308,中际旭创,902.5,0.05,2.9,14750000000.0,14225000000.0,525000000.0,29144000000.0,4.64,1.8,291.44,5.25,147.5,142.25,"沪深300,创业板,深证100"
5172,603986,兆易创新,340.74,-10.0,9.83,11260000000.0,11773000000.0,-513000000.0,23033000000.0,3.67,-2.23,230.33,-5.13,112.6,117.73,"沪深300,上证50"
4115,300502,新易盛,394.08,-0.49,3.23,7802000000.0,7981999999.999999,-180000000.0,15885000000.0,2.53,-1.13,158.85,-1.8,78.02,79.82,"沪深300,创业板,深证100"
5087,688256,寒武纪,1028.0,-7.05,2.23,7031000000.0,7569000000.0,-538000000.0,14600000000.0,2.32,-3.68,146.0,-5.38,70.31,75.69,"沪深300,科创50,上证50"
5001,002384,东山精密,162.46,-5.26,5.75,6833000000.0,6297000000.0,536000000.00000006,13215000000.0,2.1,4.06,132.15,5.36,68.33,62.97,"沪深300,深证100"
1514,300058,蓝色光标,14.72,2.58,23.31,6161000000.0,5767000000.0,394000000.0,11927000000.0,1.9,3.3,119.27,3.94,61.61,57.67,"中证500,创业板"
5168,688012,中微公司,309.85,-9.93,3.74,5787000000.0,5528000000.0,259000000.0,11315000000.0,1.8,2.29,113.15,2.59,57.87,55.28,"沪深300,科创50,上证50"
5170,600176,中国巨石,34.06,-9.99,7.74,4662000000.0,6071000000.0,-1409000000.0,10734000000.0,1.71,-13.13,107.34,-14.09,46.62,60.71,沪深300
289,300394,天孚通信,180.5,5.55,5.14,5306000000.0,4649000000.0,657000000.0,10029000000.0,1.6,6.55,100.29,6.57,53.06,46.49,"沪深300,创业板,深证100"
5066,002475,立讯精密,53.71,-6.56,2.53,4849000000.0,5081000000.0,-231999999.99999997,10009000000.0,1.59,-2.32,100.09,-2.32,48.49,50.81,"沪深300,深证100"
4994,000938,紫光股份,33.1,-5.13,9.84,4389000000.0,5029000000.0,-639000000.0,9567000000.0,1.52,-6.68,95.67,-6.39,43.89,50.29,"沪深300,深证100"
5158,001309,德明利,350.88,-9.07,16.03,4748000000.0,4724000000.0,23505000.0,9508000000.0,1.51,0.25,95.08,0.24,47.48,47.24,中证500
5100,688008,澜起科技,189.94,-7.3,4.13,4331000000.0,4834000000.0,-503000000.0,9165000000.0,1.46,-5.49,91.65,-5.03,43.31,48.34,"沪深300,科创50,上证50"
376,000636,风华高科,51.8,4.96,15.28,4775000000.0,4099000000.0,676000000.0,8991000000.0,1.43,7.52,89.91,6.76,47.75,40.99,中证1000
5086,002371,北方华创,638.94,-7.0,1.79,4367000000.0,4074000000.0,293000000.0,8491000000.0,1.35,3.45,84.91,2.93,43.67,40.74,"沪深300,深证100"
5097,600584,长电科技,61.0,-7.17,7.55,4040000000.0,4420000000.0,-380000000.0,8459000000.0,1.35,-4.49,84.59,-3.8,40.4,44.2,沪深300
4004,300750,宁德时代,394.4,-0.23,0.51,4679000000.0,3708000000.0,971000000.0000001,8458000000.0,1.35,11.48,84.58,9.71,46.79,37.08,"沪深300,创业板,深证100"
5164,002156,通富微电,51.34,-9.5,10.55,4086999999.9999995,4299000000.0,-212000000.0,8458000000.0,1.35,-2.51,84.58,-2.12,40.87,42.99,
5191,300604,长川科技,227.42,-12.41,7.31,4366000000.0,3940999999.9999995,425000000.0,8428000000.0,1.34,5.04,84.28,4.25,43.66,39.41,创业板
1943,300408,三环集团,114.0,2.08,3.87,3945000000.0000005,4197000000.0,-250999999.99999997,8202000000.0,1.31,-3.06,82.02,-2.51,39.45,41.97,"沪深300,创业板,深证100"
3848,603259,药明康德,128.5,0.05,2.52,3826000000.0,4193000000.0,-368000000.0,8019000000.0,1.28,-4.59,80.19,-3.68,38.26,41.93,"沪深300,上证50"
5048,688981,中芯国际,116.5,-6.04,3.27,3554999999.9999995,4211999999.9999995,-657000000.0,7766000000.0,1.24,-8.46,77.66,-6.57,35.55,42.12,"沪深300,科创50,上证50"
4121,600487,亨通光电,47.37,-0.5,6.25,3575000000.0,3699000000.0,-124000000.0,7273999999.999999,1.16,-1.7,72.74,-1.24,35.75,36.99,
4383,601899,紫金矿业,32.55,-1.21,1.07,3507000000.0,3589000000.0,-81377000.0,7095999999.999999,1.13,-1.15,70.96,-0.81,35.07,35.89,"沪深300,上证50"
5140,688525,佰维存储,206.8,-8.49,7.04,3178000000.0,3824000000.0,-646000000.0,7002000000.0,1.11,-9.23,70.02,-6.46,31.78,38.24,科创50
32,002131,利欧股份,5.13,10.09,23.99,3840000000.0,3155000000.0,685000000.0,6995999999.999999,1.11,9.79,69.96,6.85,38.4,31.55,
5195,301526,国际复材,27.88,-12.85,16.85,3068000000.0,3725000000.0,-657000000.0,6793000000.000001,1.08,-9.67,67.93,-6.57,30.68,37.25,"中证500,创业板"
4532,000725,京东方A,5.41,-1.81,3.5,2828000000.0,3820000000.0000005,-991000000.0,6745000000.0,1.07,-14.69,67.45,-9.91,28.28,38.2,"沪深300,深证100"
5081,300285,国瓷材料,57.8,-6.83,13.24,3007000000.0,3608000000.0,-601000000.0,6673000000.0,1.06,-9.01,66.73,-6.01,30.07,36.08,"中证500,创业板"
362,688498,源杰科技,1147.01,5.03,4.72,3611000000.0,2951000000.0,659000000.0,6562000000.0,1.04,10.04,65.62,6.59,36.11,29.51,"中证500,科创50"
5032,688041,海光信息,261.0,-5.78,1.04,3327000000.0000005,3111000000.0,215000000.0,6438000000.0,1.02,3.34,64.38,2.15,33.27,31.11,"沪深300,科创50,上证50"
5188,688766,普冉股份,312.9,-11.83,12.83,2890000000.0,3282000000.0,-392000000.0,6172000000.0,0.98,-6.35,61.72,-3.92,28.9,32.82,中证1000
