序号,代码,名称,最新价,涨跌幅,换手率,流入资金,流出资金,净流入,成交额,占总成交比,净流入占比,成交额亿,净流入亿,流入亿,流出亿,指数标签
699,300059,东方财富,20.14,2.23,2.66,3744000000.0,3301000000.0,443000000.0,7142000000.0,0.85,6.2,71.42,4.43,37.44,33.01,"沪深300,创业板,深证100"
424,300857,协创数据,219.8,3.31,6.44,3604999999.9999995,3447000000.0,158000000.0,7118000000.000001,0.84,2.22,71.18,1.58,36.05,34.47,"中证500,创业板"
4518,688072,拓荆科技,637.05,-8.87,3.76,3797000000.0,3288000000.0000005,509000000.0,7084999999.999999,0.84,7.18,70.85,5.09,37.97,32.88,"沪深300,科创50"
3660,002432,九安医疗,75.37,-4.84,17.88,3179000000.0,3649000000.0,-469000000.00000006,6888000000.0,0.82,-6.81,68.88,-4.69,31.79,36.49,中证500
498,603893,瑞芯微,208.0,2.97,7.51,3247999999.9999995,3322999999.9999995,-75898000.0,6570999999.999999,0.78,-1.16,65.71,-0.76,32.48,33.23,沪深300
392,600900,长江电力,28.98,3.54,0.94,3915000000.0,2653000000.0,1262000000.0,6568000000.000001,0.78,19.21,65.68,12.62,39.15,26.53,上证50
1565,300274,阳光电源,101.64,0.03,3.95,3290000000.0,3129000000.0,160000000.0,6445999999.999999,0.76,2.48,64.46,1.6,32.9,31.29,"创业板,深证100"
5015,688048,长光华芯,301.0,-11.78,11.5,3126000000.0,3308000000.0,-182000000.0,6434000000.0,0.76,-2.83,64.34,-1.82,31.26,33.08,
4458,300223,北京君正,140.88,-8.41,10.02,3173000000.0,3179000000.0,-6542000.0,6369000000.0,0.75,-0.1,63.69,-0.07,31.73,31.79,创业板
2902,688521,芯原股份,225.0,-2.85,5.23,3350000000.0,2931000000.0,418000000.0,6281000000.0,0.74,6.65,62.81,4.18,33.5,29.31,"沪深300,科创50"
282,600276,恒瑞医药,55.57,4.47,1.78,3569000000.0,2537000000.0,1032000000.0,6215000000.0,0.74,16.6,62.15,10.32,35.69,25.37,"沪深300,上证50"
113,688702,盛科通信,334.67,7.27,8.58,3160000000.0,2884000000.0,276000000.0,6044000000.0,0.72,4.57,60.44,2.76,31.6,28.84,"中证500,科创50"
3667,002396,星网锐捷,28.49,-4.87,25.86,3037000000.0,2826000000.0,211000000.0,5906000000.0,0.7,3.57,59.06,2.11,30.37,28.26,中证1000
5154,301526,国际复材,26.5,-16.11,14.24,3016000000.0,2667000000.0,349000000.0,5717000000.0,0.68,6.1,57.17,3.49,30.16,26.67,"中证500,创业板"
4757,000021,深科技,35.11,-10.0,9.45,2663000000.0,2897000000.0,-234000000.0,5571000000.0,0.66,-4.2,55.71,-2.34,26.63,28.97,中证500
737,600036,招商银行,38.81,2.08,0.67,3123000000.0,2235000000.0,888000000.0000001,5358000000.0,0.63,16.57,53.58,8.88,31.23,22.35,"沪深300,上证50"
834,600030,中信证券,28.11,1.85,1.53,2811000000.0,2414000000.0,396000000.0,5225000000.0,0.62,7.58,52.25,3.96,28.11,24.14,"沪深300,上证50"
4855,002008,大族激光,91.72,-10.0,5.64,2922000000.0,2270000000.0,651000000.0,5200000000.0,0.62,12.52,52.0,6.51,29.22,22.7,中证500
40,601991,大唐发电,6.38,10.0,6.9,3087000000.0,2096000000.0,991000000.0,5183000000.0,0.61,19.12,51.83,9.91,30.87,20.96,中证500
4114,688766,普冉股份,400.0,-6.54,8.11,2585000000.0,2529000000.0,55197900.0,5114000000.0,0.61,1.08,51.14,0.55,25.85,25.29,中证1000
4713,600105,永鼎股份,36.08,-9.98,9.18,2790000000.0,2314000000.0,476000000.0,5104000000.0,0.6,9.33,51.04,4.76,27.9,23.14,中证500
4970,300136,信维通信,62.0,-10.8,9.29,2552000000.0,2472000000.0,80142000.0,5075000000.0,0.6,1.58,50.75,0.8,25.52,24.72,"中证500,创业板"
5106,300285,国瓷材料,48.78,-13.85,10.97,2685000000.0,2245000000.0,440000000.00000006,4952000000.0,0.59,8.89,49.52,4.4,26.85,22.45,"中证500,创业板"
3014,002916,深南电路,323.66,-3.1,2.19,2370000000.0,2501000000.0,-131000000.0,4897000000.0,0.58,-2.68,48.97,-1.31,23.7,25.01,"沪深300,深证100"
692,601398,工商银行,7.74,2.25,0.23,2881000000.0,1882999999.9999998,998000000.0,4765000000.0,0.56,20.94,47.65,9.98,28.81,18.83,"沪深300,上证50"
4592,300666,江丰电子,197.48,-9.43,10.19,2273000000.0,2373000000.0,-99807000.0,4697000000.0,0.56,-2.12,46.97,-1.0,22.73,23.73,"中证500,创业板"
4353,688017,绿的谐波,300.88,-7.73,8.16,2360000000.0,2285000000.0,74689400.0,4645000000.0,0.55,1.61,46.45,0.75,23.6,22.85,中证500
1534,603228,景旺电子,71.8,0.14,6.39,2415000000.0,2224000000.0,191000000.0,4639000000.0,0.55,4.12,46.39,1.91,24.15,22.24,
421,603993,洛阳钼业,17.99,3.33,1.49,2352000000.0,2268000000.0,84218000.0,4620000000.0,0.55,1.82,46.2,0.84,23.52,22.68,"沪深300,上证50"
2450,688361,中科飞测,305.38,-1.87,4.08,2510000000.0,2068000000.0,442000000.0,4579000000.0,0.54,9.65,45.79,4.42,25.1,20.68,"中证500,科创50"
270,000858,五粮液,76.13,4.63,1.54,2519000000.0,1926000000.0000002,592000000.0,4508000000.0,0.53,13.13,45.08,5.92,25.19,19.26,"沪深300,深证100"
82,601600,中国铝业,9.17,8.65,3.8,2538000000.0,1957000000.0,581000000.0,4495000000.0,0.53,12.93,44.95,5.81,25.38,19.57,"沪深300,上证50"
3894,688120,华海清科,227.97,-5.67,3.85,2354000000.0,2129000000.0,225000000.0,4483000000.0,0.53,5.02,44.83,2.25,23.54,21.29,"中证500,科创50"
2899,603501,豪威集团,101.16,-2.84,3.58,2098000000.0,2302000000.0,-204000000.0,4400000000.0,0.52,-4.64,44.0,-2.04,20.98,23.02,"沪深300,上证50"
1900,300433,蓝思科技,34.0,-0.7,2.54,2171000000.0,2193000000.0,-21865000.0,4391000000.0,0.52,-0.5,43.91,-0.22,21.71,21.93,"沪深300,创业板,深证100"
4836,002851,麦格米特,122.93,-10.0,7.55,2427000000.0,1957000000.0,470000000.0,4385000000.0,0.52,10.72,43.85,4.7,24.27,19.57,中证500
2491,603127,昭衍新药,47.0,-1.94,14.99,2636000000.0,1692000000.0000002,944999999.9999999,4328000000.0,0.51,21.83,43.28,9.45,26.36,16.92,中证1000
185,300759,康龙化成,37.55,5.83,8.24,2323000000.0,1946000000.0,377000000.0,4304000000.0,0.51,8.76,43.04,3.77,23.23,19.46,"中证500,创业板"
542,600309,万华化学,71.99,2.78,1.93,2155000000.0,2050000000.0,104000000.0,4274000000.0,0.51,2.43,42.74,1.04,21.55,20.5,"沪深300,上证50"
100,603629,利通电子,97.8,7.72,12.07,1393000000.0,2861000000.0,-1468000000.0,4254000000.0,0.5,-34.51,42.54,-14.68,13.93,28.61,
4551,002050,三花智控,36.12,-9.13,3.06,1909000000.0,2255000000.0,-346000000.0,4240999999.9999995,0.5,-8.16,42.41,-3.46,19.09,22.55,"沪深300,深证100"
407,601288,农业银行,6.61,3.44,0.2,2498000000.0,1648999999.9999998,849000000.0,4147000000.0,0.49,20.47,41.47,8.49,24.98,16.49,"沪深300,上证50"
4889,000657,中钨高新,54.68,-10.01,4.78,2068000000.0,2020000000.0,48101000.0,4103000000.0,0.49,1.17,41.03,0.48,20.68,20.2,"沪深300,深证100"
123,601857,中国石油,11.01,7.0,0.23,2158000000.0,1941000000.0,217000000.0,4099000000.0,0.49,5.29,40.99,2.17,21.58,19.41,"沪深300,上证50"
5177,301511,德福科技,76.99,-19.99,12.92,2150000000.0,1905000000.0,245000000.00000003,4059000000.0000005,0.48,6.04,40.59,2.45,21.5,19.05,
886,000333,美的集团,84.12,1.7,0.7,2268000000.0,1680999999.9999998,587000000.0,4029000000.0,0.48,14.57,40.29,5.87,22.68,16.81,"沪深300,深证100"
4959,688627,精智达,457.51,-10.64,8.66,2064000000.0,1945000000.0,119000000.0,4009000000.0000005,0.47,2.97,40.09,1.19,20.64,19.45,
5115,688110,东芯股份,100.38,-14.08,8.56,1907000000.0,2095000000.0,-188000000.0,4002000000.0000005,0.47,-4.7,40.02,-1.88,19.07,20.95,
5190,688146,中船特气,200.8,-20.0,12.43,2035000000.0000002,1964999999.9999998,70519000.0,4000000000.0,0.47,1.76,40.0,0.71,20.35,19.65,中证1000
326,300033,同花顺,224.33,4.07,4.07,2082000000.0,1877000000.0,204000000.0,4000000000.0,0.47,5.1,40.0,2.04,20.82,18.77,"沪深300,创业板,深证100"
3736,688126,沪硅产业,25.3,-5.1,5.39,2011000000.0,1977000000.0,33911000.0,3986999999.9999995,0.47,0.85,39.87,0.34,20.11,19.77,"沪深300,科创50"
74,600989,宝丰能源,23.28,9.3,2.36,2152000000.0,1807000000.0,345000000.0,3959000000.0000005,0.47,8.71,39.59,3.45,21.52,18.07,沪深300
4496,300757,罗博特科,377.02,-8.71,6.22,1885000000.0000002,2029000000.0,-144000000.0,3935000000.0,0.47,-3.66,39.35,-1.44,18.85,20.29,"中证500,创业板"
2525,000100,TCL科技,4.9,-2.0,3.89,1704000000.0,2110000000.0000002,-405999999.99999994,3924000000.0,0.46,-10.35,39.24,-4.06,17.04,21.1,深证100
1470,002594,比亚迪,93.74,0.29,1.19,1957000000.0,1879000000.0,78005000.0,3882000000.0,0.46,2.01,38.82,0.78,19.57,18.79,"沪深300,深证100"
337,601211,国泰海通,19.03,3.99,1.52,2262000000.0,1603000000.0,659000000.0,3865000000.0,0.46,17.05,38.65,6.59,22.62,16.03,"沪深300,上证50"
1758,600664,哈药股份,5.31,-0.38,29.46,2280000000.0,1583000000.0,697000000.0,3863000000.0000005,0.46,18.04,38.63,6.97,22.8,15.83,中证1000
