序号,代码,名称,最新价,涨跌幅,换手率,流入资金,流出资金,净流入,成交额,占总成交比,净流入占比,成交额亿,净流入亿,流入亿,流出亿,指数标签
22,688981,中芯国际,133.81,12.62,11.25,18551000000.0,10446000000.0,8105000000.0,28997000000.000004,3.41,27.95,289.97,81.05,185.51,104.46,"沪深300,科创50,上证50"
70,603986,兆易创新,445.02,10.0,9.14,14968000000.0,11555000000.0,3413000000.0000005,26524000000.0,3.12,12.87,265.24,34.13,149.68,115.55,沪深300
474,688256,寒武纪,1362.41,3.28,2.92,13457000000.0,11560000000.0,1897000000.0,25016000000.0,2.94,7.58,250.16,18.97,134.57,115.6,"沪深300,科创50,上证50"
1228,300308,中际旭创,1037.0,0.68,2.04,11790000000.0,11791000000.0,-622300.0,23581000000.0,2.77,-0.0,235.81,-0.01,117.9,117.91,"沪深300,创业板,深证100"
495,000988,华工科技,163.42,3.17,13.0,11363000000.0,10211000000.0,1152000000.0,21573000000.0,2.54,5.34,215.73,11.52,113.63,102.11,
181,300274,阳光电源,167.2,6.24,7.4,10950000000.0,8348999999.999999,2601000000.0,19299000000.0,2.27,13.48,192.99,26.01,109.5,83.49,"沪深300,创业板,深证100"
358,688008,澜起科技,257.3,4.12,6.52,10009000000.0,9121000000.0,888000000.0000001,19129000000.0,2.25,4.64,191.29,8.88,100.09,91.21,"沪深300,科创50,上证50"
582,300502,新易盛,587.97,2.7,3.69,10271000000.0,8840000000.0,1432000000.0,19111000000.0,2.25,7.49,191.11,14.32,102.71,88.4,"沪深300,创业板,深证100"
106,600584,长电科技,66.22,8.9,15.98,9824000000.0,8859000000.0,965000000.0,18683000000.0,2.2,5.17,186.83,9.65,98.24,88.59,
648,002281,光迅科技,236.4,2.39,9.85,9325000000.0,8804000000.0,521000000.0,18128000000.0,2.13,2.87,181.28,5.21,93.25,88.04,中证500
1369,002384,东山精密,223.0,0.41,5.64,9003000000.0,8265000000.000001,738000000.0,17268000000.0,2.03,4.27,172.68,7.38,90.03,82.65,"沪深300,深证100"
760,600522,中天科技,45.41,1.93,9.95,7787000000.0,7753000000.0,33820000.0,15540000000.0,1.83,0.22,155.4,0.34,77.87,77.53,沪深300
2574,300394,天孚通信,358.99,-1.1,5.35,7087000000.0,7823000000.0,-736000000.0,14909000000.0,1.75,-4.94,149.09,-7.36,70.87,78.23,"沪深300,创业板,深证100"
677,688012,中微公司,490.33,2.26,4.66,6881999999.999999,7289000000.0,-408000000.0,14171000000.0,1.67,-2.88,141.71,-4.08,68.82,72.89,"沪深300,科创50,上证50"
2053,601138,工业富联,68.15,-0.6,1.06,6684999999.999999,7468000000.000001,-782000000.0,14153000000.0,1.66,-5.53,141.53,-7.82,66.85,74.68,沪深300
887,688041,海光信息,316.74,1.51,1.82,6769000000.0,6636000000.0,133000000.0,13405000000.000002,1.58,0.99,134.05,1.33,67.69,66.36,"沪深300,科创50,上证50"
1363,600487,亨通光电,75.78,0.41,7.0,6892000000.0,6115000000.0,777000000.0,13007000000.0,1.53,5.97,130.07,7.77,68.92,61.15,中证500
