序号,代码,名称,最新价,涨跌幅,换手率,流入资金,流出资金,净流入,成交额,占总成交比,净流入占比,成交额亿,净流入亿,流入亿,流出亿,指数标签
2615,002384,东山精密,262.49,0.81,10.04,19028000000.0,18231000000.0,797000000.0,37258000000.0,4.26,2.14,372.58,7.97,190.28,182.31,"沪深300,深证100"
4107,603986,兆易创新,571.79,-2.09,8.28,15418000000.0,17019000000.0,-1601000000.0000002,32495000000.0,3.72,-4.93,324.95,-16.01,154.18,170.19,"沪深300,上证50"
3818,300308,中际旭创,1169.31,-1.24,2.23,14063999999.999998,15218000000.0,-1154000000.0,29282000000.0,3.35,-3.94,292.82,-11.54,140.64,152.18,"沪深300,创业板,深证100"
4172,300502,新易盛,556.0,-2.25,3.54,12240000000.0,12713000000.0,-473000000.00000006,24952000000.0,2.86,-1.9,249.52,-4.73,122.4,127.13,"沪深300,创业板,深证100"
2359,002156,通富微电,78.71,1.08,19.34,11948000000.0,11534000000.0,413000000.0,23481000000.0,2.69,1.76,234.81,4.13,119.48,115.34,
5138,600584,长电科技,92.46,-9.97,13.33,9586000000.0,13351000000.0,-3765000000.0,22967000000.0,2.63,-16.39,229.67,-37.65,95.86,133.51,沪深300
5099,000725,京东方A,6.38,-9.12,8.51,7967000000.0,11789000000.0,-3822000000.0,19757000000.0,2.26,-19.35,197.57,-38.22,79.67,117.89,"沪深300,深证100"
5196,688525,佰维存储,304.4,-15.06,11.1,7794000000.0,8979000000.0,-1185000000.0,16800000000.0,1.92,-7.05,168.0,-11.85,77.94,89.79,科创50
4669,600487,亨通光电,71.05,-4.48,8.76,7204000000.000001,8651000000.0,-1447000000.0,15903000000.0,1.82,-9.1,159.03,-14.47,72.04,86.51,
685,603259,药明康德,131.5,3.13,4.65,7469000000.0,7679000000.000001,-210000000.0,15181000000.0,1.74,-1.38,151.81,-2.1,74.69,76.79,"沪深300,上证50"
5167,002185,华天科技,23.11,-10.01,19.3,7306000000.0,7798000000.0,-492000000.0,15105000000.000002,1.73,-3.26,151.05,-4.92,73.06,77.98,中证500
722,600183,生益科技,152.43,3.06,3.94,7409999999.999999,7220999999.999999,189000000.0,14651000000.0,1.68,1.29,146.51,1.89,74.1,72.21,"沪深300,上证50"
4928,688008,澜起科技,252.68,-6.41,4.67,6118000000.0,7770999999.999999,-1653000000.0,13902000000.000002,1.59,-11.89,139.02,-16.53,61.18,77.71,"沪深300,科创50,上证50"
1045,300750,宁德时代,373.0,2.47,0.84,6466000000.0,6973999999.999999,-508000000.0,13440000000.0,1.54,-3.78,134.4,-5.08,64.66,69.74,"沪深300,创业板,深证100"
4673,688256,寒武纪,1347.46,-4.5,1.51,6264000000.0,6698000000.0,-434999999.99999994,12981000000.0,1.49,-3.35,129.81,-4.35,62.64,66.98,"沪深300,科创50,上证50"
4684,688981,中芯国际,153.64,-4.57,4.17,6267000000.0,6643000000.000001,-377000000.0,12924000000.0,1.48,-2.92,129.24,-3.77,62.67,66.43,"沪深300,科创50,上证50"
3395,000977,浪潮信息,84.7,-0.29,10.08,6626000000.000001,6098000000.0,529000000.0,12724000000.0,1.46,4.16,127.24,5.29,66.26,60.98,"沪深300,深证100"
3179,002463,沪电股份,137.23,0.07,4.47,6053000000.0,6013000000.0,40070000.0,12066000000.0,1.38,0.33,120.66,0.4,60.53,60.13,"沪深300,深证100"
4579,000938,紫光股份,35.53,-3.92,11.43,5895000000.0,5912000000.0,-17200000.0,11807000000.0,1.35,-0.15,118.07,-0.17,58.95,59.12,"沪深300,深证100"
5109,301308,江波龙,488.0,-9.38,8.09,5475000000.0,6229000000.0,-753000000.0,11704000000.0,1.34,-6.43,117.04,-7.53,54.75,62.29,"沪深300,创业板,深证100"
5037,002281,光迅科技,214.97,-7.72,6.32,4852000000.0,6171000000.0,-1319000000.0,11024000000.0,1.26,-11.96,110.24,-13.19,48.52,61.71,中证500
308,600276,恒瑞医药,57.5,4.89,3.04,6514000000.0,4450000000.0,2064999999.9999998,10992000000.0,1.26,18.79,109.92,20.65,65.14,44.5,"沪深300,上证50"
5105,300604,长川科技,304.44,-9.29,7.02,5393000000.0,5394000000.0,-1667000.0,10787000000.0,1.23,-0.02,107.87,-0.02,53.93,53.94,创业板
3771,000063,中兴通讯,39.45,-1.15,6.65,5255000000.0,5424000000.0,-169000000.0,10680000000.0,1.22,-1.58,106.8,-1.69,52.55,54.24,"沪深300,深证100"
181,601869,长飞光纤,425.45,6.31,5.95,5040000000.0,5450000000.0,-409999999.99999994,10495000000.0,1.2,-3.91,104.95,-4.1,50.4,54.5,中证500
5094,688072,拓荆科技,774.0,-8.94,4.59,5391000000.0,4977000000.0,413999999.99999994,10393000000.0,1.19,3.98,103.93,4.14,53.91,49.77,"沪深300,科创50"
4473,688012,中微公司,391.29,-3.46,2.77,5434000000.0,4945000000.0,488999999.99999994,10384000000.0,1.19,4.71,103.84,4.89,54.34,49.45,"沪深300,科创50,上证50"
4322,600176,中国巨石,53.0,-2.79,4.72,4835000000.0,5316000000.0,-480999999.99999994,10168000000.0,1.16,-4.73,101.68,-4.81,48.35,53.16,沪深300
4621,300475,香农芯创,221.2,-4.2,9.45,4943000000.0,4872000000.0,70786000.0,9816000000.0,1.12,0.72,98.16,0.71,49.43,48.72,"中证500,创业板"
2834,688498,源杰科技,1809.0,0.56,4.3,5215000000.0,4429000000.0,786000000.0,9672000000.0,1.11,8.13,96.72,7.86,52.15,44.29,"中证500,科创50"
4602,002371,北方华创,742.66,-4.07,1.69,4971000000.0,4301000000.0,670000000.0,9272000000.0,1.06,7.23,92.72,6.7,49.71,43.01,"沪深300,深证100"
5102,000988,华工科技,145.21,-9.15,6.08,3922000000.0,5278000000.0,-1356000000.0,9199000000.0,1.05,-14.74,91.99,-13.56,39.22,52.78,"沪深300,深证100"
4774,300394,天孚通信,259.4,-5.16,3.19,4078000000.0,5095000000.0,-1018000000.0,9173000000.0,1.05,-11.1,91.73,-10.18,40.78,50.95,"沪深300,创业板,深证100"
5148,000021,深科技,47.26,-10.0,11.66,3972000000.0,5110000000.0,-1138000000.0,9081000000.0,1.04,-12.53,90.81,-11.38,39.72,51.1,中证500
770,600519,贵州茅台,1251.06,2.98,0.58,4999000000.0,3913000000.0000005,1086000000.0,8923000000.0,1.02,12.17,89.23,10.86,49.99,39.13,"沪深300,上证50"
4737,688041,海光信息,324.11,-4.91,1.16,4572000000.0,4293000000.0,278000000.0,8876000000.0,1.02,3.13,88.76,2.78,45.72,42.93,"沪深300,科创50,上证50"
4661,600522,中天科技,40.7,-4.44,6.16,3869000000.0,4942000000.0,-1073000000.0,8835000000.0,1.01,-12.14,88.35,-10.73,38.69,49.42,沪深300
4703,300476,胜宏科技,276.77,-4.65,3.41,3713000000.0000005,4632000000.0,-919000000.0,8345999999.999999,0.96,-11.01,83.46,-9.19,37.13,46.32,"沪深300,创业板,深证100"
4877,688347,华虹宏力,331.42,-6.0,5.65,3801000000.0,4000000000.0,-199000000.0,7842000000.0,0.9,-2.54,78.42,-1.99,38.01,40.0,科创50
4098,002851,麦格米特,168.63,-2.05,9.93,3851000000.0,3950000000.0,-98780000.0,7801000000.000001,0.89,-1.27,78.01,-0.99,38.51,39.5,中证500
