序号,代码,名称,最新价,涨跌幅,换手率,流入资金,流出资金,净流入,成交额,占总成交比,净流入占比,成交额亿,净流入亿,流入亿,流出亿,指数标签
2439,300308,中际旭创,1248.09,0.25,2.1,14522999999.999998,14569000000.0,-46555500.0,29092000000.0,3.05,-0.16,290.92,-0.47,145.23,145.69,"沪深300,创业板,深证100"
647,002384,东山精密,249.06,4.07,7.39,12352000000.0,12586000000.0,-234000000.0,24939000000.0,2.62,-0.94,249.39,-2.34,123.52,125.86,"沪深300,深证100"
228,600487,亨通光电,107.5,8.28,9.24,12509000000.0,11261000000.0,1248000000.0,23770000000.0,2.5,5.25,237.7,12.48,125.09,112.61,中证500
962,603986,兆易创新,532.76,2.85,6.41,11700000000.0,10974000000.0,726000000.0,22674000000.0,2.38,3.2,226.74,7.26,117.0,109.74,沪深300
1496,300502,新易盛,549.0,1.57,3.23,11633000000.0,10612000000.0,1019999999.9999999,22245000000.0,2.34,4.59,222.45,10.2,116.33,106.12,"沪深300,创业板,深证100"
334,300394,天孚通信,324.71,6.45,5.31,9241000000.0,9219000000.0,22230000.0,18460000000.0,1.94,0.12,184.6,0.22,92.41,92.19,"沪深300,创业板,深证100"
415,600522,中天科技,54.15,5.45,9.3,8707000000.0,8354000000.000001,353000000.0,17061000000.000002,1.79,2.07,170.61,3.53,87.07,83.54,沪深300
248,600183,生益科技,179.4,7.81,3.84,7850000000.0,8711000000.0,-860000000.0,16561000000.000002,1.74,-5.19,165.61,-8.6,78.5,87.11,沪深300
863,300476,胜宏科技,355.48,3.19,5.42,8768000000.0,7763000000.0,1005000000.0000001,16530000000.000002,1.74,6.08,165.3,10.05,87.68,77.63,"沪深300,创业板,深证100"
903,000725,京东方A,6.1,3.04,7.36,8448999999.999999,7373000000.0,1075000000.0,15822000000.0,1.66,6.79,158.22,10.75,84.49,73.73,"沪深300,深证100"
445,002463,沪电股份,140.64,5.14,5.73,8444000000.0,6889000000.0,1555000000.0,15333000000.000002,1.61,10.14,153.33,15.55,84.44,68.89,"沪深300,深证100"
2932,002428,云南锗业,101.2,-0.29,22.15,7889000000.0,7138000000.0,751000000.0,15027000000.000002,1.58,5.0,150.27,7.51,78.89,71.38,中证1000
780,600584,长电科技,76.93,3.51,10.71,7342000000.0,7359000000.0,-16670000.0,14701000000.0,1.54,-0.11,147.01,-0.17,73.42,73.59,
1609,300750,宁德时代,403.53,1.36,0.82,7626000000.000001,6481999999.999999,1144000000.0,14108000000.000002,1.48,8.11,141.08,11.44,76.26,64.82,"沪深300,创业板,深证100"
2728,300408,三环集团,150.22,-0.02,4.75,6675000000.0,6840000000.000001,-164000000.0,13515000000.0,1.42,-1.21,135.15,-1.64,66.75,68.4,"创业板,深证100"
1429,688008,澜起科技,244.17,1.7,4.7,6495000000.0,6603000000.0,-109000000.00000001,13097999999.999998,1.37,-0.83,130.98,-1.09,64.95,66.03,"沪深300,科创50,上证50"
4494,688256,寒武纪,1306.99,-2.1,1.59,5864000000.0,7231999999.999999,-1368000000.0,13096000000.0,1.37,-10.45,130.96,-13.68,58.64,72.32,"沪深300,科创50,上证50"
1278,002281,光迅科技,230.01,2.01,7.22,6445000000.0,6586000000.0,-141000000.0,13031000000.0,1.37,-1.08,130.31,-1.41,64.45,65.86,中证500
3304,601138,工业富联,72.9,-0.68,0.88,5740000000.0,7031000000.0,-1291000000.0,12771000000.0,1.34,-10.11,127.71,-12.91,57.4,70.31,沪深300
218,000636,风华高科,70.61,8.58,15.52,5968000000.0,6717000000.0,-748000000.0,12685000000.0,1.33,-5.9,126.85,-7.48,59.68,67.17,中证1000
1336,000988,华工科技,164.0,1.88,7.72,6331000000.0,6249000000.0,81780000.0,12580000000.0,1.32,0.65,125.8,0.82,63.31,62.49,
1070,300136,信维通信,100.16,2.52,14.33,6616000000.0,5562000000.0,1053999999.9999999,12178000000.0,1.28,8.65,121.78,10.54,66.16,55.62,"中证500,创业板"
222,600176,中国巨石,49.64,8.46,6.04,6380000000.0,5384000000.0,996000000.0000001,11764000000.0,1.23,8.47,117.64,9.96,63.8,53.84,沪深300
444,300433,蓝思科技,48.35,5.15,4.84,6146000000.0,5551000000.0,595000000.0,11697000000.0,1.23,5.09,116.97,5.95,61.46,55.51,"创业板,深证100"
2482,688525,佰维存储,340.48,0.21,7.21,5513000000.0,6054000000.0,-541000000.0,11567000000.0,1.21,-4.68,115.67,-5.41,55.13,60.54,"中证500,科创50"
194,600498,烽火通信,74.0,9.1,12.7,6028000000.0,5405000000.0,624000000.0,11433000000.0,1.2,5.46,114.33,6.24,60.28,54.05,中证500
335,000657,中钨高新,92.5,6.44,8.47,5596000000.0,5680000000.0,-84670000.0,11276000000.0,1.18,-0.75,112.76,-0.85,55.96,56.8,中证500
32,300014,亿纬锂能,66.88,13.8,7.88,6598999999.999999,4397000000.0,2202000000.0,10995000000.0,1.15,20.03,109.95,22.02,65.99,43.97,"沪深300,创业板,深证100"
1167,300274,阳光电源,152.49,2.27,4.42,5334000000.0,5425000000.0,-90652000.0,10759000000.0,1.13,-0.84,107.59,-0.91,53.34,54.25,"沪深300,创业板,深证100"
3912,002475,立讯精密,67.26,-1.31,2.19,4916000000.0,5841000000.0,-925000000.0,10757000000.0,1.13,-8.6,107.57,-9.25,49.16,58.41,"沪深300,深证100"
14,300570,太辰光,263.29,18.55,21.27,5525000000.0,4945000000.0,580000000.0,10470000000.0,1.1,5.54,104.7,5.8,55.25,49.45,中证500
5071,603993,洛阳钼业,20.03,-4.25,2.91,4724000000.0,5597000000.0,-873000000.0,10321000000.0,1.08,-8.46,103.21,-8.73,47.24,55.97,"沪深300,上证50"
525,301217,铜冠铜箔,178.17,4.71,6.86,5094000000.0,5219000000.0,-125000000.0,10313000000.0,1.08,-1.21,103.13,-1.25,50.94,52.19,中证1000
30,300620,光库科技,392.49,14.41,10.9,4966000000.0,5162000000.0,-196000000.0,10128000000.0,1.06,-1.94,101.28,-1.96,49.66,51.62,
918,600111,北方稀土,51.98,2.99,5.34,5148000000.0,4889000000.0,259000000.0,10037000000.0,1.05,2.58,100.37,2.59,51.48,48.89,"沪深300,上证50"
1264,300666,江丰电子,299.61,2.05,14.96,4899000000.0,4923000000.0,-23918000.0,9822000000.0,1.03,-0.24,98.22,-0.24,48.99,49.23,"中证1000,创业板"
2926,688981,中芯国际,130.14,-0.29,3.73,4375000000.0,5364000000.0,-989000000.0,9739000000.0,1.02,-10.16,97.39,-9.89,43.75,53.64,"沪深300,科创50,上证50"
181,688498,源杰科技,1608.88,9.83,5.17,5337000000.0,4393000000.0,944000000.0,9730000000.0,1.02,9.7,97.3,9.44,53.37,43.93,中证1000
329,300285,国瓷材料,67.43,6.52,16.99,5064000000.0,4650000000.0,413999999.99999994,9713000000.0,1.02,4.26,97.13,4.14,50.64,46.5,"中证500,创业板"
4939,601899,紫金矿业,30.29,-3.26,1.42,3947999999.9999995,5021000000.0,-1073000000.0,8968000000.0,0.94,-11.96,89.68,-10.73,39.48,50.21,"沪深300,上证50"
1246,301308,江波龙,540.23,2.08,5.87,4410000000.0,4475000000.0,-65300000.0,8885000000.0,0.93,-0.73,88.85,-0.65,44.1,44.75,"中证500,创业板"
1701,300059,东方财富,19.12,1.22,3.43,4357000000.0,4392000000.0,-34404000.0,8749000000.0,0.92,-0.39,87.49,-0.34,43.57,43.92,"沪深300,创业板,深证100"
144,002436,兴森科技,44.1,10.0,13.26,4611000000.0,4078000000.0,533000000.0,8689000000.0,0.91,6.13,86.89,5.33,46.11,40.78,
4446,002407,多氟多,39.33,-2.02,19.77,4072999999.9999995,4432000000.0,-359000000.0,8504000000.000001,0.89,-4.22,85.04,-3.59,40.73,44.32,
422,300548,长芯博创,283.3,5.38,10.54,4079999999.9999995,4242000000.0,-162000000.0,8323000000.0,0.87,-1.95,83.23,-1.62,40.8,42.42,"中证1000,创业板"
4199,688041,海光信息,294.31,-1.67,1.21,3633000000.0,4621000000.0,-988000000.0000001,8254000000.000001,0.87,-11.97,82.54,-9.88,36.33,46.21,"沪深300,科创50,上证50"
955,601958,金钼股份,28.88,2.89,8.83,4124000000.0,4017000000.0,107000000.0,8141000000.0,0.85,1.31,81.41,1.07,41.24,40.17,中证500
37,301526,国际复材,38.68,13.33,15.14,4086000000.0,4008000000.0,78036000.0,8094000000.0,0.85,0.96,80.94,0.78,40.86,40.08,
1241,000063,中兴通讯,38.0,2.1,5.29,4318000000.0,3713000000.0000005,604000000.0,8031000000.0,0.84,7.52,80.31,6.04,43.18,37.13,"沪深300,深证100"
1543,688146,中船特气,323.0,1.48,16.02,4022000000.0,3969000000.0,52400700.0,7991000000.0,0.84,0.66,79.91,0.52,40.22,39.69,中证1000
1174,002156,通富微电,62.93,2.26,8.22,4019000000.0,3802000000.0000005,216000000.0,7820999999.999999,0.82,2.76,78.21,2.16,40.19,38.02,中证500
1221,001309,德明利,655.66,2.15,7.31,3904999999.9999995,3914000000.0,-8868600.0,7819000000.0,0.82,-0.11,78.19,-0.09,39.05,39.14,
155,600703,三安光电,16.84,9.99,9.36,4034000000.0000005,3708000000.0,326000000.0,7741000000.0,0.81,4.21,77.41,3.26,40.34,37.08,
156,600105,永鼎股份,58.88,9.99,9.37,4007000000.0,3722999999.9999995,284000000.0,7730000000.0,0.81,3.67,77.3,2.84,40.07,37.23,中证1000
146,002008,大族激光,136.62,10.0,6.12,3878000000.0,3833000000.0,44334000.0,7711000000.0,0.81,0.57,77.11,0.44,38.78,38.33,中证500
316,002709,天赐材料,52.28,6.65,9.39,4095000000.0000005,3115000000.0,980000000.0000001,7209999999.999999,0.76,13.59,72.1,9.8,40.95,31.15,沪深300
431,301511,德福科技,169.63,5.31,11.21,3531000000.0,3461999999.9999995,68502000.0,6993000000.000001,0.73,0.98,69.93,0.69,35.31,34.62,
897,601869,长飞光纤,464.1,3.06,3.69,3536999999.9999995,3436999999.9999995,100000000.0,6973000000.0,0.73,1.43,69.73,1.0,35.37,34.37,中证1000
230,600460,士兰微,38.28,8.23,10.75,2974000000.0,3934000000.0000005,-960000000.0,6908000000.0,0.73,-13.9,69.08,-9.6,29.74,39.34,
20,300450,先导智能,49.4,15.96,9.43,3835000000.0,3053000000.0,782000000.0,6887000000.0,0.72,11.35,68.87,7.82,38.35,30.53,"中证500,创业板"
2946,688012,中微公司,319.0,-0.31,2.19,3315000000.0,3198000000.0,117000000.0,6513000000.0,0.68,1.8,65.13,1.17,33.15,31.98,"沪深300,科创50,上证50"
895,600378,昊华科技,58.0,3.07,10.15,3289000000.0,3172000000.0,117000000.0,6459999999.999999,0.68,1.81,64.6,1.17,32.89,31.72,中证500
2610,300475,香农芯创,204.41,0.06,7.03,3286000000.0,3170000000.0,115999999.99999999,6456000000.0,0.68,1.8,64.56,1.16,32.86,31.7,
845,300395,菲利华,131.45,3.24,9.57,3171000000.0,3281000000.0,-111000000.00000001,6452000000.0,0.68,-1.72,64.52,-1.11,31.71,32.81,"中证500,创业板"
1832,002916,深南电路,403.88,1.02,2.38,3186000000.0,3227000000.0000005,-40444000.0,6413000000.0,0.67,-0.63,64.13,-0.4,31.86,32.27,"沪深300,深证100"
3142,688126,沪硅产业,31.05,-0.54,7.49,3097000000.0,3308000000.0,-212000000.0,6405000000.0,0.67,-3.31,64.05,-2.12,30.97,33.08,"沪深300,科创50"
2451,600160,巨化股份,46.7,0.24,5.1,3093000000.0,3311000000.0,-218000000.00000003,6403000000.0,0.67,-3.4,64.03,-2.18,30.93,33.11,沪深300
555,605589,圣泉集团,67.06,4.54,11.36,2986000000.0,3384000000.0000005,-399000000.0,6370000000.0,0.67,-6.26,63.7,-3.99,29.86,33.84,
