序号,代码,名称,最新价,涨跌幅,换手率,流入资金,流出资金,净流入,成交额,占总成交比,净流入占比,成交额亿,净流入亿,流入亿,流出亿,指数标签
303,000725,京东方A,8.68,9.18,14.67,23884000000.0,20676000000.0,3208000000.0,44557000000.0,4.05,7.2,445.57,32.08,238.84,206.76,"沪深300,深证100"
4795,603986,兆易创新,815.0,-2.98,6.73,18171000000.0,18229000000.0,-57914300.0,36399000000.0,3.31,-0.16,363.99,-0.58,181.71,182.29,沪深300
1005,300308,中际旭创,1270.0,4.1,2.49,18274000000.0,16687000000.0,1587000000.0,34961000000.0,3.18,4.54,349.61,15.87,182.74,166.87,"沪深300,创业板,深证100"
309,300502,新易盛,607.0,8.98,4.66,20048000000.0,14479000000.0,5569000000.0,34527000000.0,3.14,16.13,345.27,55.69,200.48,144.79,"沪深300,创业板,深证100"
873,688008,澜起科技,309.9,4.67,7.84,14488999999.999998,12796000000.0,1693000000.0,27285000000.000004,2.48,6.2,272.85,16.93,144.89,127.96,"沪深300,科创50,上证50"
392,688256,寒武纪,1595.55,7.66,2.58,13510000000.0,11977000000.0,1533000000.0,25487000000.0,2.32,6.01,254.87,15.33,135.1,119.77,"沪深300,科创50,上证50"
2747,600584,长电科技,103.55,0.29,12.77,11734000000.0,11447000000.0,287000000.0,23180000000.0,2.11,1.24,231.8,2.87,117.34,114.47,
275,300476,胜宏科技,346.43,9.85,6.73,11554000000.0,8362000000.0,3192000000.0,19916000000.0,1.81,16.03,199.16,31.92,115.54,83.62,"沪深300,创业板,深证100"
983,000988,华工科技,184.51,4.23,10.85,10716000000.0,9007000000.0,1707999999.9999998,19722000000.0,1.79,8.66,197.22,17.08,107.16,90.07,
377,002475,立讯精密,70.4,7.81,3.36,10034000000.0,6968000000.000001,3066000000.0,17002000000.000002,1.54,18.03,170.02,30.66,100.34,69.68,"沪深300,深证100"
724,688981,中芯国际,158.82,5.18,5.33,9568000000.0,7111000000.0,2457000000.0,16680000000.000002,1.52,14.73,166.8,24.57,95.68,71.11,"沪深300,科创50,上证50"
299,000021,深科技,64.27,9.19,16.91,8748000000.0,7625000000.0,1123000000.0,16372999999.999998,1.49,6.86,163.73,11.23,87.48,76.25,中证500
755,002384,东山精密,262.24,5.07,4.51,8429000000.000001,7769000000.0,660000000.0,16197999999.999998,1.47,4.07,161.98,6.6,84.29,77.69,"沪深300,深证100"
1510,688012,中微公司,468.5,2.59,3.74,8320999999.999999,7804000000.000001,518000000.0,16125000000.0,1.47,3.21,161.25,5.18,83.21,78.04,"沪深300,科创50,上证50"
1475,600176,中国巨石,72.88,2.68,5.54,8178000000.0,7813000000.0,365000000.0,15991000000.0,1.45,2.28,159.91,3.65,81.78,78.13,沪深300
545,002008,大族激光,150.11,6.31,10.99,8364000000.0,7338000000.0,1026000000.0,15702000000.000002,1.43,6.53,157.02,10.26,83.64,73.38,中证500
942,688041,海光信息,370.3,4.36,1.78,8420000000.0,6937000000.0,1482000000.0,15357000000.0,1.4,9.65,153.57,14.82,84.2,69.37,"沪深300,科创50,上证50"
220,603019,中科曙光,107.23,10.0,10.01,9786000000.0,5566000000.0,4220000000.0000005,15352000000.000002,1.39,27.49,153.52,42.2,97.86,55.66,"沪深300,上证50"
1310,600522,中天科技,60.68,3.13,7.38,7306000000.0,7764000000.0,-458000000.0,15069999999.999998,1.37,-3.04,150.7,-4.58,73.06,77.64,沪深300
4563,688525,佰维存储,494.73,-2.42,6.2,6934999999.999999,7486000000.0,-551000000.0,14421000000.0,1.31,-3.82,144.21,-5.51,69.35,74.86,"中证500,科创50"
311,002281,光迅科技,257.09,8.96,7.37,8016000000.0,6187000000.0,1829000000.0,14202000000.000002,1.29,12.88,142.02,18.29,80.16,61.87,中证500
2167,600487,亨通光电,109.34,1.2,5.19,6772000000.0,7204000000.000001,-432000000.0,13976000000.0,1.27,-3.09,139.76,-4.32,67.72,72.04,中证500
