序号,代码,名称,最新价,涨跌幅,换手率,流入资金,流出资金,净流入,成交额,占总成交比,净流入占比,成交额亿,净流入亿,流入亿,流出亿,指数标签
3621,300308,中际旭创,890.1,-2.07,1.56,7398000000.0,8093000000.000001,-696000000.0,15491000000.0,3.53,-4.49,154.91,-6.96,73.98,80.93,"沪深300,创业板,深证100"
126,300394,天孚通信,269.0,4.25,4.68,7569000000.0,6231000000.0,1338000000.0,13800000000.0,3.14,9.7,138.0,13.38,75.69,62.31,"沪深300,创业板,深证100"
2241,002384,东山精密,193.74,-1.18,4.04,5261000000.0,5501000000.0,-240000000.0,10906000000.0,2.48,-2.2,109.06,-2.4,52.61,55.01,"沪深300,深证100"
4672,600869,远东股份,24.1,-3.33,18.15,4758000000.0,5409000000.0,-651000000.0,10166000000.0,2.31,-6.4,101.66,-6.51,47.58,54.09,中证1000
754,300750,宁德时代,338.06,0.36,0.68,5161000000.0,4668000000.0,493000000.0,9829000000.0,2.24,5.02,98.29,4.93,51.61,46.68,"沪深300,创业板,深证100"
4908,600487,亨通光电,63.91,-4.07,5.97,3627000000.0000005,5820000000.0,-2193000000.0,9447000000.0,2.15,-23.21,94.47,-21.93,36.27,58.2,
654,688825,长鑫科技,57.2,0.58,3.6,4658000000.0,4691000000.0,-32544000.0,9349000000.0,2.13,-0.35,93.49,-0.33,46.58,46.91,
1905,300502,新易盛,410.9,-0.94,1.75,4333000000.0,4708000000.0,-376000000.0,9041000000.0,2.06,-4.16,90.41,-3.76,43.33,47.08,"沪深300,创业板,深证100"
4314,000988,华工科技,105.8,-2.75,8.23,4367000000.0,4450000000.0,-83028000.0,8892000000.0,2.02,-0.93,88.92,-0.83,43.67,44.5,"沪深300,深证100"
1736,600183,生益科技,146.96,-0.81,2.42,4279000000.0,4346000000.0,-67088000.0,8625000000.0,1.96,-0.78,86.25,-0.67,42.79,43.46,"沪深300,上证50"
316,600176,中国巨石,43.46,1.85,4.97,4525000000.0,4039000000.0,486000000.00000006,8564000000.0,1.95,5.67,85.64,4.86,45.25,40.39,沪深300
1204,603986,兆易创新,380.64,-0.32,3.21,4120000000.0000005,4122000000.0,-2223000.0,8243000000.000001,1.88,-0.03,82.43,-0.02,41.2,41.22,"沪深300,上证50"
55,603083,剑桥科技,234.43,7.05,11.77,3709000000.0000005,3678000000.0,30561000.0,7387000000.0,1.68,0.41,73.87,0.31,37.09,36.78,
175,600150,中国船舶,40.82,3.26,2.33,3834000000.0000005,3311000000.0,523000000.00000006,7145000000.0,1.63,7.32,71.45,5.23,38.34,33.11,"沪深300,上证50"
57,301526,国际复材,29.42,6.79,15.01,3410000000.0,2687000000.0,722000000.0,6097000000.0,1.39,11.84,60.97,7.22,34.1,26.87,"中证500,创业板"
2061,688256,寒武纪,1043.84,-1.05,0.9,2772000000.0,3166000000.0,-394000000.0,5939000000.0,1.35,-6.63,59.39,-3.94,27.72,31.66,"沪深300,科创50,上证50"
612,002436,兴森科技,39.71,0.66,9.58,2887000000.0,2839000000.0,48558000.0,5726000000.0,1.3,0.85,57.26,0.49,28.87,28.39,
208,603186,华正新材,217.99,2.8,16.06,2889000000.0,2524000000.0,364000000.0,5413000000.0,1.23,6.72,54.13,3.64,28.89,25.24,
279,001309,德明利,418.22,2.09,7.46,2800000000.0,2325000000.0,475000000.0,5180000000.0,1.18,9.17,51.8,4.75,28.0,23.25,中证500
2616,601869,长飞光纤,435.74,-1.42,2.79,2536000000.0,2432000000.0,104000000.0,4968000000.0,1.13,2.09,49.68,1.04,25.36,24.32,中证500
28,002636,金安国纪,76.45,10.0,8.96,2072000000.0,2719000000.0,-647000000.0,4791000000.0,1.09,-13.5,47.91,-6.47,20.72,27.19,
241,000636,风华高科,50.9,2.41,7.92,2486000000.0,2010000000.0000002,475000000.0,4575000000.0,1.04,10.38,45.75,4.75,24.86,20.1,中证1000
795,002463,沪电股份,127.92,0.29,1.84,2267000000.0,2245000000.0,21498000.0,4554000000.0,1.04,0.47,45.54,0.21,22.67,22.45,"沪深300,深证100"
4880,600276,恒瑞医药,42.93,-3.98,1.63,1861000000.0,2628000000.0,-767000000.0,4489000000.0,1.02,-17.09,44.89,-7.67,18.61,26.28,"沪深300,上证50"
3424,601872,招商轮船,20.58,-1.95,2.66,2315000000.0,2042000000.0000002,273000000.0,4356000000.0,0.99,6.27,43.56,2.73,23.15,20.42,沪深300
3999,600522,中天科技,33.3,-2.4,3.75,1873000000.0,2408000000.0,-534999999.99999994,4279999999.9999995,0.97,-12.5,42.8,-5.35,18.73,24.08,沪深300
3295,002281,光迅科技,179.39,-1.86,2.99,1902000000.0,2291000000.0,-389000000.0,4252000000.0000005,0.97,-9.15,42.52,-3.89,19.02,22.91,中证500
4133,002475,立讯精密,54.45,-2.52,1.06,1817000000.0000002,2417000000.0,-600000000.0,4234000000.0000005,0.96,-14.17,42.34,-6.0,18.17,24.17,"沪深300,深证100"
341,300857,协创数据,263.52,1.7,3.29,2198000000.0,2005999999.9999998,192000000.0,4204999999.9999995,0.96,4.57,42.05,1.92,21.98,20.06,"中证500,创业板"
121,000021,深科技,36.5,4.32,7.24,2161000000.0,1963000000.0,199000000.0,4175000000.0,0.95,4.77,41.75,1.99,21.61,19.63,中证500
