序号,代码,名称,最新价,涨跌幅,换手率,流入资金,流出资金,净流入,成交额,占总成交比,净流入占比,成交额亿,净流入亿,流入亿,流出亿,指数标签
111,000725,京东方A,5.16,10.02,16.54,17565000000.0,11598000000.0,5966000000.0,29163000000.0,3.38,20.46,291.63,59.66,175.65,115.98,"沪深300,深证100"
43,300476,胜宏科技,375.5,13.31,9.27,17984000000.0,11012000000.0,6972000000.0,28996000000.0,3.36,24.04,289.96,69.72,179.84,110.12,"沪深300,创业板,深证100"
234,603986,兆易创新,468.74,8.53,9.55,15165000000.0,13766999999.999998,1399000000.0,28932000000.0,3.36,4.84,289.32,13.99,151.65,137.67,沪深300
305,300502,新易盛,606.77,7.2,4.56,13840000000.0,10016000000.0,3824000000.0,23857000000.0,2.77,16.03,238.57,38.24,138.4,100.16,"沪深300,创业板,深证100"
688,300308,中际旭创,1037.98,4.49,1.89,11759000000.0,9750000000.0,2009000000.0,21509000000.0,2.5,9.34,215.09,20.09,117.59,97.5,"沪深300,创业板,深证100"
962,688008,澜起科技,271.83,3.68,6.85,10326000000.0,10885000000.0,-559000000.0,21211000000.0,2.46,-2.64,212.11,-5.59,103.26,108.85,"沪深300,科创50,上证50"
78,300394,天孚通信,372.5,10.47,7.37,12398000000.0,8294000000.0,4104000000.0,20691000000.0,2.4,19.83,206.91,41.04,123.98,82.94,"沪深300,创业板,深证100"
211,600584,长电科技,72.88,9.04,16.04,10226000000.0,9595000000.0,632000000.0,19821000000.0,2.3,3.19,198.21,6.32,102.26,95.95,
358,002384,东山精密,220.55,6.56,6.08,10777000000.0,7597000000.0,3180000000.0,18374000000.0,2.13,17.31,183.74,31.8,107.77,75.97,"沪深300,深证100"
1135,688981,中芯国际,131.33,3.23,6.0,8258000000.0,7259000000.0,999000000.0,15516999999.999998,1.8,6.44,155.17,9.99,82.58,72.59,"沪深300,科创50,上证50"
4240,300274,阳光电源,164.51,-0.53,5.6,7441000000.0,7395999999.999999,44730000.0,14837000000.0,1.72,0.3,148.37,0.45,74.41,73.96,"沪深300,创业板,深证100"
4330,002281,光迅科技,215.87,-0.66,8.73,6991000000.0,7601000000.000001,-610000000.0,14591999999.999998,1.69,-4.18,145.92,-6.1,69.91,76.01,中证500
4113,688256,寒武纪,1286.0,-0.38,1.79,6626000000.000001,7847000000.0,-1222000000.0,14472999999.999998,1.68,-8.44,144.73,-12.22,66.26,78.47,"沪深300,科创50,上证50"
2360,000988,华工科技,156.31,1.53,9.04,6913000000.0,7256000000.0,-342000000.0,14169000000.0,1.64,-2.41,141.69,-3.42,69.13,72.56,
4665,688012,中微公司,469.6,-1.3,4.72,6494000000.0,7306999999.999999,-814000000.0,13801000000.0,1.6,-5.9,138.01,-8.14,64.94,73.07,"沪深300,科创50,上证50"
351,002475,立讯精密,72.4,6.67,2.57,6803000000.0,5829000000.0,974000000.0,13302000000.000002,1.54,7.32,133.02,9.74,68.03,58.29,"沪深300,深证100"
2928,002371,北方华创,669.0,0.91,2.74,6339000000.0,6645000000.0,-306000000.0,12983000000.000002,1.51,-2.36,129.83,-3.06,63.39,66.45,"沪深300,深证100"
1580,601138,工业富联,67.16,2.53,0.98,7627000000.0,5337000000.0,2289000000.0,12963999999.999998,1.5,17.66,129.64,22.89,76.27,53.37,沪深300
228,300136,信维通信,118.98,8.66,13.87,7101000000.000001,5664000000.0,1437000000.0,12765000000.0,1.48,11.26,127.65,14.37,71.01,56.64,"中证500,创业板"
1462,002156,通富微电,63.44,2.72,13.23,6123000000.0,6405000000.0,-281000000.0,12528000000.0,1.45,-2.24,125.28,-2.81,61.23,64.05,中证500
1727,002050,三花智控,54.05,2.31,6.31,6224000000.0,6145000000.0,78620000.0,12369000000.0,1.44,0.64,123.69,0.79,62.24,61.45,深证100
3903,300750,宁德时代,411.16,-0.11,0.65,5452000000.0,6021000000.0,-569000000.0,11473000000.0,1.33,-4.96,114.73,-5.69,54.52,60.21,"沪深300,创业板,深证100"
2163,688041,海光信息,312.4,1.76,1.59,5662000000.0,5767000000.0,-104000000.0,11429000000.0,1.33,-0.91,114.29,-1.04,56.62,57.67,"沪深300,科创50,上证50"
154,002463,沪电股份,114.07,10.0,5.29,6706999999.999999,4693000000.0,2014000000.0,11400000000.0,1.32,17.67,114.0,20.14,67.07,46.93,"沪深300,深证100"
652,002407,多氟多,42.7,4.63,22.16,5207000000.0,4865000000.0,343000000.0,10072000000.0,1.17,3.41,100.72,3.43,52.07,48.65,
666,600522,中天科技,43.82,4.58,6.64,5388000000.0,4432000000.0,956000000.0,9820000000.0,1.14,9.74,98.2,9.56,53.88,44.32,沪深300
681,600487,亨通光电,73.05,4.51,5.4,5264000000.0,4154000000.0,1110000000.0,9419000000.0,1.09,11.78,94.19,11.1,52.64,41.54,中证500
921,688525,佰维存储,312.25,3.74,6.4,4862000000.0,4444000000.0,418000000.0,9306000000.0,1.08,4.49,93.06,4.18,48.62,44.44,"中证500,科创50"
22,300408,三环集团,115.0,16.79,4.41,4407000000.0,4854000000.0,-447000000.0,9261000000.0,1.07,-4.83,92.61,-4.47,44.07,48.54,"创业板,深证100"
1452,001309,德明利,674.0,2.73,8.2,4630000000.0,4215000000.0,414000000.0,8845000000.0,1.03,4.68,88.45,4.14,46.3,42.15,
1999,301308,江波龙,549.5,1.95,5.54,4318000000.0,4266000000.0,51663000.0,8584000000.0,1.0,0.6,85.84,0.52,43.18,42.66,"中证500,创业板"
4961,300059,东方财富,19.5,-2.4,3.22,3357000000.0,5048000000.0,-1691000000.0,8405000000.0,0.98,-20.12,84.05,-16.91,33.57,50.48,"沪深300,创业板,深证100"
3592,000100,TCL科技,4.38,0.23,10.24,4227000000.000001,4102000000.000001,125000000.0,8330000000.0,0.97,1.5,83.3,1.25,42.27,41.02,"沪深300,深证100"
1540,002008,大族激光,146.28,2.59,5.95,4063000000.000001,4183000000.0,-120000000.0,8245000000.0,0.96,-1.46,82.45,-1.2,40.63,41.83,中证500
523,300433,蓝思科技,38.4,5.18,4.47,4222000000.0,4014000000.0,208000000.0,8236000000.0,0.96,2.53,82.36,2.08,42.22,40.14,"创业板,深证100"
1140,601899,紫金矿业,30.96,3.23,1.3,4412000000.0,3796000000.0,616000000.0,8208000000.0,0.95,7.5,82.08,6.16,44.12,37.96,"沪深300,上证50"
3308,300604,长川科技,236.02,0.53,7.12,3920000000.000001,4267000000.0,-348000000.0,8187000000.0,0.95,-4.25,81.87,-3.48,39.2,42.67,"中证500,创业板"
2149,688072,拓荆科技,616.98,1.78,4.37,3681000000.0,3699000000.0,-18906600.0,7380000000.0,0.86,-0.26,73.8,-0.19,36.81,36.99,科创50
391,688820,盛合晶微,187.95,6.31,23.47,3897000000.0,3368000000.0,529000000.0,7264000000.0,0.84,7.28,72.64,5.29,38.97,33.68,
208,300395,菲利华,140.15,9.15,10.19,4124000000.0,3014000000.0,1110000000.0,7139000000.0,0.83,15.55,71.39,11.1,41.24,30.14,"中证500,创业板"
841,002428,云南锗业,87.1,3.94,12.64,3823000000.0,3315999999.9999995,507000000.0,7138000000.0,0.83,7.1,71.38,5.07,38.23,33.16,中证1000
149,600183,生益科技,108.01,10.0,2.79,3782000000.0,3324000000.0,458000000.0,7106000000.0,0.82,6.45,71.06,4.58,37.82,33.24,沪深300
919,000021,深科技,37.73,3.74,12.15,3531000000.0,3542000000.0,-11333000.0,7072000000.0,0.82,-0.16,70.72,-0.11,35.31,35.42,中证500
422,688347,华虹公司,179.0,5.92,9.78,3825000000.0,3107000000.0,719000000.0,6931999999.999999,0.8,10.37,69.32,7.19,38.25,31.07,中证500
216,301666,大普微,888.99,8.94,31.93,3297000000.0,3470000000.0000005,-173000000.0,6766000000.0,0.78,-2.56,67.66,-1.73,32.97,34.7,
799,688313,仕佳光子,174.72,4.07,8.65,3540000000.0,3163000000.0,377000000.0,6704000000.000001,0.78,5.62,67.04,3.77,35.4,31.63,
379,002436,兴森科技,35.42,6.4,12.45,3401000000.0,3259000000.0000005,143000000.0,6659999999.999999,0.77,2.15,66.6,1.43,34.01,32.59,
463,300475,香农芯创,187.69,5.59,7.99,3699000000.0,2916000000.0,783000000.0,6615000000.000001,0.77,11.84,66.15,7.83,36.99,29.16,
262,600176,中国巨石,38.35,7.97,4.29,3743000000.0,2702000000.0,1042000000.0,6445000000.0,0.75,16.17,64.45,10.42,37.43,27.02,沪深300
3216,002709,天赐材料,58.08,0.64,7.35,2963000000.0,3447000000.0,-485000000.0,6409999999.999999,0.74,-7.57,64.1,-4.85,29.63,34.47,沪深300
4778,600519,贵州茅台,1290.2,-1.59,0.39,2537000000.0,3835000000.0,-1298000000.0,6372000000.0,0.74,-20.37,63.72,-12.98,25.37,38.35,"沪深300,上证50"
34,300672,国科微,296.73,14.16,10.82,3349000000.0,2901000000.0,447000000.0,6250000000.0,0.73,7.15,62.5,4.47,33.49,29.01,中证1000
217,603629,利通电子,195.65,8.93,12.77,3439000000.0,2717000000.0,722000000.0,6156000000.0,0.71,11.73,61.56,7.22,34.39,27.17,
1538,300657,弘信电子,50.25,2.59,26.41,2953000000.0,3132000000.0,-179000000.0,6084000000.0,0.71,-2.94,60.84,-1.79,29.53,31.32,中证1000
3355,688126,沪硅产业,27.81,0.47,7.86,2856000000.0,3038000000.0,-182000000.0,5894000000.0,0.68,-3.09,58.94,-1.82,28.56,30.38,"沪深300,科创50"
1201,000066,中国长城,20.93,3.1,8.77,2982000000.0,2879000000.0,103000000.0,5860000000.0,0.68,1.76,58.6,1.03,29.82,28.79,
238,603005,晶方科技,39.14,8.48,23.89,3145000000.0,2696000000.0,450000000.0,5841000000.0,0.68,7.7,58.41,4.5,31.45,26.96,
483,300857,协创数据,272.0,5.43,4.47,3177000000.0,2552000000.0,624000000.0,5729000000.0,0.66,10.89,57.29,6.24,31.77,25.52,"中证500,创业板"
5040,300058,蓝色光标,17.11,-2.95,9.62,2471000000.0,3236999999.9999995,-766000000.0,5707000000.0,0.66,-13.42,57.07,-7.66,24.71,32.37,"中证500,创业板"
5113,300033,同花顺,226.87,-3.95,5.66,2341000000.0,3322999999.9999995,-982000000.0,5664000000.0,0.66,-17.34,56.64,-9.82,23.41,33.23,"沪深300,创业板,深证100"
28,301526,国际复材,20.49,15.05,20.33,3263000000.0000005,2350000000.0,914000000.0,5613000000.0,0.65,16.28,56.13,9.14,32.63,23.5,
151,002916,深南电路,378.27,10.0,2.25,2843000000.0,2742000000.0,101000000.0,5585000000.0,0.65,1.81,55.85,1.01,28.43,27.42,"沪深300,深证100"
158,000657,中钨高新,62.38,10.0,6.32,3211999999.9999995,2333000000.0,878999999.9999999,5545000000.0,0.64,15.85,55.45,8.79,32.12,23.33,中证500
4942,601991,大唐发电,6.89,-2.27,6.41,2614000000.0,2883000000.0,-269000000.0,5497000000.0,0.64,-4.89,54.97,-2.69,26.14,28.83,
23,300285,国瓷材料,48.4,16.54,13.66,3038000000.0,2401000000.0,637000000.0,5439000000.0,0.63,11.71,54.39,6.37,30.38,24.01,"中证500,创业板"
1407,002149,西部材料,72.12,2.81,15.52,2699000000.0,2593000000.0,106000000.0,5292000000.0,0.61,2.0,52.92,1.06,26.99,25.93,中证1000
497,688048,长光华芯,376.1,5.36,8.03,2865000000.0,2386000000.0,479000000.0,5251000000.0,0.61,9.12,52.51,4.79,28.65,23.86,中证1000
2243,603019,中科曙光,94.8,1.66,3.8,2850000000.0,2390000000.0,460000000.0,5240000000.0,0.61,8.78,52.4,4.6,28.5,23.9,"沪深300,上证50"
2312,002185,华天科技,15.43,1.58,10.48,2641000000.0,2532000000.0,109000000.0,5173000000.0,0.6,2.11,51.73,1.09,26.41,25.32,中证500
2107,600246,万通发展,15.69,1.82,17.27,2859000000.0,2237000000.0,621000000.0,5096000000.0,0.59,12.19,50.96,6.21,28.59,22.37,中证1000
3942,300323,华灿光电,18.7,-0.16,23.28,2567000000.0,2499000000.0,67827000.0,5066000000.0,0.59,1.34,50.66,0.68,25.67,24.99,中证1000
3029,688521,芯原股份,275.75,0.81,3.47,2468000000.0,2547000000.0,-79056700.0,5014000000.0,0.58,-1.58,50.14,-0.79,24.68,25.47,科创50
803,603667,五洲新春,88.17,4.05,15.78,2527000000.0,2472000000.0,54880000.0,4998000000.0,0.58,1.1,49.98,0.55,25.27,24.72,
542,002600,领益智造,16.31,5.09,4.31,2678000000.0,2298000000.0,380000000.0,4976000000.0,0.58,7.64,49.76,3.8,26.78,22.98,"沪深300,深证100"
1440,688498,源杰科技,1066.4,2.73,3.7,2386000000.0,2452000000.0,-66620300.0,4838000000.0,0.56,-1.38,48.38,-0.67,23.86,24.52,中证1000
580,002222,福晶科技,105.56,4.95,9.75,2717000000.0,2012000000.0,705000000.0,4729000000.0,0.55,14.91,47.29,7.05,27.17,20.12,中证1000
2021,300442,润泽科技,93.35,1.93,3.09,2284000000.0,2372000000.0,-88114000.0,4656000000.0,0.54,-1.89,46.56,-0.88,22.84,23.72,"沪深300,创业板,深证100"
1899,000938,紫光股份,29.86,2.09,5.37,2298000000.0,2241000000.0,57482000.0,4539000000.0,0.53,1.27,45.39,0.57,22.98,22.41,"沪深300,深证100"
406,603083,剑桥科技,190.0,6.03,8.81,2584000000.0,1947000000.0,638000000.0,4531000000.0,0.53,14.08,45.31,6.38,25.84,19.47,中证1000
1892,688017,绿的谐波,342.0,2.09,7.22,2223000000.0,2212000000.0,10966400.000000002,4435000000.0,0.51,0.25,44.35,0.11,22.23,22.12,中证500
3343,600578,京能电力,8.22,0.49,7.88,2196000000.0,2213000000.0,-17788000.0,4409000000.0,0.51,-0.4,44.09,-0.18,21.96,22.13,中证500
376,603601,再升科技,19.29,6.4,20.82,2390000000.0,2012000000.0,378000000.0,4402000000.0,0.51,8.59,44.02,3.78,23.9,20.12,
427,300223,北京君正,138.4,5.88,7.71,2355000000.0,2038000000.0,317000000.0,4393000000.0,0.51,7.22,43.93,3.17,23.55,20.38,"中证500,创业板"
3352,300390,天华新能,89.14,0.48,7.42,2198000000.0,2157000000.0,40421000.0,4355000000.0,0.51,0.93,43.55,0.4,21.98,21.57,中证500
393,600895,张江高科,39.65,6.27,7.12,2312000000.0,2040000000.0,272000000.0,4351000000.0,0.5,6.25,43.51,2.72,23.12,20.4,
204,688183,生益电子,108.49,9.31,4.9,2560000000.0,1779000000.0,781000000.0,4339000000.0,0.5,18.0,43.39,7.81,25.6,17.79,"中证500,科创50"
185,600601,方正科技,12.79,9.97,8.21,2377000000.0,1906000000.0,471000000.0,4282000000.0,0.5,11.0,42.82,4.71,23.77,19.06,中证500
145,601208,东材科技,52.45,10.0,8.34,2289000000.0,1990000000.0,299000000.0,4279000000.0,0.5,6.99,42.79,2.99,22.89,19.9,中证1000
125,002273,水晶光电,40.34,10.01,8.06,2304000000.0,1974000000.0,330000000.0,4278000000.0,0.5,7.71,42.78,3.3,23.04,19.74,中证500
282,002297,博云新材,26.58,7.57,29.18,2341000000.0,1930000000.0,410000000.0,4271000000.0,0.5,9.6,42.71,4.1,23.41,19.3,
79,301511,德福科技,108.5,10.43,10.66,2303000000.0,1952000000.0,352000000.0,4255000000.0,0.49,8.27,42.55,3.52,23.03,19.52,
226,300570,太辰光,161.42,8.69,14.11,2560000000.0,1687000000.0,873000000.0,4246000000.0,0.49,20.56,42.46,8.73,25.6,16.87,中证500
1817,600105,永鼎股份,47.31,2.2,6.12,2171000000.0,2052000000.0,119000000.0,4223000000.0,0.49,2.82,42.23,1.19,21.71,20.52,中证1000
1718,000063,中兴通讯,35.64,2.33,2.97,2266000000.0,1952000000.0,314000000.0,4218000000.0,0.49,7.44,42.18,3.14,22.66,19.52,"沪深300,深证100"
3117,600111,北方稀土,51.09,0.73,2.29,1933000000.0,2282000000.0,-349000000.0,4215000000.0,0.49,-8.28,42.15,-3.49,19.33,22.82,"沪深300,上证50"
