序号,代码,名称,最新价,涨跌幅,换手率,流入资金,流出资金,净流入,成交额,占总成交比,净流入占比,成交额亿,净流入亿,流入亿,流出亿,指数标签
399,300308,中际旭创,886.96,2.59,3.06,15546000000.0,14413000000.0,1134000000.0,29958999999.999996,4.21,3.79,299.59,11.34,155.46,144.13,"沪深300,创业板,深证100"
248,300502,新易盛,415.3,3.93,3.86,10603000000.0,9375000000.0,1228000000.0,19977000000.0,2.81,6.15,199.77,12.28,106.03,93.75,"沪深300,创业板,深证100"
1857,603986,兆易创新,402.29,-0.18,6.53,8782000000.0,8940000000.0,-158000000.0,17721000000.0,2.49,-0.89,177.21,-1.58,87.82,89.4,"沪深300,上证50"
225,002384,东山精密,193.87,4.26,6.58,9870000000.0,7539000000.0,2330000000.0,17589000000.0,2.47,13.25,175.89,23.3,98.7,75.39,"沪深300,深证100"
108,000636,风华高科,65.85,6.73,22.49,8130000000.0,8974000000.0,-844999999.9999999,17104000000.0,2.4,-4.94,171.04,-8.45,81.3,89.74,中证1000
5035,300285,国瓷材料,72.88,-4.24,23.39,7570000000.0,7950000000.0,-380000000.0,15519000000.0,2.18,-2.45,155.19,-3.8,75.7,79.5,"中证500,创业板"
5164,601899,紫金矿业,33.18,-6.4,2.17,6363000000.0,8936000000.0,-2572000000.0,15299000000.0,2.15,-16.81,152.99,-25.72,63.63,89.36,"沪深300,上证50"
2711,603259,药明康德,160.21,-0.7,3.72,7731999999.999999,7206999999.999999,525000000.0,14938999999.999998,2.1,3.51,149.39,5.25,77.32,72.07,"沪深300,上证50"
4831,688256,寒武纪,1090.64,-2.97,2.13,6967000000.0,7784000000.0,-818000000.0,14751000000.0,2.07,-5.55,147.51,-8.18,69.67,77.84,"沪深300,科创50,上证50"
4205,688825,长鑫科技,50.4,-1.75,6.31,6925000000.0,7473999999.999999,-549000000.0,14399000000.0,2.02,-3.81,143.99,-5.49,69.25,74.74,
745,301308,江波龙,417.5,1.21,10.22,5835000000.0,6491000000.0,-656000000.0,12326000000.0,1.73,-5.32,123.26,-6.56,58.35,64.91,"沪深300,创业板,深证100"
415,300408,三环集团,130.05,2.48,4.83,5948000000.0,5963000000.0,-15513000.0,11911000000.0,1.67,-0.13,119.11,-0.16,59.48,59.63,"沪深300,创业板,深证100"
5014,300476,胜宏科技,274.53,-4.01,4.93,5754000000.0,6065000000.0,-311000000.0,11819000000.0,1.66,-2.63,118.19,-3.11,57.54,60.65,"沪深300,创业板,深证100"
5174,688012,中微公司,363.1,-6.9,3.23,5510000000.0,5902000000.0,-392000000.0,11412000000.0,1.6,-3.43,114.12,-3.92,55.1,59.02,"沪深300,科创50,上证50"
4921,600487,亨通光电,57.62,-3.35,7.81,4928000000.0,6125000000.0,-1197000000.0,11052000000.0,1.55,-10.83,110.52,-11.97,49.28,61.25,
3793,600176,中国巨石,42.69,-1.36,6.31,5052000000.0,5703000000.0,-651000000.0,10755000000.0,1.51,-6.05,107.55,-6.51,50.52,57.03,沪深300
3366,600584,长电科技,77.67,-1.08,7.31,4752000000.0,5532000000.0,-781000000.0,10284000000.0,1.45,-7.59,102.84,-7.81,47.52,55.32,沪深300
144,300274,阳光电源,120.07,5.59,5.34,5855000000.0,4240000000.0,1614999999.9999998,10095000000.0,1.42,16.0,100.95,16.15,58.55,42.4,"创业板,深证100"
315,002281,光迅科技,184.07,3.24,6.91,5273000000.0,4439000000.0,835000000.0,9799000000.0,1.38,8.52,97.99,8.35,52.73,44.39,中证500
4542,002428,云南锗业,100.28,-2.24,14.4,4807000000.0,4457000000.0,350000000.0,9427000000.0,1.32,3.71,94.27,3.5,48.07,44.57,中证1000
307,301526,国际复材,39.39,3.33,16.62,4443000000.0,4625000000.0,-182000000.0,9069000000.0,1.27,-2.01,90.69,-1.82,44.43,46.25,"中证500,创业板"
5067,601138,工业富联,66.01,-4.58,0.69,3897999999.9999995,5153000000.0,-1255000000.0,9051000000.0,1.27,-13.87,90.51,-12.55,38.98,51.53,沪深300
5162,000657,中钨高新,68.16,-6.37,8.67,3918000000.0,4784000000.0,-866000000.0,8703000000.0,1.22,-9.95,87.03,-8.66,39.18,47.84,"沪深300,深证100"
2610,000938,紫光股份,37.39,-0.64,7.87,4158000000.0,4238000000.0000005,-79556000.0,8472000000.0,1.19,-0.94,84.72,-0.8,41.58,42.38,"沪深300,深证100"
4593,600183,生益科技,135.3,-2.36,2.44,3846000000.0,4201000000.0,-355000000.0,8047000000.0,1.13,-4.41,80.47,-3.55,38.46,42.01,"沪深300,上证50"
5183,603993,洛阳钼业,19.13,-7.81,2.32,3188000000.0,4848000000.0,-1660000000.0000002,8037000000.0,1.13,-20.65,80.37,-16.6,31.88,48.48,"沪深300,上证50"
1278,000725,京东方A,5.91,0.34,3.81,4204999999.9999995,3788000000.0000005,417000000.0,7993000000.000001,1.12,5.22,79.93,4.17,42.05,37.88,"沪深300,深证100"
1557,688525,佰维存储,242.06,0.02,6.73,3851000000.0,3944000000.0,-92152000.0,7795000000.0,1.1,-1.18,77.95,-0.92,38.51,39.44,科创50
4889,002407,多氟多,37.28,-3.19,19.07,3519000000.0,4131000000.0,-612000000.0,7737000000.0,1.09,-7.91,77.37,-6.12,35.19,41.31,中证500
757,600206,有研新材,52.65,1.19,17.1,3679000000.0,3918000000.0,-240000000.0,7597000000.0,1.07,-3.16,75.97,-2.4,36.79,39.18,
1766,688008,澜起科技,206.7,-0.11,3.16,3859000000.0000005,3696000000.0,163000000.0,7554000000.000001,1.06,2.16,75.54,1.63,38.59,36.96,"沪深300,科创50,上证50"
1580,301217,铜冠铜箔,120.99,0.0,7.43,3706000000.0,3786999999.9999995,-81129000.0,7492000000.0,1.05,-1.08,74.92,-0.81,37.06,37.87,"中证1000,创业板"
1549,001309,德明利,400.99,0.05,10.94,3572999999.9999995,3675000000.0,-102000000.0,7312000000.0,1.03,-1.39,73.12,-1.02,35.73,36.75,中证500
1943,300394,天孚通信,222.49,-0.24,2.93,3657000000.0,3460000000.0,197000000.0,7117000000.0,1.0,2.77,71.17,1.97,36.57,34.6,"沪深300,创业板,深证100"
5061,688498,源杰科技,1351.0,-4.53,4.26,3440000000.0,3642000000.0,-202000000.0,7081000000.0,1.0,-2.85,70.81,-2.02,34.4,36.42,"中证500,科创50"
1,301717,超纯应材,503.0,662.24,85.73,3889000000.0,3151000000.0,738000000.0,7040000000.000001,0.99,10.48,70.4,7.38,38.89,31.51,
659,600276,恒瑞医药,54.97,1.46,1.89,3453000000.0,3204000000.0,249000000.00000003,6656999999.999999,0.94,3.74,66.57,2.49,34.53,32.04,"沪深300,上证50"
30,600667,太极实业,21.2,10.02,15.29,3092000000.0,3374000000.0,-282000000.0,6467000000.0,0.91,-4.36,64.67,-2.82,30.92,33.74,中证1000
4836,300058,蓝色光标,15.6,-2.99,11.78,2861000000.0,3597999999.9999995,-737000000.0,6458000000.0,0.91,-11.41,64.58,-7.37,28.61,35.98,"中证500,创业板"
3002,300750,宁德时代,390.4,-0.88,0.38,3311000000.0,3086000000.0,225000000.0,6397000000.0,0.9,3.52,63.97,2.25,33.11,30.86,"沪深300,创业板,深证100"
5046,688146,中船特气,311.11,-4.36,13.64,3161000000.0,3220000000.0000005,-59654300.0,6381000000.0,0.9,-0.93,63.81,-0.6,31.61,32.2,中证1000
4216,600522,中天科技,32.34,-1.76,5.61,3079000000.0,3142000000.0,-63586000.0,6221000000.0,0.87,-1.02,62.21,-0.64,30.79,31.42,沪深300
5177,603228,景旺电子,89.28,-7.0,6.89,2816000000.0,3269000000.0,-453000000.0,6085000000.0,0.86,-7.44,60.85,-4.53,28.16,32.69,
5196,300209,行云科技,34.92,-9.04,22.07,2403000000.0,3579000000.0,-1176000000.0,5982000000.0,0.84,-19.66,59.82,-11.76,24.03,35.79,
758,300759,康龙化成,47.59,1.19,8.3,3026000000.0,2645000000.0,381000000.0,5671000000.0,0.8,6.72,56.71,3.81,30.26,26.45,"中证500,创业板"
388,688766,普冉股份,384.5,2.67,10.08,2876000000.0,2791000000.0,84872400.0,5668000000.0,0.8,1.5,56.68,0.85,28.76,27.91,中证1000
62,600664,哈药股份,8.27,9.97,26.95,2647000000.0,2848000000.0,-202000000.0,5495000000.0,0.77,-3.68,54.95,-2.02,26.47,28.48,中证1000
