序号,代码,名称,最新价,涨跌幅,换手率,流入资金,流出资金,净流入,成交额,占总成交比,净流入占比,成交额亿,净流入亿,流入亿,流出亿,指数标签
3623,300308,中际旭创,869.4,-0.09,0.79,3560000000.0,3681000000.0,-120000000.0,7534000000.0,3.5,-1.59,75.34,-1.2,35.6,36.81,"沪深300,创业板,深证100"
2099,603986,兆易创新,385.72,1.06,2.47,3246000000.0,2918000000.0,327000000.0,6299000000.0,2.93,5.19,62.99,3.27,32.46,29.18,"沪深300,上证50"
2107,603986,兆易创新,385.72,1.06,2.47,3246000000.0,2918000000.0,327000000.0,6299000000.0,2.93,5.19,62.99,3.27,32.46,29.18,"沪深300,上证50"
3484,688825,长鑫科技,56.6,0.0,2.25,2969000000.0,2612000000.0,357000000.0,5682000000.0,2.64,6.28,56.82,3.57,29.69,26.12,
213,688256,寒武纪,1007.43,3.96,0.88,3116000000.0,2296000000.0,819999999.9999999,5520000000.0,2.57,14.86,55.2,8.2,31.16,22.96,"沪深300,科创50,上证50"
3798,300502,新易盛,410.65,-0.33,1.06,2783000000.0,2510000000.0,273000000.0,5357000000.0,2.49,5.1,53.57,2.73,27.83,25.1,"沪深300,创业板,深证100"
3806,300502,新易盛,410.65,-0.33,1.06,2783000000.0,2510000000.0,273000000.0,5357000000.0,2.49,5.1,53.57,2.73,27.83,25.1,"沪深300,创业板,深证100"
1219,603259,药明康德,158.52,1.72,1.07,2063000000.0,1905999999.9999998,157000000.0,4167000000.0,1.94,3.77,41.67,1.57,20.63,19.06,"沪深300,上证50"
4804,601899,紫金矿业,33.74,-2.32,0.55,1721000000.0,1969000000.0000002,-248000000.0,3820000000.0000005,1.78,-6.49,38.2,-2.48,17.21,19.69,"沪深300,上证50"
2061,300394,天孚通信,252.22,1.09,1.29,1814000000.0,1539000000.0,275000000.0,3468000000.0,1.61,7.93,34.68,2.75,18.14,15.39,"沪深300,创业板,深证100"
4300,600487,亨通光电,59.79,-1.06,2.29,1595000000.0,1564000000.0,30519000.0,3264000000.0,1.52,0.94,32.64,0.31,15.95,15.64,
4308,600487,亨通光电,59.79,-1.06,2.29,1595000000.0,1564000000.0,30519000.0,3264000000.0,1.52,0.94,32.64,0.31,15.95,15.64,
1101,600183,生益科技,128.57,1.8,1.02,1622000000.0,1432000000.0,190000000.0,3114000000.0,1.45,6.1,31.14,1.9,16.22,14.32,"沪深300,上证50"
4693,600460,士兰微,34.86,-1.97,5.38,1440000000.0,1491000000.0,-51590000.0,3028000000.0,1.41,-1.7,30.28,-0.52,14.4,14.91,沪深300
4187,000725,京东方A,5.7,-0.87,1.5,1324000000.0,1616000000.0,-293000000.0,2991000000.0,1.39,-9.8,29.91,-2.93,13.24,16.16,"沪深300,深证100"
3438,600584,长电科技,73.86,0.08,2.28,1552000000.0,1341000000.0,211000000.0,2965000000.0,1.38,7.12,29.65,2.11,15.52,13.41,沪深300
3774,601212,白银有色,6.68,-0.3,5.82,1457000000.0,1469000000.0,-11254000.0,2957000000.0,1.37,-0.38,29.57,-0.11,14.57,14.69,中证500
5113,002716,湖南白银,10.96,-4.36,11.23,1374000000.0,1550000000.0,-176000000.0,2953000000.0,1.37,-5.96,29.53,-1.76,13.74,15.5,
70,002837,英维克,59.14,8.02,4.16,1514000000.0,1117000000.0,397000000.0,2691000000.0,1.25,14.75,26.91,3.97,15.14,11.17,"沪深300,深证100"
4929,600176,中国巨石,38.72,-2.88,1.68,1089000000.0,1419000000.0,-330000000.0,2544000000.0,1.18,-12.97,25.44,-3.3,10.89,14.19,沪深300
5144,600547,山东黄金,34.74,-4.82,1.98,1152000000.0,1305000000.0,-154000000.0,2531000000.0,1.18,-6.08,25.31,-1.54,11.52,13.05,沪深300
