序号,代码,名称,最新价,涨跌幅,换手率,流入资金,流出资金,净流入,成交额,占总成交比,净流入占比,成交额亿,净流入亿,流入亿,流出亿,指数标签
237,300308,中际旭创,1191.81,5.47,2.61,18755000000.0,15412000000.0,3342000000.0,34167000000.0,3.88,9.78,341.67,33.42,187.55,154.12,"沪深300,创业板,深证100"
128,601138,工业富联,80.01,8.49,1.9,17594000000.0,11811000000.0,5783000000.0,29405000000.0,3.34,19.67,294.05,57.83,175.94,118.11,沪深300
105,300502,新易盛,747.0,9.88,4.36,15733000000.000002,12411000000.0,3322000000.0,28144000000.0,3.19,11.8,281.44,33.22,157.33,124.11,"沪深300,创业板,深证100"
800,603986,兆易创新,474.69,1.43,7.34,11578000000.0,11436000000.0,143000000.0,23014000000.0,2.61,0.62,230.14,1.43,115.78,114.36,沪深300
87,002384,东山精密,210.93,10.0,7.8,11979000000.0,10091000000.0,1889000000.0,22070000000.0,2.5,8.56,220.7,18.89,119.79,100.91,"沪深300,深证100"
190,300394,天孚通信,457.0,6.56,6.11,11144000000.0,9938000000.0,1205000000.0,21082000000.0,2.39,5.72,210.82,12.05,111.44,99.38,"沪深300,创业板,深证100"
1652,600584,长电科技,75.35,-0.4,14.15,9586000000.0,9435000000.0,150000000.0,19021000000.0,2.16,0.79,190.21,1.5,95.86,94.35,
119,600522,中天科技,42.89,8.89,11.89,10557000000.0,6512000000.0,4045000000.0000005,17069000000.0,1.94,23.7,170.69,40.45,105.57,65.12,沪深300
328,002475,立讯精密,74.0,4.65,3.2,9415000000.0,7334000000.0,2080999999.9999998,16747999999.999998,1.9,12.43,167.48,20.81,94.15,73.34,"沪深300,深证100"
465,300750,宁德时代,433.89,3.28,0.91,9171000000.0,7548000000.0,1623000000.0,16719000000.0,1.9,9.71,167.19,16.23,91.71,75.48,"沪深300,创业板,深证100"
669,000725,京东方A,5.47,2.05,8.33,8391000000.0,7755000000.0,636000000.0,16147000000.0,1.83,3.94,161.47,6.36,83.91,77.55,"沪深300,深证100"
280,688256,寒武纪,1300.0,5.01,1.98,8857000000.0,7231999999.999999,1625000000.0,16088999999.999998,1.82,10.1,160.89,16.25,88.57,72.32,"沪深300,科创50,上证50"
674,688008,澜起科技,237.0,2.02,5.81,8125000000.0,7498000000.0,628000000.0,15622999999.999998,1.77,4.02,156.23,6.28,81.25,74.98,"沪深300,科创50,上证50"
57,600487,亨通光电,83.12,10.01,7.83,7723000000.0,7758000000.0,-35569000.0,15481000000.0,1.76,-0.23,154.81,-0.36,77.23,77.58,中证500
249,002281,光迅科技,215.11,5.29,9.27,8739000000.0,6443000000.000001,2296000000.0,15182000000.0,1.72,15.12,151.82,22.96,87.39,64.43,中证500
377,600183,生益科技,141.07,4.01,4.52,7566000000.0,7177000000.0,389000000.0,14743000000.0,1.67,2.64,147.43,3.89,75.66,71.77,沪深300
680,300476,胜宏科技,349.08,1.97,4.86,7268000000.000001,7306000000.0,-37870000.0,14574000000.0,1.65,-0.26,145.74,-0.38,72.68,73.06,"沪深300,创业板,深证100"
1371,688981,中芯国际,132.48,0.03,4.62,6067000000.0,6189000000.0,-121000000.0,12256000000.0,1.39,-0.99,122.56,-1.21,60.67,61.89,"沪深300,科创50,上证50"
165,300408,三环集团,134.46,7.03,4.7,5842000000.0,5686000000.0,157000000.0,11528000000.0,1.31,1.36,115.28,1.57,58.42,56.86,"创业板,深证100"
348,000988,华工科技,149.25,4.32,7.71,6179000000.0,5223000000.0,956000000.0,11403000000.0,1.29,8.38,114.03,9.56,61.79,52.23,
121,000636,风华高科,59.91,8.83,16.42,4925000000.0,6196000000.0,-1271000000.0,11121000000.0,1.26,-11.43,111.21,-12.71,49.25,61.96,中证1000
1931,300274,阳光电源,172.7,-0.75,4.0,5622000000.0,5322000000.0,301000000.0,10944000000.0,1.24,2.75,109.44,3.01,56.22,53.22,"沪深300,创业板,深证100"
173,002463,沪电股份,131.0,6.93,4.4,5759000000.0,4990000000.0,769000000.0,10749000000.0,1.22,7.15,107.49,7.69,57.59,49.9,"沪深300,深证100"
1729,688525,佰维存储,303.4,-0.52,7.38,4981000000.0,5497000000.0,-516000000.0,10478000000.0,1.19,-4.92,104.78,-5.16,49.81,54.97,"中证500,科创50"
333,601899,紫金矿业,31.58,4.6,1.62,6031000000.0,4316000000.0,1714999999.9999998,10348000000.0,1.17,16.57,103.48,17.15,60.31,43.16,"沪深300,上证50"
381,002156,通富微电,63.84,3.99,10.74,5467000000.0,4726000000.0,741000000.0,10193000000.0,1.16,7.27,101.93,7.41,54.67,47.26,中证500
1752,002185,华天科技,18.33,-0.54,16.99,4910000000.0,5186000000.0,-277000000.0,10096000000.0,1.15,-2.74,100.96,-2.77,49.1,51.86,中证500
110,002436,兴森科技,42.22,9.32,15.88,5816000000.0,3920000000.0000005,1896000000.0,9736000000.0,1.1,19.47,97.36,18.96,58.16,39.2,
26,688498,源杰科技,1206.91,12.43,6.46,5105000000.0,4195000000.0000005,910000000.0,9300000000.0,1.05,9.78,93.0,9.1,51.05,41.95,中证1000
81,600105,永鼎股份,49.62,10.0,12.96,5053000000.0,4065000000.0,988000000.0000001,9118000000.0,1.03,10.84,91.18,9.88,50.53,40.65,中证1000
252,002428,云南锗业,86.37,5.25,16.5,4732000000.0,4222999999.9999995,509000000.0,8956000000.0,1.02,5.68,89.56,5.09,47.32,42.23,中证1000
106,601991,大唐发电,9.18,9.68,8.14,4679000000.0,4063000000.0000005,617000000.0,8742000000.0,0.99,7.06,87.42,6.17,46.79,40.63,
13,300620,光库科技,320.02,14.85,11.57,5269000000.0,3468000000.0,1801000000.0000002,8737000000.0,0.99,20.61,87.37,18.01,52.69,34.68,
19,300285,国瓷材料,58.45,13.5,16.96,4496000000.0,3770000000.0000005,726000000.0,8266000000.0,0.94,8.78,82.66,7.26,44.96,37.7,"中证500,创业板"
5168,603629,利通电子,195.41,-9.81,15.85,5140000000.0,3023000000.0,2118000000.0,8163000000.0,0.93,25.95,81.63,21.18,51.4,30.23,
520,301308,江波龙,519.5,2.91,5.61,4343000000.0,3784000000.0000005,559000000.0,8127000000.0,0.92,6.88,81.27,5.59,43.43,37.84,"中证500,创业板"
510,688041,海光信息,283.49,2.95,1.22,4036999999.9999995,3927000000.0000005,109000000.00000001,7964000000.0,0.9,1.37,79.64,1.09,40.37,39.27,"沪深300,科创50,上证50"
131,002938,鹏鼎控股,111.89,8.27,3.13,3875000000.0,3986000000.0,-111000000.00000001,7862000000.0,0.89,-1.41,78.62,-1.11,38.75,39.86,"沪深300,深证100"
79,601869,长飞光纤,408.74,10.0,4.86,4282000000.0,3556000000.0,726000000.0,7839000000.0,0.89,9.26,78.39,7.26,42.82,35.56,中证1000
4997,300058,蓝色光标,17.09,-4.84,12.92,3352000000.0000005,4299000000.0,-947000000.0000001,7651000000.000001,0.87,-12.38,76.51,-9.47,33.52,42.99,"中证500,创业板"
635,002371,北方华创,602.8,2.19,1.74,3990999999.9999995,3615999999.9999995,375000000.0,7608000000.0,0.86,4.93,76.08,3.75,39.91,36.16,"沪深300,深证100"
423,688012,中微公司,282.8,3.59,2.87,4045000000.0000005,3465999999.9999995,579000000.0,7511000000.0,0.85,7.71,75.11,5.79,40.45,34.66,"沪深300,科创50,上证50"
1154,300136,信维通信,91.97,0.48,9.79,3733000000.0,3651000000.0,82617000.0,7384000000.0,0.84,1.12,73.84,0.83,37.33,36.51,"中证500,创业板"
2568,300433,蓝思科技,41.23,-1.43,3.48,3463000000.0000005,3761999999.9999995,-299000000.0,7225000000.0,0.82,-4.14,72.25,-2.99,34.63,37.62,"创业板,深证100"
782,600176,中国巨石,38.9,1.51,4.44,3460000000.0,3411000000.0,49100000.0,6870999999.999999,0.78,0.71,68.71,0.49,34.6,34.11,沪深300
160,603993,洛阳钼业,19.74,7.17,2.02,3899000000.0,2891000000.0,1008000000.0,6790000000.000001,0.77,14.85,67.9,10.08,38.99,28.91,"沪深300,上证50"
4888,000338,潍柴动力,32.22,-4.39,4.3,3329999999.9999995,3378000000.0,-48064000.0,6706999999.999999,0.76,-0.72,67.07,-0.48,33.3,33.78,"沪深300,深证100"
