序号,代码,名称,最新价,涨跌幅,换手率,流入资金,流出资金,净流入,成交额,占总成交比,净流入占比,成交额亿,净流入亿,流入亿,流出亿,指数标签
107,601138,工业富联,70.84,10.0,2.05,17094000000.0,10912000000.0,6182000000.0,28051000000.0,3.14,22.04,280.51,61.82,170.94,109.12,沪深300
47,300394,天孚通信,378.68,10.58,9.12,14216000000.0,11266000000.0,2950000000.0,25776000000.0,2.89,11.44,257.76,29.5,142.16,112.66,"沪深300,创业板,深证100"
798,300308,中际旭创,1048.87,3.03,2.29,12836000000.000002,12683000000.0,153000000.0,25769000000.0,2.89,0.59,257.69,1.53,128.36,126.83,"沪深300,创业板,深证100"
292,300502,新易盛,628.33,6.04,4.68,13405000000.000002,11380000000.0,2025000000.0,25176000000.0,2.82,8.04,251.76,20.25,134.05,113.8,"沪深300,创业板,深证100"
206,688008,澜起科技,258.8,7.52,7.4,10137000000.0,10688000000.0,-551000000.0,20826000000.0,2.33,-2.65,208.26,-5.51,101.37,106.88,"沪深300,科创50,上证50"
786,688256,寒武纪,1316.88,3.05,2.53,10564000000.0,9871000000.0,693000000.0,20435000000.0,2.29,3.39,204.35,6.93,105.64,98.71,"沪深300,科创50,上证50"
614,002475,立讯精密,80.1,3.77,2.99,9052000000.0,8047000000.0,1005000000.0,17299000000.0,1.94,5.81,172.99,10.05,90.52,80.47,"沪深300,深证100"
776,300476,胜宏科技,387.01,3.08,5.21,9184000000.0,7868000000.000001,1316000000.0,17282000000.0,1.94,7.61,172.82,13.16,91.84,78.68,"沪深300,创业板,深证100"
722,603986,兆易创新,365.0,3.24,7.26,8909000000.0,8218000000.000001,691000000.0,17127000000.000002,1.92,4.03,171.27,6.91,89.09,82.18,沪深300
2529,002384,东山精密,220.3,0.38,5.49,8097000000.0,8475000000.0,-378000000.0,16684000000.0,1.87,-2.27,166.84,-3.78,80.97,84.75,"沪深300,深证100"
276,688525,佰维存储,328.49,6.32,10.16,8231999999.999999,6770000000.0,1462000000.0,15001000000.0,1.68,9.75,150.01,14.62,82.32,67.7,"中证500,科创50"
4698,002281,光迅科技,198.0,-1.74,9.73,7022000000.0,7781000000.0,-759000000.0,14921000000.0,1.67,-5.09,149.21,-7.59,70.22,77.81,中证500
179,301308,江波龙,611.04,8.8,9.34,7772000000.0,6780000000.0,992000000.0,14728000000.0,1.65,6.74,147.28,9.92,77.72,67.8,"中证500,创业板"
3432,688041,海光信息,348.19,-0.29,1.8,7204000000.000001,6962000000.0,242000000.0,14165000000.0,1.59,1.71,141.65,2.42,72.04,69.62,"沪深300,科创50,上证50"
2170,300750,宁德时代,434.22,0.69,0.72,6230000000.0,6917000000.0,-687000000.0,13256000000.0,1.49,-5.18,132.56,-6.87,62.3,69.17,"沪深300,创业板,深证100"
4372,000988,华工科技,142.49,-1.16,9.32,6035000000.0,6943000000.000001,-908000000.0,13088000000.0,1.47,-6.94,130.88,-9.08,60.35,69.43,
4431,600522,中天科技,43.53,-1.25,8.26,5407000000.0,6643000000.000001,-1236000000.0,12233000000.0,1.37,-10.1,122.33,-12.36,54.07,66.43,沪深300
3291,000066,中国长城,25.32,-0.16,15.21,6083000000.0,5964000000.0,119000000.0,12177000000.0,1.37,0.98,121.77,1.19,60.83,59.64,
569,600584,长电科技,57.45,4.0,12.09,6041000000.0,5911000000.0,131000000.0,12060000000.0,1.35,1.09,120.6,1.31,60.41,59.11,
2466,600487,亨通光电,75.42,0.43,6.19,5677000000.0,5620000000.0,57070000.0,11412000000.0,1.28,0.5,114.12,0.57,56.77,56.2,中证500
3197,688981,中芯国际,121.86,-0.1,4.78,5918000000.0,5457000000.0,461000000.00000006,11374000000.0,1.28,4.05,113.74,4.61,59.18,54.57,"沪深300,科创50,上证50"
2725,601899,紫金矿业,34.66,0.23,1.56,5182000000.0,6033000000.0,-851000000.0,11215000000.0,1.26,-7.59,112.15,-8.51,51.82,60.33,"沪深300,上证50"
122,001309,德明利,679.8,10.0,10.39,5955000000.0,4769000000.0,1186000000.0,10761000000.0,1.21,11.02,107.61,11.86,59.55,47.69,
40,300442,润泽科技,101.58,11.16,6.72,6244000000.0,4352000000.0,1892000000.0,10717000000.0,1.2,17.65,107.17,18.92,62.44,43.52,"沪深300,创业板,深证100"
2593,002428,云南锗业,101.75,0.33,15.86,5045000000.0,5347000000.0,-302000000.0,10492000000.0,1.18,-2.88,104.92,-3.02,50.45,53.47,中证1000
2252,600089,特变电工,29.12,0.62,7.1,5038000000.0,5315000000.0,-277000000.0,10453000000.0,1.17,-2.65,104.53,-2.77,50.38,53.15,沪深300
38,300857,协创数据,300.78,11.17,7.47,6216000000.0,4116000000.0,2100000000.0,10379000000.0,1.16,20.23,103.79,21.0,62.16,41.16,"中证500,创业板"
535,300136,信维通信,113.87,4.18,10.19,5006000000.0,4387000000.0,619000000.0,9452000000.0,1.06,6.55,94.52,6.19,50.06,43.87,"中证500,创业板"
749,600111,北方稀土,56.16,3.16,4.6,5073000000.0,4016000000.0,1057000000.0,9230000000.0,1.03,11.45,92.3,10.57,50.73,40.16,"沪深300,上证50"
357,300475,香农芯创,194.63,5.43,10.8,4806000000.0,4097000000.0,709000000.0,8999000000.0,1.01,7.88,89.99,7.09,48.06,40.97,
4193,601179,中国西电,19.02,-0.94,8.92,4139000000.0,4585000000.0,-446000000.0,8793000000.0,0.99,-5.07,87.93,-4.46,41.39,45.85,中证500
1026,002156,通富微电,60.87,2.34,9.49,4515000000.0,3914000000.0,601000000.0,8497000000.0,0.95,7.07,84.97,6.01,45.15,39.14,中证500
271,300604,长川科技,226.66,6.37,8.03,4562000000.0,3798000000.0,764000000.0,8486000000.0,0.95,9.0,84.86,7.64,45.62,37.98,"中证500,创业板"
24,300017,网宿科技,19.72,12.81,19.09,5152000000.0,3265999999.9999995,1886000000.0,8466000000.0,0.95,22.28,84.66,18.86,51.52,32.66,"中证500,创业板"
2162,300395,菲利华,149.19,0.7,11.07,3787000000.0,4377000000.0,-590000000.0,8241000000.0,0.92,-7.16,82.41,-5.9,37.87,43.77,"中证500,创业板"
1149,688521,芯原股份,277.5,2.03,5.84,4180000000.0,4027000000.000001,152000000.0,8206999999.999999,0.92,1.85,82.07,1.52,41.8,40.27,科创50
