序号,代码,名称,最新价,涨跌幅,换手率,流入资金,流出资金,净流入,成交额,占总成交比,净流入占比,成交额亿,净流入亿,流入亿,流出亿,指数标签
105,300308,中际旭创,1017.99,8.28,3.12,18404000000.0,16038999999.999998,2365000000.0,34443000000.0,3.77,6.87,344.43,23.65,184.04,160.39,"沪深300,创业板,深证100"
203,300502,新易盛,592.52,5.11,5.93,16304000000.0,14587000000.0,1717000000.0000002,30891000000.000004,3.38,5.56,308.91,17.17,163.04,145.87,"沪深300,创业板,深证100"
144,688256,寒武纪,1277.87,6.49,3.34,13594999999.999998,12584000000.0,1011000000.0,26179000000.000004,2.86,3.86,261.79,10.11,135.95,125.84,"沪深300,科创50,上证50"
4613,688008,澜起科技,240.7,-3.42,8.5,11144000000.0,12103000000.0,-958000000.0,23247000000.0,2.54,-4.12,232.47,-9.58,111.44,121.03,"沪深300,科创50,上证50"
1022,002384,东山精密,219.46,0.53,6.59,9489000000.0,10787000000.0,-1298000000.0,20276000000.0,2.22,-6.4,202.76,-12.98,94.89,107.87,"沪深300,深证100"
1036,600522,中天科技,44.08,0.5,12.54,8677000000.0,10283000000.0,-1605999999.9999998,18960000000.0,2.07,-8.47,189.6,-16.06,86.77,102.83,沪深300
1807,300476,胜宏科技,375.43,-0.74,5.49,8443000000.000001,9419000000.0,-976000000.0,17861000000.0,1.95,-5.46,178.61,-9.76,84.43,94.19,"沪深300,创业板,深证100"
392,300394,天孚通信,342.45,3.17,6.51,8756000000.0,8617000000.0,139000000.0,17373000000.0,1.9,0.8,173.73,1.39,87.56,86.17,"沪深300,创业板,深证100"
719,002281,光迅科技,201.5,1.36,10.94,8717000000.0,8377000000.0,340000000.0,17094000000.0,1.87,1.99,170.94,3.4,87.17,83.77,中证500
103,000066,中国长城,25.37,8.42,21.38,8534000000.0,8326000000.000001,208000000.0,17082000000.0,1.87,1.22,170.82,2.08,85.34,83.26,
676,002475,立讯精密,77.19,1.49,2.72,8062000000.0,7209000000.0,852999999.9999999,15269999999.999998,1.67,5.59,152.7,8.53,80.62,72.09,"沪深300,深证100"
1290,688041,海光信息,349.19,0.0,1.86,8034000000.0,7023000000.0,1011000000.0,15057000000.0,1.65,6.71,150.57,10.11,80.34,70.23,"沪深300,科创50,上证50"
4581,300750,宁德时代,431.25,-3.33,0.8,6298000000.0,8570999999.999999,-2273000000.0,14869000000.0,1.63,-15.29,148.69,-22.73,62.98,85.71,"沪深300,创业板,深证100"
874,601899,紫金矿业,34.58,0.9,2.02,7448999999.999999,7139000000.0,310000000.0,14588000000.0,1.6,2.13,145.88,3.1,74.49,71.39,"沪深300,上证50"
