序号,代码,名称,最新价,涨跌幅,换手率,流入资金,流出资金,净流入,成交额,占总成交比,净流入占比,成交额亿,净流入亿,流入亿,流出亿,指数标签
3666,603986,兆易创新,694.12,-0.1,7.44,17636000000.0,16165000000.0,1472000000.0,33933000000.0,4.79,4.34,339.33,14.72,176.36,161.65,沪深300
2568,300308,中际旭创,1155.77,1.12,2.06,14790000000.0,11450000000.0,3340000000.0,26408000000.0,3.73,12.65,264.08,33.4,147.9,114.5,"沪深300,创业板,深证100"
384,300502,新易盛,541.01,6.29,3.37,12205000000.0,10089000000.0,2116000000.0,22480000000.0,3.18,9.41,224.8,21.16,122.05,100.89,"沪深300,创业板,深证100"
275,002384,东山精密,238.34,7.52,6.56,10284000000.0,9494000000.0,790000000.0,20022000000.0,2.83,3.95,200.22,7.9,102.84,94.94,"沪深300,深证100"
1331,688008,澜起科技,276.5,2.73,4.9,7675000000.0,7319000000.0,356000000.0,15069999999.999998,2.13,2.36,150.7,3.56,76.75,73.19,"沪深300,科创50,上证50"
570,688525,佰维存储,439.7,4.99,6.04,6288000000.0,5766000000.0,521000000.0,12105000000.0,1.71,4.3,121.05,5.21,62.88,57.66,"中证500,科创50"
4828,600584,长电科技,93.06,-3.04,7.29,6120000000.0,5793000000.0,327000000.0,12012000000.0,1.7,2.72,120.12,3.27,61.2,57.93,
387,601899,紫金矿业,27.95,6.27,2.07,6469000000.0,5362000000.0,1107000000.0,11942000000.0,1.69,9.27,119.42,11.07,64.69,53.62,"沪深300,上证50"
175,001309,德明利,888.21,9.52,8.5,6290000000.0,5040000000.0,1251000000.0,11863000000.0,1.68,10.55,118.63,12.51,62.9,50.4,
41,300223,北京君正,262.53,11.87,10.16,5855000000.0,4898000000.0,958000000.0,10798000000.0,1.53,8.87,107.98,9.58,58.55,48.98,"中证500,创业板"
1627,688012,中微公司,417.98,2.22,2.81,5419000000.0,5266000000.0,153000000.0,10754000000.0,1.52,1.42,107.54,1.53,54.19,52.66,"沪深300,科创50,上证50"
123,600176,中国巨石,74.6,10.0,3.77,5926000000.0,4755000000.0,1171000000.0,10709000000.0,1.51,10.93,107.09,11.71,59.26,47.55,沪深300
5170,002407,多氟多,49.43,-9.83,19.72,6036000000.0,4589000000.0,1447000000.0,10684000000.0,1.51,13.54,106.84,14.47,60.36,45.89,
3350,688256,寒武纪,1376.0,0.29,1.2,5410000000.0,4822000000.0,588000000.0,10376000000.0,1.47,5.67,103.76,5.88,54.1,48.22,"沪深300,科创50,上证50"
242,002475,立讯精密,65.73,7.93,2.14,5853000000.0,4136999999.9999995,1717000000.0000002,10065000000.0,1.42,17.06,100.65,17.17,58.53,41.37,"沪深300,深证100"
14,688017,绿的谐波,488.74,18.32,11.8,5555000000.0,4106000000.0,1448000000.0,9952000000.0,1.41,14.55,99.52,14.48,55.55,41.06,中证500
3738,600487,亨通光电,93.63,-0.22,4.27,5146000000.0,4463000000.0,684000000.0,9753000000.0,1.38,7.01,97.53,6.84,51.46,44.63,中证500
3978,002371,北方华创,836.0,-0.6,1.66,5232000000.0,4404000000.0,827999999.9999999,9731000000.0,1.37,8.51,97.31,8.28,52.32,44.04,"沪深300,深证100"
181,002050,三花智控,49.11,9.33,5.53,5752000000.0,3819000000.0,1932999999.9999998,9620000000.0,1.36,20.09,96.2,19.33,57.52,38.19,深证100
231,600183,生益科技,164.41,8.2,2.5,4949000000.0,4443000000.0,505999999.99999994,9492000000.0,1.34,5.33,94.92,5.06,49.49,44.43,沪深300
465,301308,江波龙,632.8,5.6,5.48,5077000000.0,4177000000.0000005,900000000.0,9413000000.0,1.33,9.56,94.13,9.0,50.77,41.77,"中证500,创业板"
751,600667,太极实业,30.13,4.29,14.97,4969000000.0,4033000000.0,936000000.0,9033000000.0,1.28,10.36,90.33,9.36,49.69,40.33,中证1000
341,002463,沪电股份,139.2,6.66,3.46,5010000000.0,3875000000.0,1135000000.0,8941000000.0,1.26,12.69,89.41,11.35,50.1,38.75,"沪深300,深证100"
5016,000021,深科技,53.25,-4.96,10.43,4326000000.0,4295000000.0,31416000.0,8674000000.0,1.23,0.36,86.74,0.31,43.26,42.95,中证500
4398,688981,中芯国际,142.13,-1.37,2.94,4197999999.9999995,4186999999.9999995,10821000.0,8427000000.0,1.19,0.13,84.27,0.11,41.98,41.87,"沪深300,科创50,上证50"
326,301526,国际复材,48.25,6.77,12.47,4458000000.0,3897000000.0,561000000.0,8391000000.0,1.19,6.69,83.91,5.61,44.58,38.97,
3300,600522,中天科技,51.76,0.35,4.68,4232000000.0,3915000000.0,317000000.0,8228000000.0,1.16,3.85,82.28,3.17,42.32,39.15,沪深300
1589,300394,天孚通信,256.49,2.28,2.81,3886999999.9999995,3808000000.0,78974000.0,7764000000.0,1.1,1.02,77.64,0.79,38.87,38.08,"沪深300,创业板,深证100"
1059,300476,胜宏科技,316.47,3.39,2.81,3669000000.0,3726000000.0,-56715000.0,7464000000.0,1.05,-0.76,74.64,-0.57,36.69,37.26,"沪深300,创业板,深证100"
1446,688041,海光信息,330.41,2.52,0.98,4044000000.0,3338000000.0000005,706000000.0,7425000000.0,1.05,9.51,74.25,7.06,40.44,33.38,"沪深300,科创50,上证50"
2554,300408,三环集团,149.89,1.14,2.66,3872999999.9999995,3321000000.0,551000000.0,7250000000.0,1.02,7.6,72.5,5.51,38.73,33.21,"创业板,深证100"
4968,002409,雅克科技,203.2,-4.37,11.05,3654999999.9999995,3440000000.0,215000000.0,7131999999.999999,1.01,3.01,71.32,2.15,36.55,34.4,中证500
4998,000100,TCL科技,5.64,-4.73,6.58,3097000000.0,3993000000.0,-896000000.0000001,7123999999.999999,1.01,-12.58,71.24,-8.96,30.97,39.93,"沪深300,深证100"
5142,300346,南大光电,81.65,-8.02,12.83,3220000000.0000005,3685000000.0,-465000000.00000006,6944000000.0,0.98,-6.7,69.44,-4.65,32.2,36.85,"中证500,创业板"
2958,600641,先导基电,48.58,0.7,14.46,3354999999.9999995,3220000000.0000005,135000000.0,6645000000.0,0.94,2.03,66.45,1.35,33.55,32.2,中证1000
