序号,代码,名称,最新价,涨跌幅,换手率,流入资金,流出资金,净流入,成交额,占总成交比,净流入占比,成交额亿,净流入亿,流入亿,流出亿,指数标签
112,600487,亨通光电,70.25,8.36,7.93,7231999999.999999,6159000000.0,1073000000.0,13409000000.0,3.17,8.0,134.09,10.73,72.32,61.59,
941,300308,中际旭创,872.32,2.52,1.37,6809000000.0,6357000000.0,451999999.99999994,13296000000.0,3.15,3.4,132.96,4.52,68.09,63.57,"沪深300,创业板,深证100"
5209,300274,阳光电源,99.42,-11.72,6.54,4627000000.0,5719000000.0,-1092000000.0,10405000000.0,2.46,-10.49,104.05,-10.92,46.27,57.19,"创业板,深证100"
189,300394,天孚通信,270.5,6.67,3.4,5491000000.0,4313000000.0,1177000000.0,9838000000.0,2.33,11.96,98.38,11.77,54.91,43.13,"沪深300,创业板,深证100"
543,603986,兆易创新,408.0,3.95,3.62,5524000000.0,4249000000.0,1275000000.0,9809000000.0,2.32,13.0,98.09,12.75,55.24,42.49,"沪深300,上证50"
534,688825,长鑫科技,58.34,3.99,3.79,5742000000.0,3929000000.0,1813000000.0,9799000000.0,2.32,18.5,97.99,18.13,57.42,39.29,
577,688825,长鑫科技,58.34,3.99,3.79,5742000000.0,3929000000.0,1813000000.0,9799000000.0,2.32,18.5,97.99,18.13,57.42,39.29,
104,688008,澜起科技,218.69,8.8,3.72,5220000000.0,3834000000.0000005,1387000000.0,9081000000.0,2.15,15.27,90.81,13.87,52.2,38.34,"沪深300,科创50,上证50"
858,300502,新易盛,410.07,2.83,1.61,4454000000.0,3706000000.0,748000000.0,8241000000.0,1.95,9.08,82.41,7.48,44.54,37.06,"沪深300,创业板,深证100"
202,600522,中天科技,35.55,6.41,6.52,4675000000.0,3082000000.0,1593000000.0,7795000000.0,1.84,20.44,77.95,15.93,46.75,30.82,沪深300
600,002384,东山精密,201.9,3.88,2.6,3881000000.0,3292000000.0,589000000.0,7219000000.0,1.71,8.16,72.19,5.89,38.81,32.92,"沪深300,深证100"
249,601138,工业富联,64.13,5.88,0.52,3901000000.0,2569000000.0,1332000000.0,6520999999.999999,1.54,20.43,65.21,13.32,39.01,25.69,沪深300
367,601138,工业富联,63.55,4.92,0.5,3740000000.0,2437000000.0,1303000000.0,6243000000.0,1.48,20.87,62.43,13.03,37.4,24.37,沪深300
176,600176,中国巨石,42.22,6.89,3.67,3668000000.0,2309000000.0,1360000000.0,5993000000.0,1.42,22.69,59.93,13.6,36.68,23.09,沪深300
116,002428,云南锗业,101.08,8.14,9.34,3295000000.0000005,2640000000.0,655000000.0,5980000000.0,1.42,10.95,59.8,6.55,32.95,26.4,中证1000
65,601869,长飞光纤,426.82,10.0,3.42,2719000000.0,3049000000.0,-331000000.0,5772000000.0,1.37,-5.73,57.72,-3.31,27.19,30.49,中证500
109,001309,德明利,424.21,8.58,8.29,3434000000.0000005,2189000000.0,1245000000.0,5648000000.0,1.34,22.04,56.48,12.45,34.34,21.89,中证500
969,688256,寒武纪,1045.0,2.45,0.8,2868000000.0,2329000000.0,539000000.0,5261000000.0,1.25,10.25,52.61,5.39,28.68,23.29,"沪深300,科创50,上证50"
747,603083,剑桥科技,196.86,3.15,9.74,2756000000.0,2355000000.0,401000000.0,5119000000.0,1.21,7.83,51.19,4.01,27.56,23.55,
756,603083,剑桥科技,196.86,3.15,9.74,2756000000.0,2355000000.0,401000000.0,5119000000.0,1.21,7.83,51.19,4.01,27.56,23.55,
198,688041,海光信息,246.19,6.59,0.89,2529000000.0,2461000000.0,67944000.0,5076000000.0,1.2,1.34,50.76,0.68,25.29,24.61,"沪深300,科创50,上证50"
479,002491,通鼎互联,23.44,4.27,18.22,2463000000.0,2505000000.0,-42396000.0,5022000000.0,1.19,-0.84,50.22,-0.42,24.63,25.05,
