序号,代码,名称,最新价,涨跌幅,换手率,流入资金,流出资金,净流入,成交额,占总成交比,净流入占比,成交额亿,净流入亿,流入亿,流出亿,指数标签
5091,603986,兆易创新,483.95,-5.96,2.52,3799000000.0,3897000000.0,-97537000.0,8231000000.0,6.33,-1.18,82.31,-0.98,37.99,38.97,"沪深300,上证50"
5178,300308,中际旭创,1002.5,-9.93,0.6,1800000000.0,2290000000.0,-490000000.00000006,6928000000.0,5.33,-7.07,69.28,-4.9,18.0,22.9,"沪深300,创业板,深证100"
5189,300502,新易盛,484.89,-10.64,0.71,1747000000.0,1901000000.0000002,-154000000.0,4505000000.0,3.46,-3.42,45.05,-1.54,17.47,19.01,"沪深300,创业板,深证100"
4727,000938,紫光股份,37.38,-3.14,4.19,1925000000.0,2264000000.0,-338000000.0,4367000000.0,3.36,-7.74,43.67,-3.38,19.25,22.64,"沪深300,深证100"
5061,688008,澜起科技,199.89,-5.32,1.91,1878000000.0,2147000000.0,-269000000.0,4341000000.0,3.34,-6.2,43.41,-2.69,18.78,21.47,"沪深300,科创50,上证50"
5116,000063,中兴通讯,37.36,-6.6,2.81,1616000000.0,2286000000.0,-670000000.0,4236999999.9999995,3.26,-15.81,42.37,-6.7,16.16,22.86,"沪深300,深证100"
4556,688256,寒武纪,1245.21,-2.66,0.48,1638000000.0,1521000000.0,117000000.0,3729999999.9999995,2.87,3.14,37.3,1.17,16.38,15.21,"沪深300,科创50,上证50"
5120,688525,佰维存储,280.29,-6.65,2.18,1293000000.0,1449000000.0,-156000000.0,2909000000.0,2.24,-5.36,29.09,-1.56,12.93,14.49,科创50
5166,688498,源杰科技,1672.0,-8.43,1.37,1337000000.0,1311000000.0,25908500.0,2770000000.0,2.13,0.94,27.7,0.26,13.37,13.11,"中证500,科创50"
5142,002384,东山精密,249.29,-7.26,0.76,89205900.0,143000000.0,-53410200.00000001,2671000000.0,2.05,-2.0,26.71,-0.53,0.89,1.43,"沪深300,深证100"
5010,600584,长电科技,79.24,-4.77,1.86,1181000000.0,1005000000.0000001,177000000.0,2649000000.0,2.04,6.68,26.49,1.77,11.81,10.05,沪深300
5114,000988,华工科技,122.09,-6.58,2.02,1255000000.0,1174000000.0,80277000.0,2516000000.0,1.93,3.19,25.16,0.8,12.55,11.74,"沪深300,深证100"
4885,600487,亨通光电,62.3,-3.93,1.22,851000000.0,779000000.0,72265000.0,2071000000.0,1.59,3.49,20.71,0.72,8.51,7.79,
3960,688012,中微公司,356.02,-1.49,0.58,944999999.9999999,797000000.0,148000000.0,1934000000.0,1.49,7.65,19.34,1.48,9.45,7.97,"沪深300,科创50,上证50"
87,688347,华虹宏力,340.0,3.71,1.44,770000000.0,833000000.0,-62906000.0,1893000000.0,1.46,-3.32,18.93,-0.63,7.7,8.33,科创50
1345,603893,瑞芯微,224.23,0.9,1.81,909000000.0,644000000.0,265000000.0,1718000000.0,1.32,15.42,17.18,2.65,9.09,6.44,沪深300
214,300750,宁德时代,374.97,2.39,0.11,709000000.0,505000000.0,204999999.99999997,1703000000.0,1.31,12.04,17.03,2.05,7.09,5.05,"沪深300,创业板,深证100"
4359,688041,海光信息,313.26,-2.23,0.23,733000000.0,749000000.0,-16274200.0,1669000000.0000002,1.28,-0.98,16.69,-0.16,7.33,7.49,"沪深300,科创50,上证50"
5190,688048,长光华芯,370.0,-13.25,2.47,658000000.0,777000000.0,-119000000.0,1645000000.0,1.26,-7.23,16.45,-1.19,6.58,7.77,
103,688521,芯原股份,251.45,3.24,1.24,740000000.0,739000000.0,1084600.0,1626000000.0000002,1.25,0.07,16.26,0.01,7.4,7.39,"沪深300,科创50"
5165,600183,生益科技,134.83,-8.27,0.43,659000000.0,686000000.0,-27551000.0,1558000000.0,1.2,-1.77,15.58,-0.28,6.59,6.86,"沪深300,上证50"
4922,601138,工业富联,60.44,-4.09,0.13,652000000.0,803999999.9999999,-152000000.0,1538000000.0,1.18,-9.88,15.38,-1.52,6.52,8.04,沪深300
5170,603127,昭衍新药,48.51,-8.9,4.56,632000000.0,716000000.0,-84738000.0,1459000000.0,1.12,-5.81,14.59,-0.85,6.32,7.16,中证1000
4730,603019,中科曙光,94.58,-3.15,0.99,563000000.0,626000000.0,-62544000.0,1379000000.0,1.06,-4.54,13.79,-0.63,5.63,6.26,"沪深300,上证50"
4584,603259,药明康德,123.54,-2.72,0.44,512000000.0,567000000.0,-55324200.0,1377000000.0,1.06,-4.02,13.77,-0.55,5.12,5.67,"沪深300,上证50"
