序号,代码,名称,最新价,涨跌幅,换手率,流入资金,流出资金,净流入,成交额,占总成交比,净流入占比,成交额亿,净流入亿,流入亿,流出亿,指数标签
13,688981,中芯国际,156.0,18.78,12.61,21893000000.0,15360000000.0,6533000000.0,37254000000.0,3.81,17.54,372.54,65.33,218.93,153.6,"沪深300,科创50,上证50"
194,300502,新易盛,659.01,8.61,5.38,17141999999.999998,12982000000.0,4160000000.0,30125000000.0,3.08,13.81,301.25,41.6,171.42,129.82,"沪深300,创业板,深证100"
107,603986,兆易创新,515.6,10.0,8.89,15372000000.0,14016000000.0,1356000000.0,29388000000.0,3.01,4.61,293.88,13.56,153.72,140.16,沪深300
1002,300476,胜宏科技,383.5,2.13,8.34,13166000000.0,14377000000.000002,-1211000000.0,27543000000.0,2.82,-4.4,275.43,-12.11,131.66,143.77,"沪深300,创业板,深证100"
388,300308,中际旭创,1093.0,5.3,2.26,14838000000.0,11796000000.0,3042000000.0,26633000000.0,2.72,11.42,266.33,30.42,148.38,117.96,"沪深300,创业板,深证100"
492,688008,澜起科技,284.08,4.51,7.8,12146000000.0,12287000000.0,-141000000.0,24433000000.0,2.5,-0.58,244.33,-1.41,121.46,122.87,"沪深300,科创50,上证50"
168,688256,寒武纪,1406.5,9.37,2.76,12856000000.0,11173000000.0,1682999999.9999998,24028000000.0,2.46,7.0,240.28,16.83,128.56,111.73,"沪深300,科创50,上证50"
1003,725,京东方A,5.27,2.13,11.86,11330000000.0,11169000000.0,160000000.0,22499000000.0,2.3,0.71,224.99,1.6,113.3,111.69,"沪深300,深证100"
116,600584,长电科技,80.17,10.0,15.38,10990000000.0,10060000000.0,930000000.0000001,21049000000.0,2.15,4.42,210.49,9.3,109.9,100.6,
281,300394,天孚通信,396.75,6.51,6.74,10829000000.0,9276000000.0,1553000000.0,20105000000.0,2.06,7.72,201.05,15.53,108.29,92.76,"沪深300,创业板,深证100"
873,2384,东山精密,226.24,2.58,6.0,9288000000.0,9147000000.0,141000000.0,18617000000.0,1.9,0.76,186.17,1.41,92.88,91.47,"沪深300,深证100"
466,601138,工业富联,70.3,4.68,1.34,11106000000.0,7350000000.0,3756000000.0,18456000000.0,1.89,20.35,184.56,37.56,111.06,73.5,沪深300
126,988,华工科技,171.94,10.0,10.85,9900000000.0,7998999999.999999,1901000000.0000002,17898000000.0,1.83,10.62,178.98,19.01,99.0,79.99,
696,688012,中微公司,485.3,3.34,5.79,8606000000.0,8337000000.0,269000000.0,16943000000.0,1.73,1.59,169.43,2.69,86.06,83.37,"沪深300,科创50,上证50"
370,688041,海光信息,329.68,5.53,2.22,9013000000.0,7606999999.999999,1406000000.0,16619999999.999998,1.7,8.46,166.2,14.06,90.13,76.07,"沪深300,科创50,上证50"
618,2281,光迅科技,223.98,3.76,9.49,8588000000.0,7392000000.0,1196000000.0,15980000000.000002,1.63,7.48,159.8,11.96,85.88,73.92,中证500
