序号,代码,名称,最新价,涨跌幅,换手率,流入资金,流出资金,净流入,成交额,占总成交比,净流入占比,成交额亿,净流入亿,流入亿,流出亿,指数标签
197,300308,中际旭创,1197.99,7.79,2.59,17543000000.0,15368000000.0,2175000000.0,32912000000.0,3.56,6.61,329.12,21.75,175.43,153.68,"沪深300,创业板,深证100"
5136,603986,兆易创新,483.0,-6.06,9.34,15188999999.999998,15052000000.000002,137000000.0,30240000000.0,3.27,0.45,302.4,1.37,151.89,150.52,沪深300
235,601138,工业富联,75.0,7.02,1.82,16304000000.0,10133000000.0,6171000000.0,26438000000.0,2.86,23.34,264.38,61.71,163.04,101.33,沪深300
368,688981,中芯国际,153.7,5.12,8.04,13913000000.0,10910000000.0,3003000000.0,24822000000.0,2.68,12.1,248.22,30.03,139.13,109.1,"沪深300,科创50,上证50"
674,300502,新易盛,718.34,3.36,3.83,12773000000.0,11025000000.0,1748000000.0,23798000000.0,2.57,7.35,237.98,17.48,127.73,110.25,"沪深300,创业板,深证100"
4304,600584,长电科技,84.74,-1.65,15.21,11727000000.0,11224000000.0,502000000.0,22950000000.0,2.48,2.19,229.5,5.02,117.27,112.24,
479,300394,天孚通信,447.56,4.42,6.28,11061000000.0,9931000000.0,1131000000.0,20992000000.0,2.27,5.39,209.92,11.31,110.61,99.31,"沪深300,创业板,深证100"
255,002185,华天科技,21.49,6.65,28.28,9703000000.0,9672000000.0,30680000.0,19375000000.0,2.1,0.16,193.75,0.31,97.03,96.72,中证500
3565,000725,京东方A,5.68,-0.7,9.04,8901000000.0,9628000000.0,-727000000.0,18529000000.0,2.0,-3.92,185.29,-7.27,89.01,96.28,"沪深300,深证100"
570,688256,寒武纪,1391.5,3.84,2.02,9389000000.0,8084000000.0,1305000000.0,17473000000.0,1.89,7.47,174.73,13.05,93.89,80.84,"沪深300,科创50,上证50"
3874,300476,胜宏科技,375.3,-1.05,5.4,8491000000.0,8880000000.0,-389000000.0,17370000000.0,1.88,-2.24,173.7,-3.89,84.91,88.8,"沪深300,创业板,深证100"
4497,002384,东山精密,219.0,-1.96,5.6,7684999999.999999,9146000000.0,-1461000000.0,16831000000.0,1.82,-8.68,168.31,-14.61,76.85,91.46,"沪深300,深证100"
4333,688008,澜起科技,260.98,-1.7,5.44,7998000000.0,8129000000.000001,-130000000.0,16127000000.000002,1.74,-0.81,161.27,-1.3,79.98,81.29,"沪深300,科创50,上证50"
701,300274,阳光电源,190.09,3.26,5.25,8403000000.0,7142000000.0,1261000000.0,15544000000.0,1.68,8.11,155.44,12.61,84.03,71.42,"沪深300,创业板,深证100"
285,002281,光迅科技,214.9,6.02,8.67,7934000000.0,6208000000.0,1726000000.0000002,14141999999.999998,1.53,12.2,141.42,17.26,79.34,62.08,中证500
4872,002156,通富微电,69.3,-3.0,12.92,6806999999.999999,6763000000.0,43220000.0,13569999999.999998,1.47,0.32,135.7,0.43,68.07,67.63,中证500
778,600183,生益科技,135.64,2.94,4.29,6561000000.0,6966000000.0,-405000000.0,13527000000.000002,1.46,-2.99,135.27,-4.05,65.61,69.66,沪深300
2590,300750,宁德时代,415.68,0.21,0.77,6612000000.0,6890000000.000001,-278000000.0,13502000000.000002,1.46,-2.06,135.02,-2.78,66.12,68.9,"沪深300,创业板,深证100"
616,000988,华工科技,165.63,3.6,8.12,7140000000.000001,6147000000.0,993000000.0,13287000000.0,1.44,7.47,132.87,9.93,71.4,61.47,
221,300408,三环集团,132.11,7.42,5.3,6221000000.0,6630000000.0,-409000000.0,12851000000.0,1.39,-3.18,128.51,-4.09,62.21,66.3,"创业板,深证100"
