序号,代码,名称,最新价,涨跌幅,换手率,流入资金,流出资金,净流入,成交额,占总成交比,净流入占比,成交额亿,净流入亿,流入亿,流出亿,指数标签
705,300308,中际旭创,915.15,1.42,1.15,5668000000.0,6072000000.0,-404000000.0,11781000000.0,3.8,-3.43,117.81,-4.04,56.68,60.72,"沪深300,创业板,深证100"
171,600487,亨通光电,65.86,4.36,6.6,6044000000.0,4715000000.0,1329000000.0,10758000000.0,3.47,12.35,107.58,13.29,60.44,47.15,
1133,300502,新易盛,419.61,0.77,1.41,3942000000.0,3551000000.0,391000000.0,7534000000.0,2.43,5.19,75.34,3.91,39.42,35.51,"沪深300,创业板,深证100"
90,601869,长飞光纤,443.0,6.27,3.87,3432000000.0,3636000000.0,-204000000.0,7068000000.000001,2.28,-2.89,70.68,-2.04,34.32,36.36,中证500
4557,300750,宁德时代,328.91,-1.96,0.48,3678000000.0,2932000000.0,746000000.0,6780000000.0,2.18,11.0,67.8,7.46,36.78,29.32,"沪深300,创业板,深证100"
231,002384,东山精密,193.2,3.64,2.51,3761000000.0,2968000000.0,793000000.0,6745999999.999999,2.17,11.76,67.46,7.93,37.61,29.68,"沪深300,深证100"
599,600183,生益科技,148.76,1.7,1.76,3354999999.9999995,2974000000.0,381000000.0,6338000000.0,2.04,6.01,63.38,3.81,33.55,29.74,"沪深300,上证50"
175,600522,中天科技,33.91,4.31,5.45,3640000000.0,2685000000.0,956000000.0,6325000000.0,2.04,15.11,63.25,9.56,36.4,26.85,沪深300
265,600176,中国巨石,42.72,3.21,3.67,3817000000.0,2387000000.0,1430000000.0,6214000000.0,2.0,23.01,62.14,14.3,38.17,23.87,沪深300
111,600105,永鼎股份,41.27,5.52,8.75,3100000000.0,2146000000.0,953999999.9999999,5283000000.0,1.7,18.06,52.83,9.54,31.0,21.46,中证500
1048,300394,天孚通信,260.76,0.87,1.74,2581000000.0,2405000000.0,176000000.0,5049000000.0,1.63,3.49,50.49,1.76,25.81,24.05,"沪深300,创业板,深证100"
218,002281,光迅科技,186.73,3.79,3.22,2398000000.0,2343000000.0,55593000.0,4773000000.0,1.54,1.16,47.73,0.56,23.98,23.43,中证500
480,300408,三环集团,117.54,2.06,2.05,2411000000.0,2138000000.0,273000000.0,4572000000.0,1.47,5.97,45.72,2.73,24.11,21.38,"沪深300,创业板,深证100"
309,600869,远东股份,23.31,2.87,8.84,2205000000.0,2341000000.0,-136000000.0,4545000000.0,1.46,-2.99,45.45,-1.36,22.05,23.41,中证1000
490,300476,胜宏科技,233.68,2.04,2.22,2497000000.0,2005999999.9999998,491000000.0,4518000000.0,1.46,10.87,45.18,4.91,24.97,20.06,"沪深300,创业板,深证100"
