序号,代码,名称,最新价,涨跌幅,换手率,流入资金,流出资金,净流入,成交额,占总成交比,净流入占比,成交额亿,净流入亿,流入亿,流出亿,指数标签
122,300308,中际旭创,982.99,8.92,2.59,15194999999.999998,12405000000.0,2790000000.0,27769000000.0,6.81,10.05,277.69,27.9,151.95,124.05,"沪深300,创业板,深证100"
101,300502,新易盛,432.53,9.76,3.16,9117000000.0,7575000000.0,1541000000.0,16772999999.999998,4.11,9.19,167.73,15.41,91.17,75.75,"沪深300,创业板,深证100"
99,300502,新易盛,432.53,9.76,3.16,9117000000.0,7575000000.0,1541000000.0,16772999999.999998,4.11,9.19,167.73,15.41,91.17,75.75,"沪深300,创业板,深证100"
73,002384,东山精密,179.09,10.0,5.76,7165000000.000001,6914000000.0,250000000.0,14082000000.0,3.45,1.78,140.82,2.5,71.65,69.14,"沪深300,深证100"
4434,688825,长鑫科技,54.46,-0.96,5.33,6214000000.0,6631000000.0,-417000000.0,12981000000.0,3.18,-3.21,129.81,-4.17,62.14,66.31,
972,603986,兆易创新,351.8,3.25,4.76,5860000000.0,5092000000.0,768000000.0,11034000000.0,2.71,6.96,110.34,7.68,58.6,50.92,"沪深300,上证50"
67,603259,药明康德,141.35,10.0,2.66,4385000000.0,4858000000.0,-473000000.00000006,9246000000.0,2.27,-5.12,92.46,-4.73,43.85,48.58,"沪深300,上证50"
1829,688256,寒武纪,1045.0,1.65,1.25,3929999999.9999995,4185000000.0,-254999999.99999997,8202000000.0,2.01,-3.11,82.02,-2.55,39.3,41.85,"沪深300,科创50,上证50"
20,300394,天孚通信,201.58,11.68,3.81,4471000000.0,3638000000.0000005,833000000.0,8167000000.0,2.0,10.2,81.67,8.33,44.71,36.38,"沪深300,创业板,深证100"
19,688498,源杰科技,1286.0,12.12,3.77,3251000000.0,2597000000.0,654000000.0,5871000000.0,1.44,11.14,58.71,6.54,32.51,25.97,"中证500,科创50"
433,600176,中国巨石,35.84,5.23,4.14,3304999999.9999995,2413000000.0,891000000.0,5807000000.0,1.42,15.34,58.07,8.91,33.05,24.13,沪深300
2645,000636,风华高科,52.35,0.75,9.86,2730000000.0,3011000000.0,-281000000.0,5773000000.0,1.42,-4.87,57.73,-2.81,27.3,30.11,中证1000
494,002131,利欧股份,5.38,4.87,18.06,2741000000.0,2967000000.0,-225000000.0,5729000000.0,1.4,-3.93,57.29,-2.25,27.41,29.67,
53,600105,永鼎股份,34.29,10.01,11.3,2824000000.0,1891000000.0,933000000.0,5518000000.0,1.35,16.91,55.18,9.33,28.24,18.91,中证500
4,300209,行云科技,33.64,20.01,21.99,2846000000.0,2385000000.0,461000000.00000006,5238000000.0,1.28,8.8,52.38,4.61,28.46,23.85,
872,300408,三环集团,118.03,3.54,2.41,2691000000.0,2425000000.0,266000000.0,5155000000.0,1.26,5.16,51.55,2.66,26.91,24.25,"沪深300,创业板,深证100"
652,600487,亨通光电,49.33,4.14,4.21,2675000000.0,2343000000.0,332000000.0,5057000000.0,1.24,6.57,50.57,3.32,26.75,23.43,
478,688008,澜起科技,199.39,4.98,2.16,2688000000.0,2150000000.0,537000000.0,4872000000.0,1.19,11.02,48.72,5.37,26.88,21.5,"沪深300,科创50,上证50"
22,300857,协创数据,228.39,11.52,4.41,2745000000.0,2020000000.0,724000000.0,4790000000.0,1.17,15.11,47.9,7.24,27.45,20.2,"中证500,创业板"
132,600183,生益科技,110.8,8.6,1.79,2626000000.0,2039999999.9999998,586000000.0,4696000000.0,1.15,12.48,46.96,5.86,26.26,20.4,"沪深300,上证50"
2965,300750,宁德时代,396.18,0.45,0.26,2401000000.0,1968000000.0,433000000.0,4395000000.0,1.08,9.85,43.95,4.33,24.01,19.68,"沪深300,创业板,深证100"
599,601138,工业富联,58.34,4.36,0.38,2683000000.0,1680999999.9999998,1001000000.0,4379000000.0,1.07,22.86,43.79,10.01,26.83,16.81,沪深300
591,600584,长电科技,63.68,4.39,3.88,2425000000.0,1920000000.0,504000000.0,4361000000.0,1.07,11.56,43.61,5.04,24.25,19.2,沪深300
2303,688012,中微公司,313.26,1.1,1.46,2292000000.0,1980000000.0,312000000.0,4305000000.0,1.06,7.25,43.05,3.12,22.92,19.8,"沪深300,科创50,上证50"
1113,000938,紫光股份,34.06,2.9,4.44,2226000000.0,2023000000.0,202999999.99999997,4292000000.0,1.05,4.73,42.92,2.03,22.26,20.23,"沪深300,深证100"
179,002281,光迅科技,168.55,7.6,3.28,2272000000.0,2002000000.0,270000000.0,4286000000.0,1.05,6.3,42.86,2.7,22.72,20.02,中证500
1448,000725,京东方A,5.54,2.21,2.13,2513000000.0,1607999999.9999998,905000000.0000001,4149000000.0,1.02,21.81,41.49,9.05,25.13,16.08,"沪深300,深证100"
226,300604,长川科技,243.16,6.92,3.53,2122000000.0,1957999999.9999998,164000000.0,4111999999.9999995,1.01,3.99,41.12,1.64,21.22,19.58,创业板
1117,002371,北方华创,659.82,2.89,0.87,2284000000.0,1732000000.0,552000000.0,4096000000.0,1.0,13.48,40.96,5.52,22.84,17.32,"沪深300,深证100"
216,002281,光迅科技,167.63,7.01,3.13,2136000000.0,1900000000.0,236000000.0,4081000000.0,1.0,5.78,40.81,2.36,21.36,19.0,中证500
4584,300285,国瓷材料,57.12,-1.18,8.46,1998999999.9999998,2057000000.0,-58794000.0,4063000000.0000005,1.0,-1.45,40.63,-0.59,19.99,20.57,"中证500,创业板"
260,002463,沪电股份,108.26,6.54,1.94,2179000000.0,1822000000.0,356000000.0,4011000000.0,0.98,8.88,40.11,3.56,21.79,18.22,"沪深300,深证100"
247,301526,国际复材,29.73,6.64,9.87,2032999999.9999998,1780000000.0,252999999.99999997,3960000000.0,0.97,6.39,39.6,2.53,20.33,17.8,"中证500,创业板"
1,001232,嘉立创,197.08,133.34,42.55,2117000000.0000002,1773000000.0,343000000.0,3904000000.0,0.96,8.79,39.04,3.43,21.17,17.73,
240,002463,沪电股份,108.45,6.73,1.86,2080999999.9999998,1755000000.0,325000000.0,3859000000.0000005,0.95,8.42,38.59,3.25,20.81,17.55,"沪深300,深证100"
4323,300285,国瓷材料,57.32,-0.83,7.97,1870000000.0,1928000000.0,-57962000.0,3825000000.0,0.94,-1.52,38.25,-0.58,18.7,19.28,"中证500,创业板"
641,002156,通富微电,53.49,4.19,4.68,2047000000.0,1682000000.0,365000000.0,3775000000.0,0.93,9.67,37.75,3.65,20.47,16.82,
621,300476,胜宏科技,197.34,4.25,2.19,1851000000.0000002,1820000000.0,30553000.0,3715000000.0,0.91,0.82,37.15,0.31,18.51,18.2,"沪深300,创业板,深证100"
4729,601899,紫金矿业,32.09,-1.41,0.54,1558000000.0,1952000000.0,-394000000.0,3547000000.0,0.87,-11.11,35.47,-3.94,15.58,19.52,"沪深300,上证50"
