序号,代码,名称,最新价,涨跌幅,换手率,流入资金,流出资金,净流入,成交额,占总成交比,净流入占比,成交额亿,净流入亿,流入亿,流出亿,指数标签
132,600487,亨通光电,108.18,3.01,1.58,1598000000.0,2023000000.0,-425000000.0,4274000000.0,8.54,-9.94,42.74,-4.25,15.98,20.23,中证500
75,600176,中国巨石,40.6,3.78,1.16,762000000.0,826000000.0,-63842000.0,1852000000.0,3.7,-3.45,18.52,-0.64,7.62,8.26,沪深300
12,002636,金安国纪,77.21,9.7,2.28,576000000.0,559000000.0,16503900.000000002,1259000000.0,2.51,1.31,12.59,0.17,5.76,5.59,
81,002747,埃斯顿,38.86,3.54,3.76,493000000.0,476999999.99999994,16012100.0,1158000000.0,2.31,1.38,11.58,0.16,4.93,4.77,中证1000
101,002747,埃斯顿,38.86,3.54,3.76,493000000.0,476999999.99999994,16012100.0,1158000000.0,2.31,1.38,11.58,0.16,4.93,4.77,中证1000
20,002354,天娱数科,8.66,7.44,7.28,117000000.0,48677900.0,68654000.0,1002000000.0,2.0,6.85,10.02,0.69,1.17,0.49,
95,002837,英维克,72.04,3.33,1.12,277000000.0,417000000.0,-140000000.0,905000000.0000001,1.81,-15.47,9.05,-1.4,2.77,4.17,中证500
117,002837,英维克,72.04,3.33,1.12,277000000.0,417000000.0,-140000000.0,905000000.0000001,1.81,-15.47,9.05,-1.4,2.77,4.17,中证500
127,600549,厦门钨业,65.9,3.08,0.85,265000000.0,300000000.0,-35245200.0,853999999.9999999,1.71,-4.13,8.54,-0.35,2.65,3.0,中证500
137,300475,香农芯创,178.5,3.0,1.05,354000000.0,292000000.0,62874600.0,825000000.0,1.65,7.62,8.25,0.63,3.54,2.92,
47,300604,长川科技,223.5,5.06,0.77,318000000.0,262000000.0,55348900.0,822000000.0000001,1.64,6.73,8.22,0.55,3.18,2.62,"中证500,创业板"
470,300390,天华新能,88.32,0.59,1.31,310000000.0,336000000.0,-26512500.0,777000000.0,1.55,-3.41,7.77,-0.27,3.1,3.36,中证500
534,300390,天华新能,88.32,0.59,1.31,310000000.0,336000000.0,-26512500.0,777000000.0,1.55,-3.41,7.77,-0.27,3.1,3.36,中证500
553,300390,天华新能,88.32,0.59,1.31,310000000.0,336000000.0,-26512500.0,777000000.0,1.55,-3.41,7.77,-0.27,3.1,3.36,中证500
802,600330,天通股份,29.54,0.27,2.15,294000000.0,296000000.0,-2178800.0,775000000.0,1.55,-0.28,7.75,-0.02,2.94,2.96,
15,301669,高特电子,55.99,9.14,16.54,375000000.0,323000000.0,52291500.0,746000000.0,1.49,7.01,7.46,0.52,3.75,3.23,
1371,301526,国际复材,25.26,-0.39,1.98,297000000.0,357000000.0,-59676300.0,692000000.0,1.38,-8.62,6.92,-0.6,2.97,3.57,
1411,301526,国际复材,25.26,-0.39,1.98,297000000.0,357000000.0,-59676300.0,692000000.0,1.38,-8.62,6.92,-0.6,2.97,3.57,
63,600110,诺德股份,12.33,4.4,3.18,272000000.0,309000000.0,-36702300.0,681000000.0,1.36,-5.39,6.81,-0.37,2.72,3.09,
9,002585,双星新材,13.42,10.0,5.61,290000000.0,273000000.0,17682600.0,657000000.0,1.31,2.69,6.57,0.18,2.9,2.73,
72,000636,风华高科,63.49,3.95,0.9,96489700.0,71285800.0,25203900.0,657000000.0,1.31,3.84,6.57,0.25,0.96,0.71,中证1000
211,603011,合锻智能,29.64,2.21,4.46,249000000.00000003,276000000.0,-27289899.999999996,654000000.0,1.31,-4.17,6.54,-0.27,2.49,2.76,
1073,300136,信维通信,102.9,-0.1,0.73,155000000.0,181000000.0,-25622100.0,617000000.0,1.23,-4.15,6.17,-0.26,1.55,1.81,"中证500,创业板"
1251,300136,信维通信,102.9,-0.1,0.73,155000000.0,181000000.0,-25622100.0,617000000.0,1.23,-4.15,6.17,-0.26,1.55,1.81,"中证500,创业板"
2467,301308,江波龙,510.41,-0.82,0.41,252000000.0,180000000.0,72493800.0,604000000.0,1.21,12.0,6.04,0.72,2.52,1.8,"中证500,创业板"
823,601318,中国平安,52.31,0.25,0.1,250000000.0,256000000.0,-5921900.000000001,584000000.0,1.17,-1.01,5.84,-0.06,2.5,2.56,"沪深300,上证50"
1,300331,苏大维格,66.45,17.51,4.03,277000000.0,234000000.0,43799700.0,570000000.0,1.14,7.68,5.7,0.44,2.77,2.34,
201,002460,赣锋锂业,69.51,2.31,0.67,64053600.0,5665700.000000001,58387900.0,564000000.0,1.13,10.35,5.64,0.58,0.64,0.06,"沪深300,深证100"
651,600111,北方稀土,48.67,0.27,0.32,245000000.00000003,242000000.0,3096300.0,558000000.0,1.11,0.55,5.58,0.03,2.45,2.42,"沪深300,上证50"
803,600111,北方稀土,48.67,0.27,0.32,245000000.00000003,242000000.0,3096300.0,558000000.0,1.11,0.55,5.58,0.03,2.45,2.42,"沪深300,上证50"
350,002436,兴森科技,38.6,1.18,0.95,45499600.0,8604200.0,36895300.0,557000000.0,1.11,6.62,5.57,0.37,0.45,0.09,
281,002436,兴森科技,38.6,1.18,0.95,45499600.0,8604200.0,36895300.0,557000000.0,1.11,6.62,5.57,0.37,0.45,0.09,
80,002129,TCL中环,10.16,3.57,1.38,33502300.0,64119200.0,-30616900.0,557000000.0,1.11,-5.5,5.57,-0.31,0.34,0.64,
508,300221,银禧科技,17.04,0.65,6.83,206000000.0,198000000.0,7576300.0,549000000.0,1.1,1.38,5.49,0.08,2.06,1.98,
38,002137,实益达,11.42,5.84,9.99,34631100.0,25015800.0,9615300.0,465000000.00000006,0.93,2.07,4.65,0.1,0.35,0.25,
832,600519,贵州茅台,1259.0,0.24,0.03,183000000.0,170000000.0,13079300.0,459999999.99999994,0.92,2.84,4.6,0.13,1.83,1.7,"沪深300,上证50"
59,002669,康达新材,18.2,4.66,8.29,152000000.0,241000000.0,-88547099.99999999,459000000.0,0.92,-19.29,4.59,-0.89,1.52,2.41,
370,600118,中国卫星,80.71,1.08,0.48,211000000.0,199000000.0,11979200.0,459000000.0,0.92,2.61,4.59,0.12,2.11,1.99,中证500
374,600367,红星发展,56.14,1.06,2.58,172000000.0,166000000.0,6247600.0,459000000.0,0.92,1.36,4.59,0.06,1.72,1.66,
200,002421,达实智能,5.79,1.58,3.93,54934500.0,18507100.0,36427400.0,449000000.0,0.9,8.11,4.49,0.36,0.55,0.19,中证1000
2384,300666,江丰电子,222.38,-1.11,0.9,188000000.0,180000000.0,7720400.0,442000000.0,0.88,1.75,4.42,0.08,1.88,1.8,"中证1000,创业板"
39,300762,上海瀚讯,38.99,5.72,1.77,171000000.0,144000000.0,26767300.0,430999999.99999994,0.86,6.21,4.31,0.27,1.71,1.44,中证1000
131,002240,盛新锂能,48.31,3.05,0.96,34711200.0,20014900.0,14696300.000000002,424000000.0,0.85,3.47,4.24,0.15,0.35,0.2,
529,301217,铜冠铜箔,123.5,0.6,0.42,157000000.0,152000000.0,5425400.0,416000000.0,0.83,1.3,4.16,0.05,1.57,1.52,中证1000
466,301217,铜冠铜箔,123.5,0.6,0.42,157000000.0,152000000.0,5425400.0,416000000.0,0.83,1.3,4.16,0.05,1.57,1.52,中证1000
