序号,代码,名称,最新价,涨跌幅,换手率,流入资金,流出资金,净流入,成交额,占总成交比,净流入占比,成交额亿,净流入亿,流入亿,流出亿,指数标签
3371,300308,中际旭创,813.0,-1.14,1.95,8676000000.0,9015000000.0,-339000000.0,17691000000.0,3.92,-1.92,176.91,-3.39,86.76,90.15,"沪深300,创业板,深证100"
499,688825,长鑫科技,55.55,2.26,4.5,6061000000.0,5102000000.0,960000000.0,11163000000.0,2.47,8.6,111.63,9.6,60.61,51.02,
2456,300502,新易盛,384.76,-0.5,2.08,5016000000.0,5099000000.0,-83117000.0,10115000000.0,2.24,-0.82,101.15,-0.83,50.16,50.99,"沪深300,创业板,深证100"
1143,000977,浪潮信息,86.35,0.77,7.59,4651000000.0,4972000000.0,-321000000.0,9688000000.0,2.14,-3.31,96.88,-3.21,46.51,49.72,"沪深300,深证100"
1504,300750,宁德时代,349.5,0.35,0.62,5029000000.0,4207000000.0,822000000.0000001,9236000000.0,2.04,8.9,92.36,8.22,50.29,42.07,"沪深300,创业板,深证100"
3772,603986,兆易创新,383.2,-1.46,3.56,4556000000.0,4644000000.0,-87813000.0,9199000000.0,2.04,-0.95,91.99,-0.88,45.56,46.44,"沪深300,上证50"
3485,600183,生益科技,143.19,-1.23,2.64,4347000000.0,4716000000.0,-369000000.0,9063000000.0,2.01,-4.07,90.63,-3.69,43.47,47.16,"沪深300,上证50"
4989,600176,中国巨石,42.63,-3.4,5.2,3682000000.0,5162000000.0,-1480000000.0,8845000000.0,1.96,-16.73,88.45,-14.8,36.82,51.62,沪深300
4692,600487,亨通光电,65.29,-2.41,5.33,3638000000.0000005,4980000000.0,-1342000000.0,8618000000.0,1.91,-15.57,86.18,-13.42,36.38,49.8,
4641,002384,东山精密,179.16,-2.33,3.17,3647000000.0,4297000000.0,-650000000.0,7944000000.0,1.76,-8.18,79.44,-6.5,36.47,42.97,"沪深300,深证100"
79,600869,远东股份,21.05,7.95,16.72,3992000000.0,3626000000.0,366000000.0,7617000000.0,1.69,4.81,76.17,3.66,39.92,36.26,中证1000
