序号,代码,名称,最新价,涨跌幅,换手率,流入资金,流出资金,净流入,成交额,占总成交比,净流入占比,成交额亿,净流入亿,流入亿,流出亿,指数标签
176,688825,长鑫科技,58.76,2.07,1.51,1776000000.0000002,1371000000.0,405999999.99999994,3959000000.0000005,4.19,10.26,39.59,4.06,17.76,13.71,
206,688825,长鑫科技,58.76,2.07,1.51,1776000000.0000002,1371000000.0,405999999.99999994,3959000000.0000005,4.19,10.26,39.59,4.06,17.76,13.71,
40,300142,沃森生物,16.19,7.08,9.57,768000000.0,1098000000.0,-330000000.0,2428000000.0,2.57,-13.59,24.28,-3.3,7.68,10.98,中证500
131,300502,新易盛,424.58,2.55,0.45,793000000.0,984000000.0,-192000000.0,2417000000.0,2.56,-7.94,24.17,-1.92,7.93,9.84,"沪深300,创业板,深证100"
726,300308,中际旭创,905.51,0.14,0.19,713000000.0,880000000.0000001,-168000000.0,1955999999.9999998,2.07,-8.59,19.56,-1.68,7.13,8.8,"沪深300,创业板,深证100"
565,603986,兆易创新,404.76,0.31,0.7,911000000.0,739000000.0,172000000.0,1889000000.0,2.0,9.11,18.89,1.72,9.11,7.39,"沪深300,上证50"
3472,603259,药明康德,165.07,-1.69,0.45,830000000.0000001,811999999.9999999,17573000.0,1825000000.0,1.93,0.96,18.25,0.18,8.3,8.12,"沪深300,上证50"
23,600460,士兰微,35.89,9.99,3.04,521000000.0,628000000.0,-106000000.0,1746000000.0,1.85,-6.07,17.46,-1.06,5.21,6.28,沪深300
142,601318,中国平安,53.33,2.28,0.3,748000000.0,739000000.0,9011000.0,1676000000.0000002,1.77,0.54,16.76,0.09,7.48,7.39,"沪深300,上证50"
158,601318,中国平安,53.33,2.28,0.3,748000000.0,739000000.0,9011000.0,1676000000.0000002,1.77,0.54,16.76,0.09,7.48,7.39,"沪深300,上证50"
242,002384,东山精密,201.24,1.81,0.6,624000000.0,695000000.0,-71084000.0,1651000000.0000002,1.75,-4.31,16.51,-0.71,6.24,6.95,"沪深300,深证100"
3796,688836,宇树科技,674.0,-1.89,8.12,881000000.0,646000000.0,235000000.0,1620000000.0,1.71,14.51,16.2,2.35,8.81,6.46,
564,688256,寒武纪,1013.99,0.31,0.25,638000000.0,778000000.0,-141000000.0,1569000000.0,1.66,-8.99,15.69,-1.41,6.38,7.78,"沪深300,科创50,上证50"
4778,600276,恒瑞医药,47.88,-3.27,0.49,547000000.0,892000000.0,-345000000.0,1517000000.0,1.61,-22.74,15.17,-3.45,5.47,8.92,"沪深300,上证50"
