序号,代码,名称,最新价,涨跌幅,换手率,流入资金,流出资金,净流入,成交额,占总成交比,净流入占比,成交额亿,净流入亿,流入亿,流出亿,指数标签
5195,300308,中际旭创,947.0,-7.34,2.78,14415000000.0,12651000000.0,1764999999.9999998,28483999999.999996,10.28,6.2,284.84,17.65,144.15,126.51,"沪深300,创业板,深证100"
5185,300502,新易盛,426.56,-4.79,2.87,7505000000.0,7323000000.0,182000000.0,14900000000.0,5.38,1.22,149.0,1.82,75.05,73.23,"沪深300,创业板,深证100"
559,603259,药明康德,145.9,3.22,2.74,4896000000.0,4713000000.0,183000000.0,9964000000.0,3.6,1.84,99.64,1.83,48.96,47.13,"沪深300,上证50"
913,002384,东山精密,183.16,2.27,4.04,5080000000.0,4265999999.9999995,814000000.0,9864000000.0,3.56,8.25,98.64,8.14,50.8,42.66,"沪深300,深证100"
5085,300394,天孚通信,207.29,-2.22,2.81,3075000000.0,2799000000.0,276000000.0,6195000000.0,2.24,4.46,61.95,2.76,30.75,27.99,"沪深300,创业板,深证100"
113,688256,寒武纪,1145.97,6.28,0.84,2948000000.0,2710000000.0,238000000.0,5919000000.0,2.14,4.02,59.19,2.38,29.48,27.1,"沪深300,科创50,上证50"
171,603986,兆易创新,375.33,5.42,2.35,2761000000.0,2601000000.0,159000000.0,5827000000.0,2.1,2.73,58.27,1.59,27.61,26.01,"沪深300,上证50"
87,601138,工业富联,64.22,7.16,0.47,2694000000.0,2788000000.0,-94506000.0,5777000000.0,2.09,-1.64,57.77,-0.95,26.94,27.88,沪深300
2774,688825,长鑫科技,55.15,0.27,2.1,2377000000.0,2098999999.9999998,277000000.0,5428000000.0,1.96,5.1,54.28,2.77,23.77,20.99,
2749,688825,长鑫科技,55.15,0.27,2.1,2377000000.0,2098999999.9999998,277000000.0,5428000000.0,1.96,5.1,54.28,2.77,23.77,20.99,
600,600487,亨通光电,51.83,3.1,4.01,2186000000.0,2502000000.0,-316000000.0,4912000000.0,1.77,-6.43,49.12,-3.16,21.86,25.02,
49,000938,紫光股份,37.75,9.99,4.17,2420000000.0,1927000000.0,492000000.0,4371000000.0,1.58,11.26,43.71,4.92,24.2,19.27,"沪深300,深证100"
1779,600105,永鼎股份,34.65,1.05,6.93,1800000000.0,1605000000.0,195000000.0,3458000000.0,1.25,5.64,34.58,1.95,18.0,16.05,中证500
299,600584,长电科技,68.19,4.25,2.77,1552000000.0,1693000000.0,-141000000.0,3342000000.0,1.21,-4.22,33.42,-1.41,15.52,16.93,沪深300
415,600183,生益科技,116.4,3.72,1.17,1684000000.0,1489000000.0,195000000.0,3217000000.0,1.16,6.06,32.17,1.95,16.84,14.89,"沪深300,上证50"
800,300857,协创数据,247.08,2.52,2.67,1569000000.0,1526000000.0,42735000.0,3180000000.0,1.15,1.34,31.8,0.43,15.69,15.26,"中证500,创业板"
160,300209,行云科技,35.5,5.53,12.03,1559000000.0,1436000000.0,122000000.0,3165000000.0,1.14,3.85,31.65,1.22,15.59,14.36,
1680,300058,蓝色光标,15.9,1.15,5.79,1486000000.0,1489000000.0,-2329000.0,3165000000.0,1.14,-0.07,31.65,-0.02,14.86,14.89,"中证500,创业板"
5173,688498,源杰科技,1267.0,-3.65,2.02,1496000000.0,1417000000.0,79095400.0,3110000000.0,1.12,2.54,31.1,0.79,14.96,14.17,"中证500,科创50"
138,600176,中国巨石,38.29,5.8,2.06,1536000000.0,1377000000.0,159000000.0,3045000000.0,1.1,5.22,30.45,1.59,15.36,13.77,沪深300
124,300285,国瓷材料,63.85,6.1,5.71,1277000000.0,1384000000.0,-107000000.0,3035000000.0,1.1,-3.53,30.35,-1.07,12.77,13.84,"中证500,创业板"
720,601899,紫金矿业,33.0,2.74,0.45,1877000000.0,1074000000.0,802999999.9999999,3018000000.0,1.09,26.61,30.18,8.03,18.77,10.74,"沪深300,上证50"
1006,300750,宁德时代,403.23,2.06,0.18,1698000000.0,1211000000.0,487000000.0,3001000000.0,1.08,16.23,30.01,4.87,16.98,12.11,"沪深300,创业板,深证100"
459,000636,风华高科,56.2,3.44,4.64,1589000000.0,1359000000.0,229999999.99999997,2983000000.0,1.08,7.71,29.83,2.3,15.89,13.59,中证1000
565,600522,中天科技,30.9,3.21,2.71,1197000000.0,1452000000.0,-254999999.99999997,2796000000.0,1.01,-9.12,27.96,-2.55,11.97,14.52,沪深300
103,000977,浪潮信息,78.93,6.46,2.46,1489000000.0,1157000000.0,331000000.0,2787000000.0,1.01,11.88,27.87,3.31,14.89,11.57,"沪深300,深证100"
865,300476,胜宏科技,206.6,2.38,1.56,1286000000.0,1409000000.0,-122000000.0,2722000000.0,0.98,-4.48,27.22,-1.22,12.86,14.09,"沪深300,创业板,深证100"
5093,002281,光迅科技,168.4,-2.27,2.06,1361000000.0,1238000000.0,124000000.0,2715000000.0,0.98,4.57,27.15,1.24,13.61,12.38,中证500
5136,000988,华工科技,98.02,-2.61,2.68,1285000000.0,1251000000.0,34169000.0,2620000000.0,0.95,1.3,26.2,0.34,12.85,12.51,"沪深300,深证100"
85,301526,国际复材,32.13,7.17,5.68,1159000000.0,1138000000.0,21175000.0,2519000000.0,0.91,0.84,25.19,0.21,11.59,11.38,"中证500,创业板"
47,002428,云南锗业,82.71,10.0,4.5,495000000.0,1930000000.0,-1436000000.0,2428000000.0,0.88,-59.14,24.28,-14.36,4.95,19.3,中证1000
788,002463,沪电股份,114.62,2.55,1.12,1162000000.0,1099000000.0,63383000.0,2422000000.0,0.87,2.62,24.22,0.63,11.62,10.99,"沪深300,深证100"
317,001309,德明利,379.4,4.18,3.89,1193000000.0,1052999999.9999999,139000000.0,2381000000.0,0.86,5.84,23.81,1.39,11.93,10.53,中证500
593,002131,利欧股份,5.6,3.13,7.3,1157000000.0,1049000000.0,108000000.0,2340000000.0,0.84,4.62,23.4,1.08,11.57,10.49,
16,301396,宏景科技,194.73,10.23,8.7,1072000000.0000001,1173000000.0,-101000000.0,2331000000.0,0.84,-4.33,23.31,-1.01,10.72,11.73,
252,300408,三环集团,126.5,4.56,1.01,1022000000.0000001,992000000.0,29929000.0,2330000000.0,0.84,1.28,23.3,0.3,10.22,9.92,"沪深300,创业板,深证100"
520,002156,通富微电,57.45,3.33,2.73,1052000000.0,1104000000.0,-51550000.0,2318000000.0,0.84,-2.22,23.18,-0.52,10.52,11.04,
498,002156,通富微电,57.45,3.33,2.73,1052000000.0,1104000000.0,-51550000.0,2318000000.0,0.84,-2.22,23.18,-0.52,10.52,11.04,
209,600667,太极实业,18.01,5.01,6.1,1083000000.0,1121000000.0,-37751000.0,2278000000.0,0.82,-1.66,22.78,-0.38,10.83,11.21,中证1000
41,603629,利通电子,112.65,10.0,5.6,1237000000.0,1013000000.0000001,225000000.0,2255000000.0,0.81,9.98,22.55,2.25,12.37,10.13,
190,301308,江波龙,353.5,5.19,2.28,1033000000.0,1072000000.0000001,-39102000.0,2239000000.0,0.81,-1.75,22.39,-0.39,10.33,10.72,"沪深300,创业板,深证100"
141,300604,长川科技,260.03,5.78,1.69,1085000000.0,1003999999.9999999,81055000.0,2135000000.0000002,0.77,3.8,21.35,0.81,10.85,10.04,创业板
260,002371,北方华创,717.81,4.48,0.41,1003999999.9999999,925000000.0,78995500.0,2091000000.0,0.75,3.78,20.91,0.79,10.04,9.25,"沪深300,深证100"
706,688008,澜起科技,208.87,2.77,0.88,983000000.0,850000000.0,132000000.0,2082000000.0,0.75,6.34,20.82,1.32,9.83,8.5,"沪深300,科创50,上证50"
204,688012,中微公司,333.8,5.05,0.65,935000000.0,896000000.0000001,38965200.0,2062000000.0,0.74,1.89,20.62,0.39,9.35,8.96,"沪深300,科创50,上证50"
367,603019,中科曙光,88.91,3.93,1.6,1153000000.0,844000000.0,309000000.0,2054000000.0,0.74,15.04,20.54,3.09,11.53,8.44,"沪深300,上证50"
1983,603083,剑桥科技,150.0,0.88,5.0,952000000.0,1009000000.0,-57017000.0,1992000000.0000002,0.72,-2.86,19.92,-0.57,9.52,10.09,
44,600206,有研新材,39.81,10.0,5.94,1015000000.0,923000000.0,91624000.0,1947000000.0,0.7,4.71,19.47,0.92,10.15,9.23,
59,688146,中船特气,277.01,9.45,4.92,1003999999.9999999,853999999.9999999,149000000.0,1932000000.0,0.7,7.71,19.32,1.49,10.04,8.54,中证1000
296,301171,易点天下,39.2,4.26,9.82,923000000.0,924000000.0,-622000.0,1930999999.9999998,0.7,-0.03,19.31,-0.01,9.23,9.24,中证1000
