date,turnover_trillion,margin_buy,is_simulated
2023-07-13,0.9207926504105108,63384694139.0,False
2023-07-14,0.9225754588275168,64983684208.0,False
2023-07-17,0.8025765000180596,56766927046.0,False
2023-07-18,0.777128576971102,51329827181.0,False
2023-07-19,0.7024544976218686,46067137033.0,False
2023-07-20,0.7856200027249338,50549685092.0,False
2023-07-21,0.7109570897812952,43187951421.0,False
2023-07-24,0.6589234303440495,41144107379.0,False
2023-07-25,0.948122059035588,66305725805.0,False
2023-07-26,0.7921579373308537,52809449898.0,False
2023-07-27,0.7800193819902317,51504803125.0,False
2023-07-28,0.948306731327518,69434559970.0,False
2023-07-31,1.1051943732469356,84837089696.0,False
2023-08-01,0.9566781833609296,67398378954.0,False
2023-08-02,0.8360151120025592,61024294327.0,False
2023-08-03,0.8328752225355699,61938750478.0,False
2023-08-04,1.049160176339837,86321074806.0,False
2023-08-07,0.890076636692024,66731858990.0,False
2023-08-08,0.7988947883599767,57611177054.0,False
2023-08-09,0.7365768813555074,49238215402.0,False
2023-08-10,0.6941348934415663,47820933192.0,False
2023-08-11,0.7634910107548301,52814658666.0,False
2023-08-14,0.7419606440905183,49032942027.0,False
2023-08-15,0.706496281957845,47077915778.0,False
2023-08-16,0.7042336402735943,47069982224.0,False
2023-08-17,0.7398193001379966,50637785122.0,False
2023-08-18,0.7446738832035789,48496482135.0,False
2023-08-21,0.6782620731774078,43178709558.0,False
2023-08-22,0.8183794059383487,53977595581.0,False
2023-08-23,0.7059160482172108,44289328706.0,False
2023-08-24,0.7857312837540608,50433443635.0,False
2023-08-25,0.7662920614622979,44276587305.0,False
2023-08-28,1.1266486562900313,85601483294.0,False
2023-08-29,1.0371059025594471,72950046572.0,False
2023-08-30,0.984349402587942,68486669155.0,False
2023-08-31,0.8291999514375671,53709492667.0,False
2023-09-01,0.7453620207513364,48963978188.0,False
2023-09-04,0.8848615376833396,60650452778.0,False
2023-09-05,0.8038564143705174,55304201559.0,False
2023-09-06,0.7712798765396716,53706094759.0,False
2023-09-07,0.7668346727695071,50599139809.0,False
2023-09-08,0.6818092379397047,46231342960.0,False
2023-09-11,0.8411592740197443,85804238540.0,False
2023-09-12,0.7083082068000747,62340889329.0,False
2023-09-13,0.6981884131048681,58578584002.0,False
2023-09-14,0.665865596965679,51852140556.0,False
2023-09-15,0.7217341029882891,57911349255.0,False
2023-09-18,0.6985454312613408,53842331539.0,False
2023-09-19,0.6349649534915708,46098864808.0,False
2023-09-20,0.5732625466012174,41302915809.0,False
2023-09-21,0.5790264234833018,21463901693.0,False
2023-09-22,0.7654583699973873,30926857859.0,False
2023-09-25,0.7179116990578541,27936536825.0,False
