date,code,close,open,high,low,volume
2011-08-02,sh000985,3457.892,3463.564,3463.564,3409.935,10547328800.0
2011-08-03,sh000985,3462.98,3426.665,3476.433,3420.98,10060691200.0
2011-08-04,sh000985,3473.524,3469.786,3494.593,3462.344,9395642400.0
2011-08-05,sh000985,3400.429,3374.547,3423.336,3357.108,11845663200.0
2011-08-08,sh000985,3257.112,3358.377,3379.722,3201.074,16112387200.0
2011-08-09,sh000985,3256.304,3166.637,3273.856,3123.154,15244555200.0
2011-08-10,sh000985,3294.261,3308.799,3334.331,3290.025,14195422400.0
2011-08-11,sh000985,3348.175,3234.276,3348.459,3231.048,14194828800.0
2011-08-12,sh000985,3370.212,3366.344,3388.402,3361.43,14504891200.0
2011-08-15,sh000985,3419.895,3378.013,3419.895,3370.05,13953848000.0
2011-08-16,sh000985,3395.637,3423.581,3433.886,3385.312,12750372000.0
2011-08-17,sh000985,3384.14,3389.335,3407.652,3376.539,10615476800.0
2011-08-18,sh000985,3323.582,3383.378,3386.13,3321.945,10645816800.0
2011-08-19,sh000985,3292.86,3263.708,3293.252,3258.508,10283692000.0
2011-08-22,sh000985,3263.782,3293.281,3319.693,3252.951,8854046400.0
2011-08-23,sh000985,3316.38,3274.339,3316.453,3263.807,8964928000.0
2011-08-24,sh000985,3307.902,3331.531,3346.73,3302.343,9996809600.0
2011-08-25,sh000985,3397.274,3314.869,3397.274,3309.364,14691651200.0
2011-08-26,sh000985,3400.345,3383.265,3407.093,3374.494,11371371200.0
2011-08-29,sh000985,3356.705,3377.472,3377.472,3350.654,10936540800.0
2011-08-30,sh000985,3336.009,3377.483,3404.702,3334.054,11097772800.0
2011-08-31,sh000985,3331.982,3336.624,3349.099,3302.947,8777135200.0
2011-09-01,sh000985,3313.778,3336.381,3355.393,3302.588,8184382400.0
2011-09-02,sh000985,3276.955,3307.083,3315.113,3259.726,7649416000.0
2011-09-05,sh000985,3203.01,3249.609,3249.609,3202.646,7847901600.0
2011-09-06,sh000985,3179.7,3182.41,3204.308,3165.302,6920272000.0
2011-09-07,sh000985,3249.364,3194.134,3249.364,3189.092,8703726400.0
2011-09-08,sh000985,3219.831,3259.938,3260.433,3219.748,7925957600.0
2011-09-09,sh000985,3208.336,3227.91,3257.137,3194.88,7022000800.0
2011-09-13,sh000985,3165.217,3165.2,3172.999,3142.473,6907260800.0
2011-09-14,sh000985,3189.476,3174.305,3189.81,3120.966,7515724800.0
2011-09-15,sh000985,3188.574,3191.412,3215.311,3185.787,7899387200.0
2011-09-16,sh000985,3192.084,3202.563,3216.429,3188.032,7047296000.0
2011-09-19,sh000985,3129.022,3176.888,3176.888,3128.649,7042309600.0
2011-09-20,sh000985,3143.218,3122.693,3156.101,3109.696,6682438800.0
2011-09-21,sh000985,3236.144,3144.041,3241.657,3131.418,12426673600.0
2011-09-22,sh000985,3139.471,3208.575,3219.635,3139.07,10829951200.0
2011-09-23,sh000985,3117.811,3089.195,3129.337,3075.692,9562758400.0
2011-09-26,sh000985,3057.857,3096.713,3130.332,3048.823,8489074400.0
2011-09-27,sh000985,3080.886,3081.323,3094.378,3052.285,8010486400.0
2011-09-28,sh000985,3039.791,3097.833,3104.089,3030.703,8078711200.0
2011-09-29,sh000985,2981.468,3021.198,3022.444,2979.473,8702795200.0
2011-09-30,sh000985,2972.772,2987.428,3001.103,2955.896,6897920800.0
2011-10-10,sh000985,2950.187,2980.448,2989.342,2943.518,5967725600.0
2011-10-11,sh000985,2943.765,3021.647,3036.513,2914.308,9054624000.0
2011-10-12,sh000985,3049.376,2929.724,3051.174,2909.394,12944710400.0
2011-10-13,sh000985,3079.313,3042.171,3087.715,3034.073,12894335200.0
2011-10-14,sh000985,3067.602,3071.53,3080.768,3039.942,8984188800.0
2011-10-17,sh000985,3080.959,3073.489,3101.337,3064.11,8729122400.0
2011-10-18,sh000985,2992.026,3060.25,3063.024,2989.018,9591469600.0
2011-10-19,sh000985,2979.855,2998.209,3014.287,2974.363,7646480000.0
2011-10-20,sh000985,2901.724,2964.466,2964.466,2878.55,9047486400.0
2011-10-21,sh000985,2871.394,2900.416,2913.114,2868.382,6880790400.0
2011-10-24,sh000985,2938.164,2877.941,2938.289,2845.999,9772340800.0
2011-10-25,sh000985,3003.89,2934.433,3011.315,2922.836,12964672000.0
2011-10-26,sh000985,3033.196,2987.822,3063.091,2983.681,15552582400.0
2011-10-27,sh000985,3038.43,3038.972,3060.827,3026.448,12028970400.0
2011-10-28,sh000985,3100.589,3076.415,3108.147,3068.396,15987795200.0
2011-10-31,sh000985,3100.438,3096.793,3109.226,3078.954,12821884800.0
2011-11-01,sh000985,3102.531,3074.058,3126.692,3067.523,13160457600.0
2011-11-02,sh000985,3155.777,3056.823,3156.173,3047.444,15748428800.0
2011-11-03,sh000985,3164.567,3167.057,3206.001,3163.821,20868233600.0
