trade_date,index_code,index_name,stock_count,coverage,total_vol,top5_vol,vol_concentration_pct,total_amount,top5_amount,amount_concentration_pct
20230815,000905,中证500,409,95.3,86313055.27,39673231.38,45.96434601451225,92783700.898,29990461.246,32.322984485140815
20230815,000852,中证1000,725,93.9,78561288.18,26147698.56,33.283184588432746,92766028.227,26229691.385,28.275104460455623
20230815,399330,深证100,98,98.0,33273082.28,11787733.5,35.42723634920185,81953605.66,25550608.462,31.17691803335844
20230816,000001,上证指数,420,97.0,62393871.82,24376293.55,39.06840982768811,80187686.561,30683181.934,38.26420645102267
20230816,399001,深证成指,391,93.1,47045894.48,19708901.69,41.892925850051775,80317711.922,33766538.418,42.04121059971447
20230816,000300,沪深300,285,99.0,100809294.44,27993889.94,27.76915570682969,185240811.328,53975919.886,29.138244158532945
20230816,000016,上证50,49,98.0,27165529.29,7010471.82,25.806498173332663,49082991.649,8611558.372000001,17.544893012191626
20230816,399006,创业板,95,95.0,15791489.7,6886531.55,43.609131759114526,51692413.708,20042842.779,38.77327704645012
20230816,000688,科创50,47,94.0,2883538.93,962011.08,33.362167231083646,13521187.525,3926899.985,29.042567287372933
20230816,STAR,科创板,83,95.4,2257779.6,1401060.15,62.05477939476466,7305552.383,2593507.605,35.500499743661884
20230816,000905,中证500,410,95.6,99482434.71,54336146.59,54.61883472031482,102359360.754,40594914.96,39.6592110980076
20230816,000852,中证1000,725,93.9,74935659.52,26359018.43,35.175534049933724,86700167.514,24732957.657,28.52700100378264
20230816,399330,深证100,98,98.0,31350332.99,9770769.68,31.16639840194565,77433282.801,23758693.323,30.68279228721163
20230817,000001,上证指数,420,97.0,64855957.06,23015033.66,35.486383523271684,85741536.139,32064053.186,37.396172998369565
20230817,399001,深证成指,391,93.1,48788893.08,18933874.18,38.807755176887895,81788415.409,31023985.714,37.93200486750856
20230817,000300,沪深300,285,99.0,104655677.58,27238996.29,26.02725138268605,189212608.718,54506510.894,28.807018339478525
20230817,000016,上证50,49,98.0,27894165.94,6675827.119999999,23.93270024405684,51144860.799,9166339.024,17.92230711121463
20230817,399006,创业板,95,95.0,15715544.59,7091099.48,45.121563808308345,52639748.859,22141373.139,42.06207973808449
20230817,000688,科创50,47,94.0,2878922.52,858840.2999999999,29.832004648739208,13389656.386,3734799.561,27.89316957308213
20230817,STAR,科创板,83,95.4,2107410.39,1178115.31,55.90345931624642,7249187.123,2226598.168,30.71514268041885
20230817,000905,中证500,410,95.6,104608648.44,55826033.09,53.36655613328178,108153331.443,42037723.709,38.86863506479698
20230817,000852,中证1000,725,93.9,80123627.31,25104800.39,31.33258095376661,94884548.082,25708196.943,27.09418705433762
20230817,399330,深证100,98,98.0,32740365.23,10200487.72,31.155693127861912,80348981.753,22873224.236,28.46734798247269
20230818,000001,上证指数,420,97.0,68414122.85,24631364.63,36.003333235748705,88741359.24,34186847.72,38.52414253374468
20230818,399001,深证成指,391,93.1,47741757.8,17545797.8,36.75147000976156,83814883.456,34590686.459,41.270338909626894
20230818,000300,沪深300,285,99.0,103359614.45,27769647.51,26.86701924902546,182126049.49,51454543.875,28.25216053337017
20230818,000016,上证50,49,98.0,28096521.01,7568340.27,26.936930260178144,49267556.678,10057867.775,20.41478906846471
20230818,399006,创业板,95,95.0,15687207.33,6684442.15,42.610784758462174,50579602.011,19227916.999,38.015160725895655
20230818,000688,科创50,47,94.0,2942252.31,834752.25,28.371198729724167,12604275.28,2815627.845,22.338673049038647
20230818,STAR,科创板,83,95.4,2581667.27,1609041.01,62.32565399490849,7695158.172,2743412.751,35.651154786945426
20230818,000905,中证500,410,95.6,90278022.6,40214954.5,44.54567495145823,96456420.449,31791833.733,32.95979011558851
20230818,000852,中证1000,725,93.9,85214372.99,27441283.0,32.20264614658406,98125350.65,27104058.264,27.621871498504547
20230818,399330,深证100,98,98.0,30599755.82,8939806.54,29.215287182641315,79007852.61,21632920.645,27.380722207177072
20230821,000001,上证指数,420,97.0,65489002.27,24555467.66,37.495559267740845,86540608.806,37376507.188,43.18955887147472
20230821,399001,深证成指,391,93.1,48461541.27,18672962.16,38.53150698605505,80926262.823,34510044.834,42.643813800569966
20230821,000300,沪深300,285,99.0,103113846.1,28789137.94,27.919759594730127,177648845.563,49056862.871,27.61451261646553
20230821,000016,上证50,49,98.0,30361437.04,8072735.06,26.588777894025533,52965667.261,11412222.819,21.54645340870296
20230821,399006,创业板,95,95.0,15166899.42,6936721.89,45.73592596554583,47395249.076,18700458.068,39.456397914510674
20230821,000688,科创50,47,94.0,2755122.26,998990.62,36.25939343976699,11107719.219,2338803.179,21.05565627729791
20230821,STAR,科创板,83,95.4,1837475.9,1066299.06,58.03064192569819,5808577.816,1757729.4640000002,30.26092650697133
20230821,000905,中证500,410,95.6,82180618.56,33127755.23,40.31091005455679,85672336.046,24721138.189,28.85545011370589
20230821,000852,中证1000,725,93.9,72636545.8,20915774.17,28.795111248255417,83482619.546,21592598.823,25.86478352072098
20230821,399330,深证100,98,98.0,30463248.99,9445578.07,31.00646970748474,73872544.015,19198883.016,25.989199738541046
20230822,000001,上证指数,420,97.0,73881313.6,28083615.63,38.011797925043936,99506783.476,41164025.423,41.36805952825149
20230822,399001,深证成指,391,93.1,55664634.05,20063078.55,36.0427745415134,97031099.123,40053437.865,41.27896955410849
20230822,000300,沪深300,285,99.0,126447780.39,41792735.2,33.05137905236424,216526216.846,60363137.261,27.877980846971568
20230822,000016,上证50,49,98.0,42841053.27,15846534.14,36.98913292380872,64628590.754,15826196.575,24.487918412518507
20230822,399006,创业板,95,95.0,16359577.29,6268032.48,38.31414692989296,54556964.432,20167696.67,36.966310131013785
20230822,000688,科创50,47,94.0,3530112.94,1010580.03,28.627413546717857,15596187.016,3944922.043,25.294144260728192
20230822,STAR,科创板,83,95.4,1961195.21,957104.53,48.80210420256941,7201069.3610000005,1909727.773,26.520058025587456
20230822,000905,中证500,410,95.6,94514649.6,39063700.49,41.33084199679454,105477565.003,33431306.606,31.69518238788423
20230822,000852,中证1000,725,93.9,87667701.94,23652169.32,26.97934221680364,102406863.008,24892936.767,24.307879409464352
20230822,399330,深证100,98,98.0,35716784.57,11446831.34,32.0488853568713,85496715.42999999,21569422.741,25.2283641921424
20230823,000001,上证指数,421,97.2,64133103.09,25696921.43,40.06810865511794,84955030.346,35797520.489,42.13702277923497
20230823,399001,深证成指,391,93.1,46313326.08,16938369.67,36.57342519675927,79650229.972,32673157.11,41.02079444276033
20230823,000300,沪深300,285,99.0,100596656.07,29659625.48,29.483709139756503,167441635.716,43561238.03,26.015774298744194
20230823,000016,上证50,49,98.0,31141557.39,9695466.48,31.133531180150143,46945843.479,9472654.31,20.17783387838658
20230823,399006,创业板,95,95.0,13858170.78,6055145.85,43.69368761668559,43177240.812,14506658.86,33.597929342368374
20230823,000688,科创50,47,94.0,2622809.26,812437.9299999999,30.975867837221223,11372604.903,2676950.76,23.53858929271201
20230823,STAR,科创板,83,95.4,1635573.4,765544.09,46.805853531244765,6125984.799,1866338.597,30.465935816632445
20230823,000905,中证500,410,95.6,85645792.46,38666776.16,45.14731552990059,91146075.261,33355402.646,36.59554462491735
20230823,000852,中证1000,725,93.9,80186667.16,25070584.05,31.26527755540152,94717892.488,27852241.078,29.40546959649536
20230823,399330,深证100,98,98.0,29715702.61,9054326.47,30.469838081341607,68539501.98,15698043.125,22.90364340490937
20230824,000001,上证指数,421,97.2,81259612.77,37550894.6,46.2110183890309,100598796.51,44165536.875,43.90264934293696
20230824,399001,深证成指,391,93.1,56291617.68,20549776.7,36.505926720420376,99115211.105,39949592.397,40.30621733194764
20230824,000300,沪深300,285,99.0,126641598.58,37989730.41,29.99782917774979,205266285.531,53379386.091,26.00494569915061
20230824,000016,上证50,49,98.0,34807636.26,10850431.87,31.17256164409252,54199499.898,12288369.367,22.672477403160407
20230824,399006,创业板,95,95.0,20764017.54,10760267.76,51.82170425001481,58290657.793,19697041.383,33.791077556454304
20230824,000688,科创50,47,94.0,3389812.02,1285004.28,37.90783301311203,13030388.581,2707213.144,20.77615051286704
20230824,STAR,科创板,83,95.4,1628258.41,641113.61,39.3741930680401,6459457.479,1554043.157,24.05841608296467
20230824,000905,中证500,410,95.6,91479735.52,38050702.41,41.59467907696461,103659658.007,36265672.548,34.985329148540146
20230824,000852,中证1000,725,93.9,89930215.01,28583976.27,31.78461907026636,107122710.226,32864688.382,30.67947806087465
20230824,399330,深证100,98,98.0,35248797.28,9440798.85,26.78332192445233,85296470.987,20162672.485,23.63834312450393
20230825,000001,上证指数,421,97.2,72149082.67,26978442.13,37.39263360200391,89937343.133,34177643.589,38.00161578984811
20230825,399001,深证成指,391,93.1,57914849.01,21286037.02,36.75402316308309,95519331.749,36185523.16,37.882931651036
20230825,000300,沪深300,285,99.0,110848679.94,31205798.76,28.151709859685315,188182076.756,49187508.953,26.13825386610933
20230825,000016,上证50,49,98.0,30894910.02,9176473.91,29.70221924601676,50120941.815,9160428.027,18.27664783477493
20230825,399006,创业板,95,95.0,19384812.03,8522883.58,43.966810546369786,55966960.635,18999924.982,33.94846667824595
20230825,000688,科创50,47,94.0,3167245.21,940810.03,29.704363496377344,13305164.043,3339007.122,25.09557275061701
20230825,STAR,科创板,83,95.4,1844165.79,767764.08,41.63205304876629,6658922.755,1472054.864,22.1065015793234
20230825,000905,中证500,410,95.6,86158043.16,32296711.57,37.48542838887754,94465280.114,27343386.424,28.945435181055096
20230825,000852,中证1000,725,93.9,93714771.55,28572028.72,30.48828722242134,104794717.305,28439142.697,27.13795449653176
20230825,399330,深证100,98,98.0,36146835.89,9874921.08,27.318908659255264,83725918.867,20953473.501,25.02626878814545
20230828,000001,上证指数,421,97.2,127818798.8,51838847.92,40.55651313161926,161635292.76,69386834.479,42.92802227421165
20230828,399001,深证成指,391,93.1,93386677.31,41038734.96,43.944956756273314,150441262.535,67557544.284,44.906259855591685
20230828,000300,沪深300,285,99.0,200982158.06,58974730.22,29.343266481591883,339842903.41,102907801.282,30.2809916727459
20230828,000016,上证50,49,98.0,56707074.15,14066299.98,24.80519439742599,99696243.072,25537161.394,25.614968635836384
20230828,399006,创业板,96,96.0,31933377.59,17404782.25,54.50341793926097,90497244.167,42384886.207,46.83555460405472
20230828,000688,科创50,47,94.0,4628749.55,1512535.16,32.67697125674039,18046885.331,3703841.7,20.52344009543704
20230828,STAR,科创板,83,95.4,2642258.97,1259635.22,47.6726632136289,8905268.57,2010104.132,22.572077598778133
20230828,000905,中证500,411,95.8,160422406.55,68339597.83,42.59978347145672,159871884.729,47036742.653,29.42152257273524
20230828,000852,中证1000,725,93.9,134923675.48,40630364.47,30.113591499382714,144250277.933,36400180.966,25.23404563761521
20230828,399330,深证100,98,98.0,61992652.16,23353316.87,37.67110464918686,138980250.177,44589146.996,32.08308154519289
20230829,000001,上证指数,421,97.2,104820815.96,38891895.43,37.10321759452941,130382973.315,48594831.842,37.27084189482077
20230829,399001,深证成指,391,93.1,83270274.5,34223435.72,41.09922289255813,136405800.922,55621262.298,40.776317372166254
20230829,000300,沪深300,285,99.0,156585001.35,43331629.53,27.6729119369133,269184239.375,73158308.948,27.177783185918
20230829,000016,上证50,49,98.0,42951774.42,11484881.84,26.739016012926804,71932630.084,14582826.045000002,20.272894273392712
20230829,399006,创业板,96,96.0,28136238.77,13568077.93,48.22278500304325,82199242.874,30815236.686,37.48846778702752
20230829,000688,科创50,47,94.0,5326783.25,1834718.6,34.44327493520597,20872338.377,4997158.025,23.941534171880583
20230829,STAR,科创板,83,95.4,3591616.89,1980173.22,55.13319712671248,10593017.278,2790531.671,26.34312394444487
20230829,000905,中证500,411,95.8,130443606.7,51322397.93,39.34451003645854,140770362.828,39159825.327,27.818231437569963
