trade_date,industry,stock_count,total_vol,top5_vol,vol_concentration_pct,total_amount,top5_amount,amount_concentration_pct,vol_market_share_pct,amount_market_share_pct
20230809,仓储物流,44,3337129.62,1130802.77,33.8854913882548,2685722.633,1009960.878,37.60480943156278,0.5492885315539845,0.3688261471340064
20230809,医疗保健,171,10043344.93,3398433.78,33.83766866204803,22310445.323,8400357.995,37.65213053071608,1.653125535018881,3.063859047922021
20230809,专用机械,255,12255045.4,5248633.9,42.82835133356585,22499939.885,9308039.947,41.3691769603588,2.0171694415314354,3.0898820438734824
20230809,电气设备,309,22094279.95,7708038.92,34.887033827051695,39807449.274,15885947.06,39.90697055381494,3.6366985917311,5.466695615757511
20230809,饲料,22,1412620.64,537400.56,38.042808152654494,1312880.543,372297.062,28.35726860185482,0.2325160857816633,0.1802958601800978
20230809,环境保护,116,7354649.17,2899146.51,39.41923595520736,5768939.669,1838479.896,31.868592869488023,1.2105686331368903,0.7922395875962372
20230809,农用机械,12,743254.67,337226.25,45.371561540272594,452391.739,113001.852,24.97876116168425,0.1223390496455877,0.0621262598156847
20230809,工程机械,34,5566455.24,1965953.15,35.31786505481718,5101268.513,2233315.986,43.779620310294376,0.916233521891362,0.7005493374586357
20230809,橡胶,13,569798.1900000001,141516.0,24.836161729471268,609930.922,141188.32,23.148247597782884,0.0937882691734396,0.0837608728522608
20230809,建筑工程,123,20193907.97,8014640.399999999,39.68840707755291,15552081.364,4065042.494,26.138253773605964,3.323899074431997,2.1357433485197514
20230809,元器件,277,21163973.93,9216924.84,43.550067064366296,30044459.215,11330585.79,37.71273002092542,3.483571058248708,4.125959247927017
20230809,化学制药,144,16928324.57,5382729.85,31.797180091520417,28386949.959,12339174.491,43.46777131330343,2.786386986288095,3.89833605809428
20230809,电器仪表,94,3738525.87,1376702.99,36.824754940106914,6116334.183,2103500.698,34.391526608316454,0.6153579929894608,0.8399467404346482
20230809,供气供热,43,2271951.57,561639.33,24.720567877245728,1890287.121,520466.25,27.533714017194534,0.3739611833378738,0.2595902150315101
20230809,矿物制品,31,1485046.86,399458.69,26.898726279923583,3178373.546,1087713.484,34.2223300143211,0.2444373763996184,0.4364811372253978
20230809,机床制造,22,1478353.13,521353.66,35.265840712901934,1334946.484,489879.743,36.696582887138426,0.2433355944669409,0.1833261418264291
20230809,造纸,31,2973405.25,1629237.5,54.79365787761356,1869335.703,962585.771,51.49346740958277,0.4894198276563821,0.2567129891098957
20230809,软件服务,266,34254028.53,9751152.91,28.467171099188665,62537797.212,20654569.463,33.02733768025446,5.638182262471419,8.588219242202651
20230809,汽车配件,228,22812295.12,11347283.29,49.74196252639045,26438347.543,9600269.455,36.311911852228576,3.754883242395879,3.630737493537188
20230809,IT设备,74,10840498.24,3764652.28,34.72766838436385,21145344.244,10196514.43,48.221085040472985,1.7843362522919182,2.9038575136201565
20230809,化工原料,236,11390000.64,4175105.13,36.65588143461245,18042249.873,7798644.439999999,43.224345604871445,1.8747838527004963,2.477714349398197
20230809,航空,51,1954949.16,579096.19,29.62205881609729,4903779.815,1847294.39,37.67082658053642,0.3217828719997683,0.6734285191392514
20230809,机械基件,119,4167145.73,1179008.46,28.29295005240913,6358086.551,1553737.452,24.437186243644767,0.6859084361257615,0.8731462202894849
20230809,家居用品,65,2678684.68,1408988.95,52.60003017600414,2696941.993,959849.477,35.59029002074647,0.4409090871254065,0.3703668845397478
20230809,运输设备,47,3037560.42,1176915.55,38.7454202474761,2727127.186,867423.015,31.807207945893,0.4999797108894752,0.3745121705413223
20230809,半导体,164,6996296.39,2217341.64,31.693077542702564,24379719.903,7850264.807,32.19997948390703,1.1515840881180823,3.348029334654582
20230809,批发业,5,202851.13,119980.57,59.147104578613884,162735.341,53211.621,32.69825759605591,0.0333891134027231,0.022348193400941
20230809,铁路,7,1392754.41,493418.61,35.427538872413265,724192.008,266867.485,36.850376979029015,0.2292461222061359,0.0994521715734744
20230809,乳制品,20,1391393.6,286554.9,20.594812280292217,2377592.256,631168.052,26.54652202904887,0.2290221341050612,0.3265110776746879
20230809,日用化工,17,706567.53,136345.7,19.296909949994447,2069223.363,763653.343,36.90531223718838,0.1163003794253056,0.2841632531809406
20230809,影视音像,34,9979296.37,1915724.67,19.196991440790327,9572059.269,1752170.4819999998,18.305052578127743,1.6425831996958231,1.3145161369028178
20230809,黄金,10,2564351.29,758598.16,29.58245864980535,3088559.954,684679.166,22.168232969325093,0.4220899140479492,0.4241471751510551
20230809,啤酒,8,582908.97,206360.0,35.40175406804942,1012099.885,242579.826,23.96797288441545,0.0959462917598464,0.1389901162959448
20230809,文教休闲,51,2789375.42,957789.26,34.33705098039474,3332824.513,794328.819,23.83350266123058,0.4591286832917741,0.4576916503214951
20230809,摩托车,12,1435352.05,938480.91,65.38332599309,1011947.968,392220.717,38.758980639605376,0.2362576554061155,0.1389692537686288
20230809,港口,16,1980640.55,405770.86,20.48685007484069,765552.476,108503.677,14.173251397073397,0.3260116516678115,0.1051321408557303
20230809,火力发电,31,8672193.379999999,2168227.93,25.00207081406204,4137693.783,791373.987,19.12596795469531,1.4274352241230548,0.5682231058609177
20230809,房产服务,13,1724319.16,668474.58,38.76745068470967,1389087.217,514382.534,37.03025466686733,0.283821381600035,0.1907612051907705
20230809,路桥,19,1394208.68,146102.42,10.479236149928433,701906.11,94091.074,13.405079776268082,0.2294854937390831,0.0963916835715619
20230809,全国地产,26,23472255.12,14666346.53,62.48375562986808,9409995.118,3382136.007,35.9419528340716,3.863512064336684,1.292260116989434
20230809,服饰,65,3626388.28,1351572.78,37.27049272285868,2822221.544,668892.487,23.70092058938658,0.5969002466154669,0.3875713320661832
20230809,农药化肥,55,3864683.98,1514942.19,39.19963955241691,3493052.43,903536.511,25.86667475243136,0.6361235043349645,0.4796955030515911
20230809,家用电器,87,6382663.96,2477383.94,38.81426243846934,7719828.636,2897055.951,37.52746450212784,1.050580742497781,1.060152160675727
20230809,生物制药,74,6193890.08,2065274.03,33.343730730203724,13831889.793,3557606.353,25.720320261663904,1.0195087317735028,1.8995120930398697
20230809,小金属,60,5493355.38,1239157.37,22.55738586495746,8979179.194,1892531.079,21.076882843195875,0.90420135073578,1.2330968305723973
20230809,证券,50,57727929.77,18310552.72,31.71870668661257,56259459.219,13998739.579,24.882463808454684,9.50196527667836,7.726024768391087
