trade_date,ts_code,industry,name,close,pct_chg,amount,limit_amount,float_mv,total_mv,turnover_ratio,fd_amount,first_time,last_time,open_times,up_stat,limit_times,limit
20260813,601579.SH,非白酒,会稽山,17.45,10.03,325595200.0,,8366636487.05,8366636469.6,4.01,69933876.0,95541,95541,0,1/1,1.0,U
20260813,601789.SH,房屋建设,宁波建工,4.73,5.82,932495936.0,,5140557330.7,7210373554.56,17.77,,94909,,5,0/0,,Z
20260813,601886.SH,装修装饰,江河集团,11.53,10.02,499265088.0,,13063513751.8,13063513797.92,4.03,11568890.0,101014,132556,3,3/4,2.0,U
20260813,601991.SH,电力,大唐发电,6.92,10.02,5966665984.0,,85780936613.52,128066436853.76,7.24,377052579.0,134501,134501,0,1/1,1.0,U
20260813,601999.SH,出版,出版传媒,6.74,9.95,204019781.0,,3713165078.0,3713165104.96,5.55,13055380.0,95307,142119,2,1/1,1.0,U
20260813,603083.SH,通信设备,剑桥科技,169.0,5.82,6485634304.0,,46574435037.0,62234312192.0,13.99,,130001,,1,0/0,,Z
20260813,603115.SH,元件,海星股份,77.68,3.85,1056955280.0,,18999176368.0,18999176368.0,5.38,,93331,,3,0/0,,Z
20260813,603118.SH,通信设备,共进股份,15.96,9.99,1724498048.0,,12564931439.76,12564931344.0,13.89,89279234.0,93518,143606,4,1/1,1.0,U
20260813,603191.SH,电网设备,望变电气,16.94,10.0,626222064.0,,5589600984.66,5589601001.6,11.9,11812262.0,133402,144702,1,2/2,2.0,U
20260813,603236.SH,通信设备,移远通信,59.43,9.99,528639712.0,,23947484131.41,23947483953.12,2.21,334783096.0,92503,92503,0,1/1,1.0,U
20260813,603261.SH,航空装备,立航科技,57.37,10.01,162719393.0,,4446463112.14,4446463112.14,3.77,72905796.0,100110,112819,1,1/1,1.0,U
20260813,603277.SH,通用设备,银都股份,12.49,7.3,260040544.0,,7615727852.25,7640307460.32,3.43,,93054,,1,1/2,,Z
20260813,603296.SH,消费电子,华勤技术,85.97,8.8,4294605440.0,,68655302504.47,130347839172.32,6.28,,101003,,4,0/0,,Z
20260813,603330.SH,塑料,天洋新材,9.71,9.97,631392224.0,,3949185463.3,4201261122.08,16.62,46783168.0,101437,130643,7,2/2,2.0,U
20260813,603456.SH,医疗服务,九洲药业,18.26,8.5,1348345296.0,,16100025111.28,16100025184.32,8.57,,130214,,2,0/0,,Z
20260813,603466.SH,数字媒体,风语筑,13.72,10.02,1919907936.0,,8161046910.24,8161046965.12,24.01,10245615.0,94849,144707,28,2/2,2.0,U
20260813,603559.SH,通信服务,中通国脉,9.17,3.03,240327494.0,,3679709897.43,3679709869.92,6.35,,93554,,2,0/0,,Z
20260813,603598.SH,广告营销,引力传媒,19.82,5.2,1137547984.0,,5339565478.0,5345511398.72,21.15,,95343,,3,0/0,,Z
20260813,603629.SH,消费电子,利通电子,125.0,4.73,7314926592.0,,45090425000.0,45841000000.0,15.8,,93139,,1,0/0,,Z
